review_order,review_rank,review_tier,event_id,stream_key,duration_ms,audio_path,source_status,segment_count,credible_segment_count,suspicious_segment_count,credible_character_count,total_character_count,credible_audio_coverage,median_credible_avg_logprob,credible_text_preview,review_reason
13,1,P1_LIKELY_DIALOGUE,gr3_stream_0066,0x66,125440,audio/extracted/gr3_rendered_events/stream_0066.flac,AUTO_TRANSCRIBED_REVIEW,26,26,0,253,253,0.8718,-0.53055,うーん、悪くないわね。今日はここでキャンプにしましょうか。 / ユウキ、それは? / なるほど。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
14,1,P1_LIKELY_DIALOGUE,gr3_stream_009e,0x9E,109909,audio/extracted/gr3_rendered_events/stream_009e.flac,AUTO_TRANSCRIBED_REVIEW,6,6,0,246,246,0.8553,-0.37742,マッティクださい、皆さん。これからは、たしたちが向かうのは、バクラのためにとって、金断のち、せめて、あの子にだけは、ねえさん。 / ルイリ。あのね、ルイリ。私。行くのね。ヘルアセルへ。信じ出たわ。いつかこうなるって。ルイリ。ずっと避かれてばかりでごめんなさい。 / でも私、心をとざしたネーサーを見ているのがつなかったの。だから、届いてたわ。あなたの気持ちは。あなたと、アルフィナさんが思い出させてくれたの。ひたむきに愛を信じてた。あの頃の私を。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
15,1,P1_LIKELY_DIALOGUE,gr3_stream_0096,0x96,104981,audio/extracted/gr3_rendered_events/stream_0096.flac,HUMAN_CONTEXT_REVIEWED,17,17,0,242,242,0.6282,,聞いてくれ！オイラだ、ウルだよ！ / コミュートが消えて、もう数年が経った。 / 我々はドラクの言葉を聞くことができないのだ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
16,1,P1_LIKELY_DIALOGUE,gr3_stream_009a,0x9A,99307,audio/extracted/gr3_rendered_events/stream_009a.flac,AUTO_TRANSCRIBED_REVIEW,14,14,0,233,233,0.9868,-0.36603,"もしとろ、カラミリア、カラリタ。 / if it is a little,なんだ。 / 美しいすんな目をしておるな。",대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
17,1,P1_LIKELY_DIALOGUE,gr3_stream_006b,0x6B,76757,audio/extracted/gr3_rendered_events/stream_006b.flac,AUTO_TRANSCRIBED_REVIEW,10,10,0,230,230,0.925,-0.39789,誰? 歌が手なその目を。 / あ、なら、見せてやろうじゃないか。 雲のりの魂ってやつ。 / これって、もしかして。 チーズだ、タイルクエの。 すっかー。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
18,1,P1_LIKELY_DIALOGUE,gr3_stream_0056,0x56,137536,audio/extracted/gr3_rendered_events/stream_0056.flac,AUTO_TRANSCRIBED_REVIEW,16,12,4,222,400,0.4726,-0.46982,このモテのか?プロペラの角度だって期待の中量だってもちろん翼の長さだってちゃんと計算して!逃さ! / え?俺だって考えなしにこんなことしたわけじゃない? / 飛んでる間に感じたんだ!この期待はもっと軽くできるって!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
19,1,P1_LIKELY_DIALOGUE,gr3_stream_00ad,0xAD,104235,audio/extracted/gr3_rendered_events/stream_00ad.flac,AUTO_TRANSCRIBED_REVIEW,8,8,0,219,219,0.9651,-0.39611,お、それは?もう、私には必要ありません。絶望を叶でるより、もっと大切なことがあると教えてもらいましたから。私たちがふうじていたのは、ゾーンではなく、私たち自身の心だったのかもしれません。 / あ、ありがとう。エクトさん。 / あ、高い。泣いたり、怒ったり、笑ったり。そんな気持ちをもう一度、未来を信じるユウキ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
20,1,P1_LIKELY_DIALOGUE,gr3_stream_00a9,0xA9,128277,audio/extracted/gr3_rendered_events/stream_00a9.flac,AUTO_TRANSCRIBED_REVIEW,17,17,0,215,215,0.8887,-0.47507,教えて、ヘクトさん、バースカーに何が起こっているの?なぜこんなことに? / ゾーンが、青銃? / ゾーンのイナチは立たれました。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
21,1,P1_LIKELY_DIALOGUE,gr3_stream_00b0,0xB0,101696,audio/extracted/gr3_rendered_events/stream_00b0.flac,AUTO_TRANSCRIBED_REVIEW,7,7,0,206,206,0.8063,-0.40217,セイバー様、私はコミュートの…マニュアったようだな、アルフィナよ。え? 時期にエメリウスはここへも現れよう。最後に残った、私の命を狙って。え?最後って? それではようと様は… / セイバー様、なぜアニナのですか? なぜ? ゾーンはアニオン? / その答えは、お前の中にある。 傷なわ時に悲しみをうに、そしておのれを苦しめ、だがり。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
22,1,P1_LIKELY_DIALOGUE,gr3_stream_005c,0x5C,70784,audio/extracted/gr3_rendered_events/stream_005c.flac,AUTO_TRANSCRIBED_REVIEW,15,15,0,204,204,0.6357,-0.45973,くすんわ!これだけは…これだけは絶対! / これたちの夢がもう 得てく… / 飛行機ってあんがいチャチなもんね。高が二人のったくらいでさ,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
23,1,P1_LIKELY_DIALOGUE,gr3_stream_00a8,0xA8,149632,audio/extracted/gr3_rendered_events/stream_00a8.flac,AUTO_TRANSCRIBED_REVIEW,12,10,2,198,591,0.5329,-0.53413,それが私たちの唯一の望み。なぜそんな悲しいことを言うの?どうしてあなたの手はこんなにも冷たいの?あなたにはわからない。 / その悲しみを私たちに分けてもらえませんか? / やめろ。やめろって言ってんだら!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
24,1,P1_LIKELY_DIALOGUE,gr3_stream_0092,0x92,73173,audio/extracted/gr3_rendered_events/stream_0092.flac,MANUAL_AUDIO_SCENE_REVIEW,17,17,0,194,194,0.5104,,あれ？ 俺の機体がない！ / 確か、ここに……。 / いいじゃん！ どうせ新しいのもらえんだし！,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
25,1,P1_LIKELY_DIALOGUE,gr3_stream_0076,0x76,138731,audio/extracted/gr3_rendered_events/stream_0076.flac,AUTO_TRANSCRIBED_REVIEW,17,14,3,193,751,0.365,-0.41886,アーッ、痛いじゃないかよ、なりすんだいきなり! / アハハハハハ、これがこいつ流の愛情表現なんだ、完悲してやってくれ / うるだ、よろしくな!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
26,1,P1_LIKELY_DIALOGUE,gr3_stream_0097,0x97,129173,audio/extracted/gr3_rendered_events/stream_0097.flac,HUMAN_CONTEXT_REVIEWED,12,12,0,192,192,0.5866,,こいつがドラク様？ / ドラク様、お会いできて嬉しく思います。 / エメリウスがアークリフを滅ぼしたことは知っておる。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
27,1,P1_LIKELY_DIALOGUE,gr3_stream_0093,0x93,76160,audio/extracted/gr3_rendered_events/stream_0093.flac,MANUAL_AUDIO_SCENE_REVIEW,15,15,0,186,186,0.778,,あ、ユウキ。お帰りなさい。 / アルフィナ、もう大丈夫なの？ / うん。ありがとう、ユウキ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
28,1,P1_LIKELY_DIALOGUE,gr3_stream_00ac,0xAC,130517,audio/extracted/gr3_rendered_events/stream_00ac.flac,AUTO_TRANSCRIBED_REVIEW,11,9,1,178,402,0.7509,-0.27176,彼らは、風音の誇らを破壊し、闇の力、ゾーンの爪を手にしたのです。もう私たちバース会のために、未来の光はないのです。 / エメリウスは、あなたのアニーは、もう人には戻れません。 / やめて!そんな話、もう聞きたいくない!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
29,1,P1_LIKELY_DIALOGUE,gr3_stream_0083,0x83,52416,audio/extracted/gr3_rendered_events/stream_0083.flac,AUTO_TRANSCRIBED_REVIEW,2,2,0,158,158,0.9921,-0.4569,レームのみか。 昼のりの構造にうまくそそのがさるって。昔はそいつをとってくることが、 私が飛行機を作る条件だと思うんだ。 えっ?じゃあ、じゃあ。だが、本物を持ってきよって朝何年もおら、 ましてはお前のような構造ではな。 えっ?レームのみに、にせ物があるの? / どう? ボクスの3番のととこへ。 えっ?聞こえなかったのか? ボクススパナの3番だ。はい! えっと、あった!あれ? シミット?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
30,1,P1_LIKELY_DIALOGUE,gr3_stream_0077,0x77,85867,audio/extracted/gr3_rendered_events/stream_0077.flac,AUTO_TRANSCRIBED_REVIEW,6,6,0,154,154,0.8618,-0.34718,アルフィナ、どうしたの? / さっきの話して、アルフィナに何か関係あったのか? / ユウキ、パワス会は自国なんかじゃない。間違いが消えるとか、この世が終わりだなんて、そんなことに関係あるはずがないの。手なければ二人さんが。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
31,1,P1_LIKELY_DIALOGUE,gr3_stream_0058,0x58,142613,audio/extracted/gr3_rendered_events/stream_0058.flac,AUTO_TRANSCRIBED_REVIEW,18,14,4,152,442,0.5279,-0.34276,イイカ、夜は初めてなんだから、リリクは慎重にな? / 新派へ進んだって、俺たちの期待が信じられないのか? / 信じられないのはお前のうで,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
32,1,P1_LIKELY_DIALOGUE,gr3_stream_008f,0x8F,56597,audio/extracted/gr3_rendered_events/stream_008f.flac,MANUAL_AUDIO_SCENE_REVIEW,10,10,0,152,152,0.6502,,そうかぁ。アークリフでそんなことがなぁ。おまけに飛行機もなしじゃ、聖獣を探しようもなくてさ。 / あっ、シバ！ / うわっ！,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
33,1,P1_LIKELY_DIALOGUE,gr3_stream_00c3,0xC3,83477,audio/extracted/gr3_rendered_events/stream_00c3.flac,AUTO_TRANSCRIBED_REVIEW,9,9,0,150,150,0.6787,-0.23072,カミサマの言葉を人々に伝え、 豊かな世界にするのがコミュートの役目。私は、ニーさんのことを信じていた。ニーさんがコミュートになる運命を信じていた。 / でも今は一人、きっと、私の運命なのかもしれない。 / 違うよ、アルフィナ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
34,1,P1_LIKELY_DIALOGUE,gr3_stream_0065,0x65,67051,audio/extracted/gr3_rendered_events/stream_0065.flac,AUTO_TRANSCRIBED_REVIEW,10,10,0,149,149,0.9694,-0.38183,このカリは必ず返す、いか!必ずだ! / ごめんなさい、私のために村の人たちまで。 / そんなこと気にしてたの?バカね?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
35,1,P1_LIKELY_DIALOGUE,gr3_stream_008e,0x8E,61376,audio/extracted/gr3_rendered_events/stream_008e.flac,MANUAL_AUDIO_SCENE_REVIEW,13,13,0,142,142,0.51,-0.214,ひどい……！ / これは、バース界の……。 / そう、ゾーンの力だ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
36,1,P1_LIKELY_DIALOGUE,gr3_stream_0071,0x71,52267,audio/extracted/gr3_rendered_events/stream_0071.flac,AUTO_TRANSCRIBED_REVIEW,8,8,0,137,137,0.8571,-0.53142,さあ、覚悟の程を聞かせてもらおうかい?アルフィナ。ん? 海の男の何かけて近づく?今日の勝負?俺はこの俺自身をかける?もしも俺が負けた時は? / そこにいるビアンガと結構する! / あ?結構?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
37,1,P1_LIKELY_DIALOGUE,gr3_stream_00cd,0xCD,80341,audio/extracted/gr3_rendered_events/stream_00cd.flac,AUTO_TRANSCRIBED_REVIEW,10,10,0,132,132,0.5352,-0.33178,アルフィナ、アルフィナ! / アルフィナ!アルフィナ! / うーん…ここは…,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
38,1,P1_LIKELY_DIALOGUE,gr3_stream_009f,0x9F,84224,audio/extracted/gr3_rendered_events/stream_009f.flac,AUTO_TRANSCRIBED_REVIEW,5,4,1,122,323,0.6407,-0.47484,次の朝、二人の姿はすでになく、養党様のゾウが破壊されていました。そして、扉の風員が破られていたのです。 / このバスピアコソ、開くことを許されなかった金顔の飛びら、キレド。 / 行こう。何が見たくて何が見えないのか、俺にはそれさえ分からない。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
39,1,P1_LIKELY_DIALOGUE,gr3_stream_008b,0x8B,68096,audio/extracted/gr3_rendered_events/stream_008b.flac,AUTO_TRANSCRIBED_REVIEW,6,6,0,120,120,0.514,-0.396,どうぞ、こちらへ。 / アルフィナ。 / アイツは、サンザンの俺の邪魔を仕上がったユウキとかよ限らぜ、よれた。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
40,1,P1_LIKELY_DIALOGUE,gr3_stream_0068,0x68,55701,audio/extracted/gr3_rendered_events/stream_0068.flac,AUTO_TRANSCRIBED_REVIEW,4,4,0,113,113,0.7899,-0.53753,うーん、待っていたぞ、お前たち。うーん。待ってただって。助けが来るのかい。さあ、先よいそぐよ、二人とも。死ぬまでそこにいな。この、薄の裸。え、おい。 / 今、薄のろっていったのか。 / 薄のろっていったのか消えてた!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
41,1,P1_LIKELY_DIALOGUE,gr3_stream_0082,0x82,43755,audio/extracted/gr3_rendered_events/stream_0082.flac,AUTO_TRANSCRIBED_REVIEW,9,9,0,112,112,0.8685,-0.73039,エーイ。そっか!この期待は、主翼と美翼の角度を微妙に変えることで、用力を得ると同時に専回性能を高めてるんだ!こぞ! / 飛行機の経験は?今までに19期!こいつが20期目になるはずだったんだ! / うーん…,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
42,1,P1_LIKELY_DIALOGUE,gr3_stream_009b,0x9B,54357,audio/extracted/gr3_rendered_events/stream_009b.flac,AUTO_TRANSCRIBED_REVIEW,8,8,0,86,86,0.3311,-0.55218,何で、アイツラがここに… / うーっ! 続くたくするね、この感じ! / さあ、人をもうに行きな!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
43,1,P1_LIKELY_DIALOGUE,gr3_stream_00b9,0xB9,40171,audio/extracted/gr3_rendered_events/stream_00b9.flac,AUTO_TRANSCRIBED_REVIEW,8,7,1,85,85,0.6223,-0.61161,ペネーのキンゴー! / そいつももうダメだな、完全に信じまってる。 / 嘘だ!充電して修理さればきっと…,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
44,1,P1_LIKELY_DIALOGUE,gr3_stream_007a,0x7A,94827,audio/extracted/gr3_rendered_events/stream_007a.flac,AUTO_TRANSCRIBED_REVIEW,9,8,1,80,260,0.3585,-0.34419,世界だなんて信じられない 信じたくないの? / ごめんなさい 私 / ここには何も感じられないの? 幸せどころか?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
45,1,P1_LIKELY_DIALOGUE,gr3_stream_008d,0x8D,117525,audio/extracted/gr3_rendered_events/stream_008d.flac,MANUAL_RUNTIME_REVIEW,3,3,0,78,78,0.18,-0.188,尊い神の御言葉を伝えるコミュート、アルフィナ・デ・パメラの声を聞き届けたまえ。 / 光と秩序をもたらす者、グリフよ。 / 遥かなるバースより我が導きに応え、ここアークリフに降臨されよ！,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
46,1,P1_LIKELY_DIALOGUE,gr3_stream_0081,0x81,38528,audio/extracted/gr3_rendered_events/stream_0081.flac,AUTO_TRANSCRIBED_REVIEW,9,9,0,77,77,0.8565,-0.49703,な、聞いてくれしみっと。これでも俺、飛行機のりなんだ。 ふらっ! / はっ! / 勝負くれてるなぁ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
47,1,P1_LIKELY_DIALOGUE,gr3_stream_00b1,0xB1,99904,audio/extracted/gr3_rendered_events/stream_00b1.flac,AUTO_TRANSCRIBED_REVIEW,6,5,1,73,257,0.6306,-0.72497,エメリス、最愛のとおよもう、怖いしよ… / エメリウス、キサマ! / 弧役現れたか、オロカ、最後の生徒を…,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
48,1,P1_LIKELY_DIALOGUE,gr3_stream_00d2,0xD2,32704,audio/extracted/gr3_rendered_events/stream_00d2.flac,MANUAL_AUDIO_SCENE_REVIEW,6,6,0,72,72,0.606,,よいしょ。えーと、こっちは……。 / よいしょ。まず……。 / すいません。何かお手伝いさせてくれませんか？,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
49,1,P1_LIKELY_DIALOGUE,gr3_stream_009c,0x9C,96917,audio/extracted/gr3_rendered_events/stream_009c.flac,AUTO_TRANSCRIBED_REVIEW,6,4,0,67,76,0.2683,-0.5308,あ! / お、おい。びょれったまさか。エメリウスさま俺たちもろとも殺す気だったんじゃないか。 / そうさ、これでこそエメリウスだ!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
50,1,P1_LIKELY_DIALOGUE,gr3_stream_008c,0x8C,59584,audio/extracted/gr3_rendered_events/stream_008c.flac,MANUAL_RUNTIME_REVIEW,3,3,0,61,61,0.3128,-0.271,いよいよ、エメリウス様の手によって、世界は終わり、そして始まる。 / 死人の呻きでこの世は満たされることでしょう。 / あなたの出番です、ロウ・イル。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
51,1,P1_LIKELY_DIALOGUE,gr3_stream_005a,0x5A,47040,audio/extracted/gr3_rendered_events/stream_005a.flac,AUTO_TRANSCRIBED_REVIEW,2,2,0,60,60,0.6803,-0.59194,コミュートの姿が見えたりません。お勧め一人、相当くへ行けるはずはない。あのコミュートなんとしても探じらせ。 / テガラダ、テガラが欲しい。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
52,1,P1_LIKELY_DIALOGUE,gr3_stream_0072,0x72,26731,audio/extracted/gr3_rendered_events/stream_0072.flac,AUTO_TRANSCRIBED_REVIEW,7,7,0,59,59,0.9727,-0.63107,ガンバッティオアロウソー。 私たちの未来のためにさ。 / うふふふ。 / え?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
53,1,P1_LIKELY_DIALOGUE,gr3_stream_00bc,0xBC,44053,audio/extracted/gr3_rendered_events/stream_00bc.flac,AUTO_TRANSCRIBED_REVIEW,4,4,0,59,59,0.3632,-0.77137,エクト! エクト! / どうして、君がここへ? 文章に道理かれて… あっ! / 今、だったら、不感情になる。 あっ!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
54,1,P1_LIKELY_DIALOGUE,gr3_stream_0090,0x90,45397,audio/extracted/gr3_rendered_events/stream_0090.flac,AUTO_TRANSCRIBED_REVIEW,2,2,0,59,59,0.6917,-0.44799,世界の記憶から消えてしまうべきなのです。このバース会だけが、愛を忘れてはならない。 / お前の愛をそば、アニをそして、世界を救うのです。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
55,1,P1_LIKELY_DIALOGUE,gr3_stream_00aa,0xAA,30315,audio/extracted/gr3_rendered_events/stream_00aa.flac,AUTO_TRANSCRIBED_REVIEW,9,8,1,58,62,0.5938,-0.29576,誰かいる? / ヘクトさん / どうして、あなたがここに,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
56,1,P1_LIKELY_DIALOGUE,gr3_stream_0094,0x94,113493,audio/extracted/gr3_rendered_events/stream_0094.flac,HUMAN_CONTEXT_REVIEWED,4,4,0,54,54,0.1155,,空はこんなに広いんだ！飛ばなきゃ損だよな、ユウキ！ / イエーイ！ / ハハハハ！どうせなら速い方がいいけどな！,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
57,1,P1_LIKELY_DIALOGUE,gr3_stream_00ae,0xAE,40320,audio/extracted/gr3_rendered_events/stream_00ae.flac,AUTO_TRANSCRIBED_REVIEW,2,2,0,53,53,0.9425,-0.42861,戻ってきましたね。バース回から。思った通りですね。ローイール。 / エメリウス様の夢が叶うかどうか、あなたの働き次第ですよ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
58,1,P1_LIKELY_DIALOGUE,gr3_stream_0069,0x69,45248,audio/extracted/gr3_rendered_events/stream_0069.flac,AUTO_TRANSCRIBED_REVIEW,4,4,0,51,51,0.7072,-0.77199,アーチアガレー。まだわちいねーぞ! / 一緒、そこにいいな。薄なの? / もう、おってくんだよ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
59,1,P1_LIKELY_DIALOGUE,gr3_stream_00b2,0xB2,44501,audio/extracted/gr3_rendered_events/stream_00b2.flac,AUTO_TRANSCRIBED_REVIEW,5,5,0,47,47,0.3371,-0.31397,もうすぐ一度足られる私と… / いいさ… / アルフィナ!あれ、大丈夫か?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
60,1,P1_LIKELY_DIALOGUE,gr3_stream_0091,0x91,29269,audio/extracted/gr3_rendered_events/stream_0091.flac,MANUAL_AUDIO_SCENE_REVIEW,6,6,0,45,45,0.4018,,ほら、しっかり腰入れておやりよ！ / よし！ / その火が強すぎだよ！,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
61,1,P1_LIKELY_DIALOGUE,gr3_stream_00c1,0xC1,32704,audio/extracted/gr3_rendered_events/stream_00c1.flac,AUTO_TRANSCRIBED_REVIEW,3,3,0,33,33,0.795,-0.63569,あ、ニエア… ゾーンが…まだ間に合うかもしれない。 / ん? 誰かいるのか? アルフィナ! / ん?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
62,1,P1_LIKELY_DIALOGUE,gr3_stream_00b8,0xB8,43307,audio/extracted/gr3_rendered_events/stream_00b8.flac,AUTO_TRANSCRIBED_REVIEW,3,3,0,31,31,0.7966,-0.53758,イーサー!お姉が、目を覚まして! / ダメだ!アルフィナ!戦うしかない! / イーサー!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
63,1,P1_LIKELY_DIALOGUE,gr3_stream_00b3,0xB3,44352,audio/extracted/gr3_rendered_events/stream_00b3.flac,AUTO_TRANSCRIBED_REVIEW,4,4,0,27,27,0.2706,-1.06477,ここは… / ここは… / 2層の部屋…,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
64,1,P1_LIKELY_DIALOGUE,gr3_stream_00c5,0xC5,21504,audio/extracted/gr3_rendered_events/stream_00c5.flac,MANUAL_AUDIO_SCENE_REVIEW,4,4,0,27,27,0.4255,-0.6345,おい！ ウルじゃないか！ / ユウキじゃないか！ / 久しぶりだな！,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
65,1,P1_LIKELY_DIALOGUE,gr3_stream_00d4,0xD4,32256,audio/extracted/gr3_rendered_events/stream_00d4.flac,MANUAL_AUDIO_SCENE_REVIEW,3,3,0,22,22,0.2474,,わあ！ / こ、この翼は？ / どうだ、小僧。お前の設計図通りだろ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
