entry_index,stream_key,key_bit_0x800,start_sector,end_sector,source_offset,size_bytes,channels,sample_rate,header_size,interleave,duration_ms,reference_count,sample_ids,classification,confidence,notes
80,0x851,1,0x1B3DA,0x1B6DD,0xD9ED000,1579008,2,24000,0xC70,0x4C800,57452,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
81,0x852,1,0x1B6DD,0x1BBFE,0xDB6E800,2689024,2,24000,0xD90,0x15B800,97911,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
82,0x53,0,0x1BBFE,0x1BF35,0xDDFF000,1685504,2,24000,0x800,0x800,61376,2,0x3EC;0x3ED,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
83,0x54,0,0x1BF35,0x1C06A,0xDF9A800,632832,2,24000,0x800,0x800,22997,2,0x3EE;0x3EF,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
84,0x55,0,0x1C06A,0x1C1A3,0xE035000,641024,2,24000,0x800,0x800,23296,2,0x3F0;0x3F1,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
85,0x56,0,0x1C1A3,0x1C8D6,0xE0D1800,3774464,2,24000,0x800,0x800,137536,2,0x3F2;0x3F3,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
86,0x57,0,0x1C8D6,0x1D013,0xE46B000,3794944,2,24000,0x800,0x800,138283,2,0x3F4;0x3F5,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
87,0x58,0,0x1D013,0x1D78A,0xE809800,3913728,2,24000,0x800,0x800,142613,2,0x3F6;0x3F7,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
88,0x59,0,0x1D78A,0x1DF01,0xEBC5000,3913728,2,24000,0x800,0x800,142613,2,0x3F8;0x3F9,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
89,0x5A,0,0x1DF01,0x1E178,0xEF80800,1292288,2,24000,0x800,0x800,47040,2,0x3FA;0x3FB,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
90,0x5B,0,0x1E178,0x1E6BB,0xF0BC000,2758656,2,24000,0x800,0x800,100501,2,0x3FC;0x3FD,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
91,0x5C,0,0x1E6BB,0x1EA70,0xF35D800,1943552,2,24000,0x800,0x800,70784,2,0x3FE;0x3FF,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
92,0x5D,0,0x1EA70,0x1EA9B,0xF538000,88064,1,24000,0x800,0x800,6272,2,0x400;0x401,mono_shared_stream,TENTATIVE,mono stream in the shared/event portion; runtime role not yet verified
93,0x5E,0,0x1EA9B,0x1EACD,0xF54D800,102400,1,24000,0x800,0x800,7317,2,0x402;0x403,mono_shared_stream,TENTATIVE,mono stream in the shared/event portion; runtime role not yet verified
94,0x5F,0,0x1EACD,0x1EB07,0xF566800,118784,1,24000,0x800,0x800,8512,2,0x404;0x405,mono_shared_stream,TENTATIVE,mono stream in the shared/event portion; runtime role not yet verified
95,0x60,0,0x1EB07,0x1EB31,0xF583800,86016,1,24000,0x800,0x800,6123,2,0x406;0x407,mono_shared_stream,TENTATIVE,mono stream in the shared/event portion; runtime role not yet verified
96,0x61,0,0x1EB31,0x1F254,0xF598800,3741696,2,24000,0x800,0x800,136341,2,0x408;0x409,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
97,0x62,0,0x1F254,0x1F391,0xF92A000,649216,2,24000,0x800,0x800,23595,2,0x40C;0x40D,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
98,0x63,0,0x1F391,0x1FD2C,0xF9C8800,5036032,2,24000,0x800,0x800,183531,2,0x414;0x415,rendered_event_proven,PROVEN,Alfina-room rendered event; runtime sample IDs 0x414/0x415 verified
99,0x64,0,0x1FD2C,0x2022B,0xFE96000,2619392,2,24000,0x800,0x800,95424,2,0x416;0x417,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
100,0x65,0,0x2022B,0x205AE,0x10115800,1841152,2,24000,0x800,0x800,67051,2,0x418;0x419,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
101,0x66,0,0x205AE,0x20C3F,0x102D7000,3442688,2,24000,0x800,0x800,125440,2,0x41C;0x41D,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
102,0x67,0,0x20C3F,0x20F1A,0x1061F800,1497088,2,24000,0x800,0x800,54507,2,0x420;0x421,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
103,0x68,0,0x20F1A,0x21205,0x1078D000,1529856,2,24000,0x800,0x800,55701,2,0x422;0x423,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
104,0x69,0,0x21205,0x21464,0x10902800,1243136,2,24000,0x800,0x800,45248,2,0x424;0x425,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
105,0x6A,0,0x21464,0x2208F,0x10A32000,6379520,2,24000,0x800,0x800,232512,2,0x426;0x427,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
106,0x6B,0,0x2208F,0x22494,0x11047800,2107392,2,24000,0x800,0x800,76757,2,0x428;0x429,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
107,0x6C,0,0x22494,0x2261D,0x1124A000,804864,2,24000,0x800,0x800,29269,2,0x42A;0x42B,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
108,0x6D,0,0x2261D,0x22C96,0x1130E800,3393536,2,24000,0x800,0x800,123648,2,0x42C;0x42D,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
109,0x6E,0,0x22C96,0x235B1,0x1164B000,4773888,2,24000,0x800,0x800,173973,2,0x42E;0x42F,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
110,0x6F,0,0x235B1,0x23AEA,0x11AD8800,2738176,2,24000,0x800,0x800,99755,2,0x430;0x431,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
111,0x70,0,0x23AEA,0x2468D,0x11D75000,6100992,2,24000,0x800,0x800,222357,2,0x432;0x433,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
112,0x71,0,0x2468D,0x2494A,0x12346800,1435648,2,24000,0x800,0x800,52267,2,0x434;0x435,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
113,0x72,0,0x2494A,0x24AB1,0x124A5000,735232,2,24000,0x800,0x800,26731,2,0x436;0x437,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
114,0x73,0,0x24AB1,0x252AE,0x12558800,4188160,2,24000,0x800,0x800,152619,2,0x438;0x439,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
115,0x74,0,0x252AE,0x25DA7,0x12957000,5752832,2,24000,0x800,0x800,209664,2,0x43A;0x43B,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
116,0x75,0,0x25DA7,0x25F8C,0x12ED3800,993280,2,24000,0x800,0x800,36139,2,0x440;0x441,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
117,0x76,0,0x25F8C,0x266CF,0x12FC6000,3807232,2,24000,0x800,0x800,138731,2,0x442;0x443,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
118,0x77,0,0x266CF,0x26B4E,0x13367800,2357248,2,24000,0x800,0x800,85867,2,0x444;0x445,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
119,0x78,0,0x26B4E,0x27307,0x135A7000,4048896,2,24000,0x800,0x800,147541,2,0x446;0x447,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
120,0x79,0,0x27307,0x27A88,0x13983800,3934208,2,24000,0x800,0x800,143360,2,0x448;0x449,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
121,0x7A,0,0x27A88,0x27F7F,0x13D44000,2603008,2,24000,0x800,0x800,94827,2,0x44C;0x44D,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
122,0x7B,0,0x27F7F,0x28660,0x13FBF800,3606528,2,24000,0x800,0x800,131413,2,0x44E;0x44F,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
123,0x7C,0,0x28660,0x28B71,0x14330000,2656256,2,24000,0x800,0x800,96768,2,0x450;0x451,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
124,0x7D,0,0x28B71,0x2920A,0x145B8800,3459072,2,24000,0x800,0x800,126037,2,0x452;0x453,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
125,0x7E,0,0x2920A,0x29B1B,0x14905000,4753408,2,24000,0x800,0x800,173227,2,0x454;0x455,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
126,0x7F,0,0x29B1B,0x29D58,0x14D8D800,1173504,2,24000,0x800,0x800,42709,2,0x456;0x457,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
127,0x80,0,0x29D58,0x2A35F,0x14EAC000,3160064,2,24000,0x800,0x800,115136,2,0x458;0x459,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
