sequence_rank,priority,event_id,stream_key,entry_index,sample_ids,suggested_runtime_trigger_sample_ids,trigger_evidence,duration_ms,duration_seconds,audio_path,audio_status,scene_name,disc_usage,resource_path,runtime_trigger_sample_ids,runtime_status,japanese_status,korean_status,cue_status,package_status,review_notes
11,2,carriage_overturn_event_005a,0x5A,89,0x3FA;0x3FB,0x3FB,INFERRED_FROM_0x415_META_PATTERN,47040,47.040,audio/extracted/gr3_rendered_events/stream_005a.flac,PASS,전복된 알피나의 마차를 수색하는 코넬 부대,DISC1_RUNTIME_OBSERVED,DATA/01020301.MDZ,0x3FB,RUNTIME_SPU_SYNC_CORRECTED,REVIEWED,REVIEWED,READY_60HZ,GR3SUB_BIN_PREPARED,슬롯 3에서 타이머와 SPU 재생 위치를 대조해 코넬 발화 경계 교정
12,3,alfina_raven_forest_encounter_event_005b,0x5B,90,0x3FC;0x3FD,0x3FD,INFERRED_FROM_0x415_META_PATTERN,100501,100.501,audio/extracted/gr3_rendered_events/stream_005b.flac,PASS,알피나와 검은 옷의 남자의 첫 조우,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00060000.MDZ,0x3FD,RUNTIME_SPU_PROVEN_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,slots 5 and 6 prove request 0x3FC resolved 0x3FD and active SPU2 stream 0x5B; first 85 seconds are music only; no dialogue after 99 seconds
13,3,crashed_plane_confrontation_event_005c,0x5C,91,0x3FE;0x3FF,0x3FF,INFERRED_FROM_0x415_META_PATTERN,70784,70.784,audio/extracted/gr3_rendered_events/stream_005c.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
14,4,gr3_stream_0061,0x61,96,0x408;0x409,0x409,INFERRED_FROM_0x415_META_PATTERN,136341,136.341,audio/extracted/gr3_rendered_events/stream_0061.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
15,1,gr3_stream_0062,0x62,97,0x40C;0x40D,0x40D,INFERRED_FROM_0x415_META_PATTERN,23595,23.595,audio/extracted/gr3_rendered_events/stream_0062.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
16,4,alfina_room_0063,0x63,98,0x414;0x415,0x415,RUNTIME_PROVEN,183531,183.531,audio/extracted/gr3_rendered_events/stream_0063.flac,PASS,알피나 방,DISC1_PROVEN_DISC2_UNKNOWN,DATA/00030100.MDZ,0x415,RUNTIME_PASS,APPROVED,APPROVED,APPROVED_60HZ,RUNTIME_PASS,
17,3,gr3_stream_0064,0x64,99,0x416;0x417,0x417,INFERRED_FROM_0x415_META_PATTERN,95424,95.424,audio/extracted/gr3_rendered_events/stream_0064.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
18,3,cornell_battle_aftermath_event_0065,0x65,100,0x418;0x419,0x419,INFERRED_FROM_0x415_META_PATTERN,67051,67.051,audio/extracted/gr3_rendered_events/stream_0065.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
19,4,anfog_forest_camp_event_0066,0x66,101,0x41C;0x41D,0x41D,INFERRED_FROM_0x415_META_PATTERN,125440,125.440,audio/extracted/gr3_rendered_events/stream_0066.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
20,2,moonlight_camp_event_0067_00061100,0x67,102,0x420;0x421,0x421,INFERRED_FROM_0x415_META_PATTERN,54507,54.507,audio/extracted/gr3_rendered_events/stream_0067.flac,PASS,달빛 아래 유키와 알피나의 대화 전반부,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01030502.MDZ;DATA/00061100.MDZ,0x420,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT_FRONT_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,FRONT_CUES_60HZ,PREPARE_ONLY_PENDING,"State CC62465A slot 1 proves DATA/01030502.MDZ display/request/resolved 0x420 stream 0x67 in slot0 at 691-692 ticks while the subtitle timer is 716 ticks. State slot 2 proves the same 0x420 request can remain ended in slot0 after DATA/00061100.MDZ loads. Both runtime slots and both resource aliases are registered for the front 0x67 cues. The continuation is now dispatched directly as stream 0xA1 rather than through an unstable chained offset. SPU2.bin uses unsupported old layout 0x212C18, so ACTIVE_SPU_MATCH is not asserted."
21,2,anfog_forest_cornell_encounter_event_0068,0x68,103,0x422;0x423,0x423,INFERRED_FROM_0x415_META_PATTERN,55701,55.701,audio/extracted/gr3_rendered_events/stream_0068.flac,PASS,안포그 숲에서 코넬이 그물에 걸린 장면,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00067800.MDZ,0x422,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,"State CC624658 slot 2 proves current path DATA/00067800.MDZ and active slot0 request/resolved/display 0x422 for stream 0x68 at 880 ticks. The prior manifest admitted only slot1 0x002135DC, so dispatch missed and retained the stale 0x67 timer. Both stable request-slot addresses are now registered; at 14.667s the reviewed Hilda cue 13.450..17.450 must be active."
22,2,anfog_forest_cornell_battle_event_0069,0x69,104,0x424;0x425,0x425,INFERRED_FROM_0x415_META_PATTERN,45248,45.248,audio/extracted/gr3_rendered_events/stream_0069.flac,PASS,안포그 숲에서 코넬과의 전투/그물에 걸리는 장면,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00061100.MDZ,0x424,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,Earlier runtime evidence placed stream 0x69 in slot1 0x002135DC. State CC624658 slot 3 proves current path DATA/00061100.MDZ and live slot0 0x00213550 request/resolved 0x424 at 645 ticks while 0x001FEA20 is unrelated 0xBD6. Both stable request-slot addresses are now registered.
23,4,gr3_stream_006a,0x6A,105,0x426;0x427,0x427,INFERRED_FROM_0x415_META_PATTERN,232512,232.512,audio/extracted/gr3_rendered_events/stream_006a.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
24,3,sabatar_coast_ship_meeting_event_006b,0x6B,106,0x428;0x429,0x429,INFERRED_FROM_0x415_META_PATTERN,76757,76.757,audio/extracted/gr3_rendered_events/stream_006b.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
25,1,gr3_stream_006c,0x6C,107,0x42A;0x42B,0x42B,INFERRED_FROM_0x415_META_PATTERN,29269,29.269,audio/extracted/gr3_rendered_events/stream_006c.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
26,4,gr3_stream_006d,0x6D,108,0x42C;0x42D,0x42D,INFERRED_FROM_0x415_META_PATTERN,123648,123.648,audio/extracted/gr3_rendered_events/stream_006d.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
27,4,gr3_stream_006e,0x6E,109,0x42E;0x42F,0x42F,INFERRED_FROM_0x415_META_PATTERN,173973,173.973,audio/extracted/gr3_rendered_events/stream_006e.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
28,3,sabatar_casino_loss_aftermath_event_006f,0x6F,110,0x430;0x431,0x431,INFERRED_FROM_0x415_META_PATTERN,99755,99.755,audio/extracted/gr3_rendered_events/stream_006f.flac,PASS,카지노에서 한 판 지고 밖에서 대화,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00120000.MDZ,0x430,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT_ACTIVE_SPU,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,Earlier state 1E1BEEC7 proves slot1 request 0x430 resolved 0x431 stream 0x6F with ACTIVE_SPU_MATCH. New state 6FE53D2B slot 2 proves the same stream rotated to slot0 request/resolved 0x430 at 499 ticks while display 0xA3 is unrelated and the stale subtitle timer remains 0x6B. Both request-slot addresses are registered; 8.317s falls inside the reviewed first cue 2.400..8.950s.
29,4,alonso_ship_first_cabin_event_0070,0x70,111,0x432;0x433,0x433,INFERRED_FROM_0x415_META_PATTERN,222357,222.357,audio/extracted/gr3_rendered_events/stream_0070.flac,PASS,카지노에서 한 판 지고 배에서 대화,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00151000.MDZ,0x432,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,"Earlier user runtime probe proves slot1 request 0x432 resolved 0x433 stream 0x70 for DATA/00151000.MDZ. New state 6FE53D2B slot 4 proves the same stream rotated to slot0 request/resolved 0x432 at 781 ticks while the subtitle timer remains stale 0x6B. Both request-slot addresses are registered. The saved-state progress 13.017s and live-probe progress 16.250s both fall inside the reviewed first cue 12.000..17.000s. The new state uses unsupported old SPU2 layout 0x212C18, so ACTIVE_SPU_MATCH is not asserted."
30,2,beauty_bianca_alonso_rematch_event_0071,0x71,112,0x434;0x435,0x435,INFERRED_FROM_0x415_META_PATTERN,52267,52.267,audio/extracted/gr3_rendered_events/stream_0071.flac,PASS,알론소의 카지노 재도전,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00008000.MDZ,0x434,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT_ACTIVE_SPU,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,"Older runtime evidence proves slot0 request/resolved 0x434 stream 0x71 with ACTIVE_SPU_MATCH. New state 6FE53D2B slot 5 proves the same stream rotated to slot1 request 0x434 resolved 0x435 at 691 ticks while the subtitle timer remains stale 0x6B. Both request-slot addresses are registered. The 11.517s capture falls inside the reviewed cue 9.000..12.500s. The repeated 0x6F/0x70/0x71 reversals prove slot allocation is history-dependent, so the manifest now expands every normal event to both stable request slots and relies on the completed-progress guard."
31,1,beauty_bianca_miranda_alonso_combo_event_0072,0x72,113,0x436;0x437,0x437,INFERRED_FROM_0x415_META_PATTERN,26731,26.731,audio/extracted/gr3_rendered_events/stream_0072.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
32,4,gr3_stream_0073,0x73,114,0x438;0x439,0x439,INFERRED_FROM_0x415_META_PATTERN,152619,152.619,audio/extracted/gr3_rendered_events/stream_0073.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
33,4,gr3_stream_0074,0x74,115,0x43A;0x43B,0x43B,INFERRED_FROM_0x415_META_PATTERN,209664,209.664,audio/extracted/gr3_rendered_events/stream_0074.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
34,2,boat_swallow_attack_flying_dragon_event_0075,0x75,116,0x440;0x441,0x441,INFERRED_FROM_0x415_META_PATTERN,36139,36.139,audio/extracted/gr3_rendered_events/stream_0075.flac,PASS,배먹이새 습격과 비룡 등장,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01050902.MDZ,0x440,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT_OVERLAP_AUDIO_RETIMED_REVIEWED_CUES,MANUAL_AUDIO_TARGETED_REVIEW,REVIEWED_CONTEXT,REVIEWED_60HZ_WORD_TIMESTAMP_RETIMER,PREPARE_ONLY_PENDING,"2026-09-02 캡처에서 active display/slot0 0x440 stream 0x75 progress 2155 ticks를 확인. stream 0x76과 겹치는 연속 재생 구조이며, 독립 Whisper small 음성 경계로 기존 0/2.6/19초의 조기 cue를 실제 3.75/6.6/28.05초대로 재조정하고 누락 감탄사 2큐를 추가함."
35,4,ulf_and_shiba_arrival_event_0076,0x76,117,0x442;0x443,0x443,INFERRED_FROM_0x415_META_PATTERN,138731,138.731,audio/extracted/gr3_rendered_events/stream_0076.flac,PASS,울과 시바의 등장 및 대화,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00150100.MDZ,0x442,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT_OVERLAP_AUDIO_RETIMED_REVIEWED_CUES,MANUAL_AUDIO_FULL_REVIEW,REVIEWED_CONTEXT,REVIEWED_60HZ_WORD_TIMESTAMP_RETIMER,PREPARE_ONLY_PENDING,2026-09-02 캡처에서 slot1 req 0x442/resolved 0x443 stream 0x76 progress 707 ticks와 subtitle timer 710 ticks를 확인하여 엔진 오차는 3 ticks뿐임. 당시 실제 음성은 첫 문장 8.58~12.64초인데 기존 세 번째 cue가 10초부터 떠 번역이 엇갈렸음. 전체 138.731초를 재전사해 25큐를 음성 경계로 재조정하고 번역 말투를 재검수함.
36,3,ship_moonlight_yuki_alfina_event_0077,0x77,118,0x444;0x445,0x445,RUNTIME_REQUEST_SLOT_MULTI_VARIANT,85867,85.867,audio/extracted/gr3_rendered_events/stream_0077.flac,PASS,알론소 배의 밤 유키와 알피나의 대화,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00151200.MDZ,0x444;0x445,RUNTIME_REQUEST_SLOT_MULTI_VARIANT_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,이전 상태저장에서 slot1 0x002135DC request 0x0444 resolved 0x0445 stream 0x77이었고 신규 실측에서 slot0 0x00213550 request/resolved 0x0444 stream 0x77을 확인함. 0x001FEA20 0x02C3은 비음성 표시값이므로 단일 주소 트리거를 폐기하고 두 request slot과 0x444/0x445 변형을 공유 cue에 연결.
37,4,gr3_stream_0078,0x78,119,0x446;0x447,0x447,INFERRED_FROM_0x415_META_PATTERN,147541,147.541,audio/extracted/gr3_rendered_events/stream_0078.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
38,4,gr3_stream_0079,0x79,120,0x448;0x449,0x449,INFERRED_FROM_0x415_META_PATTERN,143360,143.360,audio/extracted/gr3_rendered_events/stream_0079.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
39,3,birth_realm_life_warmth_event_007a,0x7A,121,0x44C;0x44D,0x44D,INFERRED_FROM_0x415_META_PATTERN,94827,94.827,audio/extracted/gr3_rendered_events/stream_007a.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
40,4,birth_realm_hect_encounter_event_007b,0x7B,122,0x44E;0x44F,0x44F,INFERRED_FROM_0x415_META_PATTERN,131413,131.413,audio/extracted/gr3_rendered_events/stream_007b.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
41,3,birth_realm_party_reunion_event_007c,0x7C,123,0x450;0x451,0x451,INFERRED_FROM_0x415_META_PATTERN,96768,96.768,audio/extracted/gr3_rendered_events/stream_007c.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
42,4,randoto_island_escape_event_007d,0x7D,124,0x452;0x453,0x453,INFERRED_FROM_0x415_META_PATTERN,126037,126.037,audio/extracted/gr3_rendered_events/stream_007d.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
43,4,alonso_miranda_parenthood_talk_event_007e,0x7E,125,0x454;0x455,0x455,INFERRED_FROM_0x415_META_PATTERN,173227,173.227,audio/extracted/gr3_rendered_events/stream_007e.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
44,2,gr3_stream_007f,0x7F,126,0x456;0x457,0x457,INFERRED_FROM_0x415_META_PATTERN,42709,42.709,audio/extracted/gr3_rendered_events/stream_007f.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
45,3,schmidt_hangar_visit_event_0080,0x80,127,0x458;0x459,0x459,INFERRED_FROM_0x415_META_PATTERN,115136,115.136,audio/extracted/gr3_rendered_events/stream_0080.flac,PASS,슈미트의 격납고 첫 방문,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00216100.MDZ,0x458,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT_FULL_AUDIO_REVIEWED_COMPLETE_CUES,MANUAL_AUDIO_THREE_CHANNEL_REVIEW,REVIEWED_CONTEXT,REVIEWED_60HZ_FULL_STREAM,PREPARE_ONLY_PENDING,"2026-09-02 캡처에서 active display와 slot0 request/resolved가 모두 0x458/stream0x80이고 progress4479 ticks, subtitle timer4482 ticks로 오차는 3 ticks뿐임. 기존 cue JSON이 37초에서 끝나 59.6~113.65초 슈미트 조우 대사 전부가 누락돼 있었음. 좌/우/중앙 채널 Whisper small 3회 교차 검수와 장면 문맥으로 총18큐를 작성하고 앞부분 누락 감탄사·후반 대사·번역을 보완함. 62초대 짧은 전설 언급 문구는 청취상 가장 유력한 독해로 채택."
46,2,schmidt_conversation_event_0081,0x81,128,0x45A;0x45B,0x45B,INFERRED_FROM_0x415_META_PATTERN,38528,38.528,audio/extracted/gr3_rendered_events/stream_0081.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
47,2,schmidt_blueprint_review_event_0082,0x82,129,0x45C;0x45D,0x45D,INFERRED_FROM_0x415_META_PATTERN,43755,43.755,audio/extracted/gr3_rendered_events/stream_0082.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
48,2,schmidt_lem_fruit_tool_event_0083,0x83,130,0x45E;0x45F,0x45F,INFERRED_FROM_0x415_META_PATTERN,52416,52.416,audio/extracted/gr3_rendered_events/stream_0083.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
49,3,schmidt_plane_offer_event_0084,0x84,131,0x460;0x461,0x461,INFERRED_FROM_0x415_META_PATTERN,104683,104.683,audio/extracted/gr3_rendered_events/stream_0084.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
50,4,yuki_leaves_miranda_ship_event_0085,0x85,132,0x462;0x463,0x463,INFERRED_FROM_0x415_META_PATTERN,155456,155.456,audio/extracted/gr3_rendered_events/stream_0085.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
51,3,schmidt_sees_yuki_off_event_0086,0x86,133,0x466;0x467,0x467,INFERRED_FROM_0x415_META_PATTERN,69291,69.291,audio/extracted/gr3_rendered_events/stream_0086.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
