anchor,other,score,byte_class_3gram_jaccard,prefix4_equal,class_equal,message_count_score,message_position_score,unknown_role_score,anchor_class,other_class,anchor_size,other_size,method
00030100:0x00006000,00030100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00006000,00120000:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00006000,00150100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00006000,00151100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,384,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00396001,00120000:0x00006000,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,312,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00396001,00150100:0x00006000,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,312,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00396001,00151100:0x00006000,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,312,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00006000,00120000:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00006000,00150100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00006000,00151100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,384,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00396001,00150100:0x00006000,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,312,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00396001,00151100:0x00006000,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,312,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x00006000,00150100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x00006000,00151100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,384,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x00396001,00151100:0x00006000,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,312,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00151100:0x00006000,00151100:0x00396001,0.711538,0.653846,True,True,1.0,0.0,1.0,0x6000,0x6000,456,384,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00D23001,00030100:0x00DC3004,0.706,0.64,True,True,1.0,0.0,1.0,0x3000,0x3000,80,72,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0C843001,00150100:0x011E3000,0.70577,0.788235,True,True,0.714286,0.0,0.833333,0x3000,0x3000,720,496,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0CDE3000,00150100:0x01813004,0.705769,0.910256,True,True,0.5,0.0,0.666667,0x3000,0x3000,640,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00120000:0x0CDE3000,0.704783,0.865854,True,True,0.571429,0.0,0.727273,0x3000,0x3000,1536,640,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00C43000,00030100:0x00D23001,0.696667,0.616667,True,True,1.0,0.0,1.0,0x3000,0x3000,112,80,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00602000,00120000:0x00602000,0.690204,0.77551,True,True,0.666667,0.0,0.8,0x2000,0x2000,720,2024,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00120000:0x0C843001,0.688008,0.865854,True,True,0.5,0.0,0.666667,0x3000,0x3000,1536,720,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00BA3006,00030100:0x00C43000,0.6875,0.59375,True,True,1.0,0.0,1.0,0x3000,0x3000,80,112,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0CDE3000,00150100:0x011E3000,0.685967,0.788235,True,True,0.625,0.0,0.769231,0x3000,0x3000,640,496,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0D2E5001,00150100:0x01CB5000,0.680823,0.706522,True,True,0.75,0.0,0.857143,0x5000,0x5000,392,368,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00BA3006,00030100:0x00DC3004,0.671429,0.553571,True,True,1.0,0.0,1.0,0x3000,0x3000,80,72,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00C43000,00030100:0x00DC3004,0.67,0.55,True,True,1.0,0.0,1.0,0x3000,0x3000,112,72,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00D23001,00030100:0x00E53002,0.659524,0.52381,True,True,1.0,0.0,1.0,0x3000,0x3000,80,96,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x015C3003,00150100:0x01813004,0.649359,0.769231,True,True,0.5,0.0,0.666667,0x3000,0x3000,296,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00150100:0x01813004,0.647795,0.901235,True,True,0.285714,0.0,0.444444,0x3000,0x3000,1536,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00602000,00150100:0x00602000,0.646821,0.762887,True,True,0.5,0.0,0.666667,0x2000,0x2000,2024,608,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x022C5000,00120000:0x0D2E5001,0.639091,0.647727,True,True,0.666667,0.0,0.8,0x5000,0x5000,208,392,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00150100:0x011E3000,0.636436,0.825581,True,True,0.357143,0.0,0.526316,0x3000,0x3000,1536,496,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00DC3004,00030100:0x00E53002,0.634127,0.460317,True,True,1.0,0.0,1.0,0x3000,0x3000,72,96,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00602000,00150100:0x00602000,0.623596,0.808989,True,True,0.333333,0.0,0.5,0x2000,0x2000,720,608,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x011E3000,00150100:0x015C3003,0.622143,0.7625,True,True,0.4,0.0,0.571429,0x3000,0x3000,496,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x047A2003,00120000:0x06642004,0.618561,0.957447,False,True,0.928571,0.0,0.962963,0x2000,0x2000,3920,3984,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x022C5000,00150100:0x01CB5000,0.616365,0.686747,True,True,0.5,0.0,0.666667,0x5000,0x5000,208,368,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00C43000,00150100:0x015C3003,0.610238,0.671429,True,True,0.5,0.0,0.666667,0x3000,0x3000,112,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x02112002,00120000:0x06642004,0.601748,0.957895,False,True,0.846154,0.0,0.916667,0x2000,0x2000,4936,3984,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00602000,00120000:0x09592005,0.589394,0.848485,False,True,1.0,0.0,1.0,0x2000,0x2000,2024,3848,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00120000:0x047A2003,0.58913,0.847826,False,False,1.0,0.0,1.0,0x3000,0x2000,1536,3920,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00E53002,00150100:0x015C3003,0.586111,0.611111,True,True,0.5,0.0,0.666667,0x3000,0x3000,96,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00602000,00120000:0x02112002,0.58584,0.88172,False,True,0.916667,0.0,0.956522,0x2000,0x2000,720,4936,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x01B13005,00120000:0x0C843001,0.58253,0.831325,False,True,1.0,0.0,1.0,0x3000,0x3000,944,720,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0C843001,00150100:0x015C3003,0.580972,0.734177,True,True,0.285714,0.0,0.444444,0x3000,0x3000,720,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x08562001,00120000:0x0B3A2007,0.580744,0.912088,False,True,0.833333,0.0,0.909091,0x2000,0x2000,2072,2640,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x02112002,00120000:0x047A2003,0.580594,0.936842,False,True,0.785714,0.0,0.88,0x2000,0x2000,4936,3920,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0CDE3000,00150100:0x015C3003,0.580064,0.75641,True,True,0.25,0.0,0.4,0x3000,0x3000,640,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00602000,00120000:0x06642004,0.579142,0.861702,False,True,0.923077,0.0,0.96,0x2000,0x2000,720,3984,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x02112002,00150100:0x00B62002,0.570088,0.849462,True,True,0.090909,0.0,0.166667,0x2000,0x2000,4936,512,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x02112002,00120000:0x09592005,0.568038,0.936842,False,True,0.727273,0.0,0.842105,0x2000,0x2000,4936,3848,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x09592005,00120000:0x0CDE3000,0.567391,0.793478,False,False,1.0,0.0,1.0,0x2000,0x3000,3848,640,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x08562001,00120000:0x09592005,0.563806,0.913978,False,True,0.75,0.0,0.857143,0x2000,0x2000,2072,3848,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x06642004,00120000:0x09592005,0.559896,0.978495,False,True,0.615385,0.0,0.761905,0x2000,0x2000,3984,3848,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00120000:0x06642004,0.559793,0.810526,False,False,0.928571,0.0,0.962963,0x3000,0x2000,1536,3984,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0B3A2007,00150100:0x011E3000,0.559677,0.774194,False,False,1.0,0.0,1.0,0x2000,0x3000,2640,496,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x01B13005,00120000:0x0CDE3000,0.559107,0.809524,False,True,0.875,0.071429,0.933333,0x3000,0x3000,944,640,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00BA3006,00150100:0x015C3003,0.558333,0.541667,True,True,0.5,0.0,0.666667,0x3000,0x3000,80,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00C43000,00150100:0x01813004,0.556447,0.697368,True,True,0.25,0.0,0.4,0x3000,0x3000,112,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00D23001,00150100:0x015C3003,0.556159,0.536232,True,True,0.5,0.0,0.666667,0x3000,0x3000,80,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x047A2003,00120000:0x09592005,0.549746,0.978261,False,True,0.571429,0.0,0.727273,0x2000,0x2000,3920,3848,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00602000,00120000:0x047A2003,0.5493,0.821053,False,True,0.857143,0.0,0.923077,0x2000,0x2000,720,3920,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0D824000,00150100:0x01813004,0.547872,0.744681,False,False,1.0,0.0,1.0,0x4000,0x3000,1256,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0D824000,00150100:0x01CB5000,0.544737,0.736842,False,False,1.0,0.0,1.0,0x4000,0x5000,1256,368,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x08562001,00120000:0x0C843001,0.544475,0.808989,False,False,0.857143,0.0,0.923077,0x2000,0x3000,2072,720,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x01813004,00150100:0x01CB5000,0.544253,0.735632,False,False,1.0,0.0,1.0,0x3000,0x5000,592,368,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x01B13005,00120000:0x09592005,0.543732,0.797872,False,False,0.875,0.0,0.933333,0x3000,0x2000,944,3848,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00E53002,00150100:0x01813004,0.542435,0.662338,True,True,0.25,0.0,0.4,0x3000,0x3000,96,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x00602000,00150100:0x01813004,0.542135,0.730337,False,False,1.0,0.0,1.0,0x2000,0x3000,608,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x09592005,00120000:0x0C843001,0.541975,0.793478,False,False,0.875,0.0,0.933333,0x2000,0x3000,3848,720,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00602000,00120000:0x0CDE3000,0.541667,0.729167,False,False,1.0,0.0,1.0,0x2000,0x3000,2024,640,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00150100:0x015C3003,0.539111,0.731707,True,True,0.142857,0.0,0.25,0x3000,0x3000,1536,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0B3A2007,00150100:0x00602000,0.538559,0.824176,False,True,0.8,0.0,0.888889,0x2000,0x2000,2640,608,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00F13003,00120000:0x02112002,0.537772,0.829787,False,False,0.785714,0.0,0.88,0x3000,0x2000,1536,4936,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x09592005,00120000:0x0B3A2007,0.536264,0.913978,False,True,0.625,0.0,0.769231,0x2000,0x2000,3848,2640,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0D824000,00150100:0x00602000,0.535714,0.714286,False,False,1.0,0.0,1.0,0x4000,0x2000,1256,608,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x01B13005,00120000:0x08562001,0.535507,0.755319,False,False,0.857143,0.083333,0.923077,0x3000,0x2000,944,2072,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00602000,00120000:0x02112002,0.533301,0.85,False,True,0.727273,0.0,0.842105,0x2000,0x2000,2024,4936,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x01B13005,00120000:0x00602000,0.532917,0.770833,False,False,0.875,0.0,0.933333,0x3000,0x2000,944,2024,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00E53002,00150100:0x011E3000,0.532358,0.597561,True,True,0.2,0.2,0.333333,0x3000,0x3000,96,496,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00602000,00120000:0x0C843001,0.530966,0.765957,False,False,0.875,0.0,0.933333,0x2000,0x3000,2024,720,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x015D2006,00150100:0x00602000,0.530032,0.829545,False,True,0.75,0.0,0.857143,0x2000,0x2000,1440,608,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00C43000,00120000:0x0C843001,0.529095,0.706667,True,True,0.142857,0.0,0.25,0x3000,0x3000,112,720,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00602000,00120000:0x08562001,0.528827,0.826531,False,True,0.75,0.0,0.857143,0x2000,0x2000,2024,2072,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0D5F5002,00150100:0x00B62002,0.528261,0.695652,False,False,1.0,0.0,1.0,0x5000,0x2000,280,512,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x08562001,00150100:0x00602000,0.526337,0.824176,False,True,0.666667,0.111111,0.8,0x2000,0x2000,2072,608,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x02465001,00120000:0x0D2E5001,0.525976,0.902439,False,True,0.6,0.0,0.75,0x5000,0x5000,360,392,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x08562001,00150100:0x011E3000,0.525587,0.774194,False,False,0.833333,0.0,0.909091,0x2000,0x3000,2072,496,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00BA3006,00150100:0x01813004,0.524868,0.618421,True,True,0.25,0.0,0.4,0x3000,0x3000,80,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00DC3004,00150100:0x015C3003,0.524524,0.457143,True,True,0.5,0.0,0.666667,0x3000,0x3000,72,296,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x015D2006,00150100:0x00AC2001,0.52439,0.560976,True,True,0.333333,0.0,0.5,0x2000,0x2000,1440,80,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x00602000,00150100:0x011E3000,0.522525,0.784091,False,False,0.8,0.0,0.888889,0x2000,0x3000,608,496,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x02274000,00150100:0x00F62003,0.521053,0.302632,False,False,1.0,1.0,1.0,0x4000,0x2000,40,320,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0B3A2007,00150100:0x01813004,0.520977,0.78022,False,False,0.8,0.0,0.888889,0x2000,0x3000,2640,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00602000,00030100:0x00F13003,0.520879,0.75,False,False,0.857143,0.0,0.923077,0x2000,0x3000,720,1536,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
