pattern_type,scope,window,pattern_key,normalized_pattern,count,min_size,max_size,classes,resource_ids,roles,candidate_kind,evidence,confidence,sample_location,sample_raw_hex
exact,message_window,pre8,9c266bc2a1ff9b08c359137d23fbb56b5496d8c09956bb24708fd0d69237c565,,4,8,8,0x2000,0x00602000;0x0B3A2007,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A993C,ff ff ff ff 80 00 14 00
exact,message_window,message_header,188a9a7332e26bf115cdd663bc3f3a7ffcb80278cbe44020edd9f14cfaa40fb1,,9,5,5,0x2000;0x5000,0x00602000;0x015D2006;0x01CB5000;0x02112002;0x02135003;0x06642004,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A993C,02 0e 00 06 00
exact,message_window,post8,7bfc120f54e21a30060924d603cf2fa7533daf5da8dcbe03ce85a294f1e80613,,1,8,8,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A993C,02 03 00 05 20 06 02 10
exact,message_window,post16,b990a6220aabd90b019476ad76854aadef9aeb5185bded32a7d6b861a2efbad5,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A993C,02 03 00 05 20 06 02 10 30 56 04 0d 00 ff ff ff
exact,message_window,post32,80ef0453ef800d4252748ffe72cad581cf275fd843f756f16bf3ac5982949da1,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A993C,02 03 00 05 20 06 02 10 30 56 04 0d 00 ff ff ff ff b0 00 3c 00 22 0e 00 20 00 b9 f2 80 e3 f0 a0
exact,message_window,pre32,dd3cf8a5f94826f08fe9c8273dcc8bcf6e6a4c50df2ffa28a45d9608823ef979,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9961,77 b6 21 9c c2 9d b4 43 0d ff 00 02 03 00 05 20 06 02 10 30 56 04 0d 00 ff ff ff ff b0 00 3c 00
exact,message_window,pre16,bb5db9d277b707a735a0016f25bc877b31cc7d4832f878a477fd4c7aad9bd72f,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9961,06 02 10 30 56 04 0d 00 ff ff ff ff b0 00 3c 00
exact,message_window,post16,dd61c1cca75a60aabbe02aa14bc9996f2e1ea675310655a913ce0e2d2978b0d1,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9961,0d 00 ff ff ff ff c0 00 28 00 02 0e 00 0a 00 4c
exact,message_window,post32,ba1d4c2d992e4aa1eb8518cc6b21941916f29d37c5649bfd785ae2ab76bf66af,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9961,0d 00 ff ff ff ff c0 00 28 00 02 0e 00 0a 00 4c 30 f0 3b f0 3a f0 e2 a0 86 9a 93 08 21 cf e4 e3
exact,message_window,pre32,338a3ecb824f4823d74298e3f02bfc3d6477ddda99484b68031f3a09083061e2,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A999B,9c c2 9a 7e 9c c2 98 08 6c f0 3d f6 9c 77 c0 ba 9f 7a 44 0d ff 00 0d 00 ff ff ff ff c0 00 28 00
exact,message_window,pre16,e1995b031d1a395fe23e5dd87782c5b2630fb3201d8508a047bb120bb61671df,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A999B,9f 7a 44 0d ff 00 0d 00 ff ff ff ff c0 00 28 00
exact,message_window,pre8,af39c7b9c16ecc70f1026419023c88e5b6d3d5255b15779ae841ba8611f395c5,,4,8,8,0x2000,0x00602000;0x02112002;0x09592005,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A999B,ff ff ff ff c0 00 28 00
exact,message_window,message_header,e83296442ee56a4dd26013e0a5c3f81d6a05b5be3ba198ecb8bf8143ece5c3f0,,3,5,5,0x2000;0x3000;0x5000,0x00602000;0x011E3000;0x022C5000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A999B,02 0e 00 0a 00
exact,message_window,post8,99e1c215986dc09daa3c451f55a9a9e66337e54316438ad1d972259770a36ccc,,1,8,8,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A999B,02 02 05 00 05 00 00 c2
exact,message_window,post16,fe1b5d7add91162133e7f672b781ca93ab8952b69ab101f9228c5e0d42a0d560,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A999B,02 02 05 00 05 00 00 c2 6a 0f 00 05 00 06 00 00
exact,message_window,post32,e4e471797498267739b14f981063758bdf23a0c464b17edd18af2b6d6f945596,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A999B,02 02 05 00 05 00 00 c2 6a 0f 00 05 00 06 00 00 c6 93 0f 00 10 30 f6 04 0d 00 ff ff ff ff b0 00
exact,message_window,pre32,dba2a1804d56785d7e1864d3233fed16c222f1d14454115a2d9798d9d811dd3b,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A99DF,05 00 05 00 00 c2 6a 0f 00 05 00 06 00 00 c6 93 0f 00 10 30 f6 04 0d 00 ff ff ff ff b0 00 3c 00
exact,message_window,pre16,7eddaca16c137ffbb35aec8ecccaee8c1759991b4cd878c5c5825817cc6fdb40,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A99DF,0f 00 10 30 f6 04 0d 00 ff ff ff ff b0 00 3c 00
exact,message_window,post8,525288c098bd22ee546c3a9c48b61654a252e08a5a05e7aed6a5ed1c539be15e,,3,8,8,0x2000,0x00602000;0x0B3A2007,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A99DF,0d 00 ff ff ff ff a0 00
exact,message_window,post16,8ab2834de587fd47066215397cdc53d2f5428f71a48a89bc0b0a52488793eaaa,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A99DF,0d 00 ff ff ff ff a0 00 28 00 02 0e 00 03 00 75
exact,message_window,post32,bc9ec5c110882d04f9ea56279bfe81c173f5c46c7d4e63f39483342a7fde7371,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A99DF,0d 00 ff ff ff ff a0 00 28 00 02 0e 00 03 00 75 75 21 9c 77 9c 77 08 8f c2 8f c2 6c f0 3d f6 9c
exact,message_window,pre32,71f34d964ce6a86d5c9c95b309901808af7637b8536c6ec21a3418d888b15588,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9A19,9c c2 9a 7e 9c c2 98 08 6c f0 3d f6 9c 77 c0 ba 9f 7a 44 0d ff 00 0d 00 ff ff ff ff a0 00 28 00
exact,message_window,pre16,7c30a0d76acb421663652808e50e197a1c544030eddb41e160c4d7bbaa1277b5,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9A19,9f 7a 44 0d ff 00 0d 00 ff ff ff ff a0 00 28 00
exact,message_window,pre8,3c28fafcdcc600631e2399c0cc8909b6e8cced693a2a78e1d135e1f02129ef41,,8,8,8,0x2000,0x00602000;0x02112002;0x06642004,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9A19,ff ff ff ff a0 00 28 00
exact,message_window,message_header,6fee452b106c65b4c02883f335fd2e1a619ef716fb6297ea0272a45985d998d8,,5,5,5,0x2000;0x3000;0x5000,0x00602000;0x015C3003;0x022C5000;0x09592005,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9A19,02 0e 00 03 00
exact,message_window,post8,1357a29312851c8172ef7cf1f128780cc67b0eae50ac41b80992618f597e47b4,,1,8,8,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9A19,0d 00 ff ff ff ff 90 00
