mdt,scene_id,record_id,resource_index,resource_id,class,subtype,descriptor_offset,data_offset,size,declared_size,message_count,message_offsets,resource_prefix_4,resource_prefix_16,unknown_block_count,unknown_bytes,pre_message_blocks,pre_message_bytes,between_message_blocks,between_message_bytes,resource_tail_blocks,resource_tail_bytes,no_message_anchor_blocks,no_message_anchor_bytes,warnings
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,10,0x02274000,0x4000,0,0x002A9538,0x002AA6A0,40,40,0,,0d 00 32 00,0d 00 32 00 32 00 c0 00 14 00 80 0e 00 00 00 91,2,80,0,0,0,0,0,0,2,80,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,11,0x022C5000,0x5000,0,0x002A9548,0x002AA6C8,208,208,2,0x002AA70C;0x002AA742,05 00 00 00,05 00 00 00 00 ae 6a 0f 00 06 01 a1 01 0d 0b b8,4,117,1,64,2,13,1,40,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,12,0x02465001,0x5000,1,0x002A9558,0x002AA798,360,60880,5,0x002AA7A5;0x002AA7CA;0x002AA81A;0x002AA83D;0x002AA87F,13 ff 3c 0d,13 ff 3c 0d 05 30 00 40 01 c0 00 14 00 02 0e 00,10,118,1,9,8,40,1,69,0,0,declared size exceeds record; effective range is clamped to record end
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,0,0x00006000,0x6000,0,0x00530718,0x00530808,456,456,2,0x0053081F;0x005308E6,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 c7 00 0d 09 ff,4,387,1,19,2,172,1,196,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,1,0x00396001,0x6000,1,0x00530728,0x005309D0,312,312,2,0x005309E7;0x00530A67,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 48 02 0d 09 ff,4,259,1,19,2,109,1,131,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,2,0x00602000,0x2000,0,0x00530738,0x00530B08,2024,2024,8,0x00530BF6;0x00530C6F;0x00530D4B;0x00530D65;0x00530FB9;0x00531044;0x00531140;0x0053115A,03 00 01 20,03 00 01 20 06 01 05 00 05 00 00 16 df 0f 00 05,16,1800,1,234,14,1190,1,376,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,3,0x015D2006,0x2000,6,0x00530748,0x005312F0,1440,1440,3,0x00531360;0x005316B7;0x0053172A,03 00 01 21,03 00 01 21 06 01 05 00 05 00 00 da 37 20 00 05,6,1294,1,108,4,893,1,293,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,4,0x02112002,0x2000,2,0x00530758,0x00531890,4936,4936,11,0x00531912;0x00531995;0x00531B59;0x00531D2F;0x00531DBD;0x00531EF9;0x00531F72;0x00531FC4;0x00532264;0x00532345;0x00532A5D,03 00 01 22,03 00 01 22 06 01 05 00 05 00 00 16 df 0f 00 05,22,4475,1,126,20,4027,1,322,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,5,0x047A2003,0x2000,3,0x00530768,0x00532BD8,3920,3920,14,0x00532C59;0x00532D74;0x00532DFB;0x00532E83;0x00532F61;0x00533013;0x0053332E;0x0053353B;0x00533600;0x00533661;0x0053376B;0x0053382B;0x0053388C;0x00533973,03 00 01 23,03 00 01 23 06 01 05 00 05 00 00 16 df 0f 00 05,28,3404,1,125,26,2881,1,398,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,6,0x06642004,0x2000,4,0x00530778,0x00533B28,3984,3984,13,0x00533B9B;0x00533C26;0x00533CA3;0x00533EBC;0x00533F49;0x00533FDE;0x0053407E;0x005341B4;0x0053472F;0x005347BD;0x00534838;0x00534912;0x005349C3,03 00 01 24,03 00 01 24 06 01 05 00 05 00 00 16 df 0f 00 05,26,3520,1,111,24,3192,1,217,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,7,0x08562001,0x2000,1,0x00530788,0x00534AB8,2072,2072,6,0x00534B17;0x00534BBF;0x00534CE1;0x00534E91;0x00534F42;0x0053501A,03 00 01 25,03 00 01 25 06 01 05 00 05 00 00 16 df 0f 00 05,12,1790,1,91,10,1059,1,640,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,8,0x09592005,0x2000,5,0x00530798,0x005352D0,3848,3848,8,0x00535300;0x00535386;0x005353F3;0x00535768;0x005357E6;0x005358C2;0x00535A98;0x00535F60,03 00 01 26,03 00 01 26 06 01 05 00 05 00 00 16 df 0f 00 05,16,3497,1,44,14,2861,1,592,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,9,0x0B3A2007,0x2000,7,0x005307A8,0x005361D8,2640,2640,5,0x00536250;0x005362C7;0x00536359;0x00536397;0x0053687A,03 00 01 27,03 00 01 27 06 01 05 00 05 00 00 da 37 20 00 05,10,2467,1,116,8,1428,1,923,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,10,0x0C843001,0x3000,1,0x005307B8,0x00536C28,720,720,7,0x00536C77;0x00536CB9;0x00536CF2;0x00536D3E;0x00536DB9;0x00536E73;0x00536EC5,05 00 05 00,05 00 05 00 00 16 df 0f 00 05 00 06 00 00 a6 e0,14,404,1,75,12,320,1,9,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,11,0x0CDE3000,0x3000,0,0x005307C8,0x00536EF8,640,640,8,0x00536F22;0x00536F45;0x00536F94;0x00536FE5;0x00537028;0x0053708B;0x005370D5;0x0053714E,05 00 05 00,05 00 05 00 00 b4 69 0f 00 05 00 06 00 00 a6 e0,16,301,1,38,14,258,1,5,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,12,0x0D2E5001,0x5000,1,0x005307D8,0x00537178,392,392,3,0x0053718E;0x005371CE;0x005372D3,05 00 00 00,05 00 00 00 00 d8 e0 0f 00 13 ff 2d 0d 05 30 00,6,299,1,18,4,264,1,17,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,13,0x0D5F5002,0x5000,2,0x005307E8,0x00537300,280,280,1,0x0053733B,13 ff 1e 0d,13 ff 1e 0d 06 00 01 40 01 c0 00 28 00 32 0e 00,2,244,1,55,0,0,1,189,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00120000.MDT,00120000,0x00740000,14,0x0D824000,0x4000,0,0x005307F8,0x00537418,1256,37872,4,0x00537517;0x005375B0;0x005377DE;0x00537836,05 00 02 0c,05 00 02 0c 00 00 60 21 00 10 30 8d 6c 06 03 0a,8,1112,1,251,6,698,1,163,0,0,declared size exceeds record; effective range is clamped to record end
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,0,0x00006000,0x6000,0,0x003D6198,0x003D6268,456,456,2,0x003D627F;0x003D6346,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 c7 00 0d 09 ff,4,387,1,19,2,172,1,196,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,1,0x00396001,0x6000,1,0x003D61A8,0x003D6430,312,312,2,0x003D6447;0x003D64C7,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 48 02 0d 09 ff,4,259,1,19,2,109,1,131,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,2,0x00602000,0x2000,0,0x003D61B8,0x003D6568,608,608,4,0x003D65B5;0x003D6624;0x003D66FE;0x003D677B,03 00 01 20,03 00 01 20 06 01 05 00 05 00 00 ee 06 10 00 05,8,394,1,73,6,290,1,31,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,3,0x00AC2001,0x2000,1,0x003D61C8,0x003D67C8,80,80,1,0x003D67EE,03 00 01 21,03 00 01 21 06 01 05 00 05 00 00 52 07 10 00 05,2,39,1,34,0,0,1,5,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,4,0x00B62002,0x2000,2,0x003D61D8,0x003D6818,512,512,1,0x003D6846,03 00 01 22,03 00 01 22 06 01 05 00 05 00 00 ee 06 10 00 05,2,349,1,42,0,0,1,307,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,5,0x00F62003,0x2000,3,0x003D61E8,0x003D6A18,320,320,0,,03 00 01 23,03 00 01 23 06 01 05 00 05 00 00 46 09 10 00 05,2,640,0,0,0,0,0,0,2,640,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,6,0x011E3000,0x3000,0,0x003D61F8,0x003D6B58,496,496,5,0x003D6B80;0x003D6BFD;0x003D6C80;0x003D6CBA;0x003D6D21,05 00 05 00,05 00 05 00 00 46 09 10 00 05 00 06 00 00 64 09,10,249,1,36,8,199,1,14,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,7,0x015C3003,0x3000,3,0x003D6208,0x003D6D48,296,296,2,0x003D6D7F;0x003D6E12,05 00 05 00,05 00 05 00 00 50 e1 0f 00 05 00 06 00 00 ee 06,4,110,1,51,2,56,1,3,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,8,0x01813004,0x3000,4,0x003D6218,0x003D6E70,592,592,4,0x003D6EB1;0x003D6F7F;0x003D6FE0;0x003D7042,05 00 05 00,05 00 05 00 00 50 e1 0f 00 05 00 06 00 00 ee 06,8,287,1,61,6,210,1,16,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,9,0x01CB5000,0x5000,0,0x003D6228,0x003D70C0,368,368,4,0x003D70DA;0x003D7142;0x003D71BA;0x003D71D8,05 00 00 00,05 00 00 00 00 5a 09 10 00 06 01 a1 01 13 ff 29,8,241,1,22,6,185,1,34,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,10,0x01F95001,0x5000,1,0x003D6238,0x003D7230,104,104,1,0x003D7267,0d 05 30 00,0d 05 30 00 40 01 e0 00 28 00 42 0e 00 30 00 d3,2,58,1,51,0,0,1,7,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,11,0x02065002,0x5000,2,0x003D6248,0x003D7298,104,104,1,0x003D72D7,0d 05 30 00,0d 05 30 00 40 01 e0 00 3c 00 32 0e 00 2a 00 7d,2,60,1,59,0,0,1,1,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00150100.MDT,00150100,0x00740000,12,0x02135003,0x5000,3,0x003D6258,0x003D7300,128,61288,1,0x003D7311,06 01 a1 01,06 01 a1 01 13 ff 29 0d 05 30 00 40 01 40 00 14,2,107,1,13,0,0,1,94,0,0,declared size exceeds record; effective range is clamped to record end
/private/tmp/gr3-ship-analysis.CYee09/DATA_00151100.MDT,00151100,0x00740000,0,0x00006000,0x6000,0,0x00162198,0x001621B8,456,456,2,0x001621CF;0x00162296,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 c7 00 0d 09 ff,4,387,1,19,2,172,1,196,0,0,
/private/tmp/gr3-ship-analysis.CYee09/DATA_00151100.MDT,00151100,0x00740000,1,0x00396001,0x6000,1,0x001621A8,0x00162380,384,65080,2,0x00162397;0x00162417,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 48 02 0d 09 ff,4,331,1,19,2,109,1,203,0,0,declared size exceeds record; effective range is clamped to record end
