id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
BATTLE_TUTORIAL_CMD_0001,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_1,,0,0x01755B,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0012,BATTLE_UI,tutorial_generic_retreat,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_3,,11,0x01759D,,47 F5 E8 F4,撤退,퇴각,8F F9 E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/4 bytes.
BATTLE_TUTORIAL_CMD_0013,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_4,,12,0x0175A2,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0014,BATTLE_UI,tutorial_generic_critical,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_4,,13,0x0175A6,,B1 EC C7 A5 AD ED,クリティカル,치명타,3F F3 E5 E8 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0015,BATTLE_UI,tutorial_character_action,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_4,,14,0x0175AD,,D7 EC 27 C3 EA B2,ブリーチング,브리칭,6F F3 6A CA F3,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0016,BATTLE_UI,tutorial_generic_retreat,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_4,,15,0x0175B4,,47 F5 E8 F4,撤退,퇴각,8F F9 E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/4 bytes.
BATTLE_TUTORIAL_CMD_0017,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_5,,16,0x0175B9,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0018,BATTLE_UI,tutorial_generic_critical,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_5,,17,0x0175BD,,B1 EC C7 A5 AD ED,クリティカル,치명타,3F F3 E5 E8 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0019,BATTLE_UI,tutorial_character_action,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_5,,18,0x0175C4,,7A 7B 93 73 AC EB 75 23,とどめだオラっ！,끝장이다,EE F6 86 6B 72,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/8 bytes.
BATTLE_TUTORIAL_CMD_0020,BATTLE_UI,tutorial_generic_retreat,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_5,,19,0x0175CD,,47 F5 E8 F4,撤退,퇴각,8F F9 E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/4 bytes.
BATTLE_TUTORIAL_CMD_0021,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_6,,20,0x0175D2,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0022,BATTLE_UI,tutorial_generic_critical,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_6,,21,0x0175D6,,B1 EC C7 A5 AD ED,クリティカル,치명타,3F F3 E5 E8 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0023,BATTLE_UI,tutorial_character_action,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_6,,22,0x0175DD,,AE CA EC EA B2 B9 E6 27 C9,ガドリングシュート,개틀링슛,57 F3 3D F3 BD F8 C4 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 8/9 bytes.
BATTLE_TUTORIAL_CMD_0024,BATTLE_UI,tutorial_generic_retreat,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_6,,23,0x0175E7,,47 F5 E8 F4,撤退,퇴각,8F F9 E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/4 bytes.
BATTLE_TUTORIAL_CMD_0025,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_7,,24,0x0175EC,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0026,BATTLE_UI,tutorial_generic_critical,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_7,,25,0x0175F0,,B1 EC C7 A5 AD ED,クリティカル,치명타,3F F3 E5 E8 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0027,BATTLE_UI,tutorial_character_action,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_7,,26,0x0175F7,,75 F2 CE F2 90 F4 64 F1,雷鳴招来,낙뢰소환,2A F7 A2 F8 B4 A1 F4,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 7/8 bytes.
BATTLE_TUTORIAL_CMD_0028,BATTLE_UI,tutorial_generic_retreat,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_7,,27,0x017600,,47 F5 E8 F4,撤退,퇴각,8F F9 E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/4 bytes.
