id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
ITEM_0011_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0011,,0,0xDA12,0x000EE4,D6 EB A6 C9 E7 CC C4 C9,フライトユニット,플라이트 유닛,84 F7 66 6B D2 20 A8 B7 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0016_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0016,,1,0xE8D2,0x000F90,AC 27 D7 32 F0 E7 F1 7E F4 E9 A8 C9 80 85 F0 5F 66 93 9B 9E 72 8B F0 B0 F0,オーブ／聖獣ヨウトの力がこめられた宝玉,오브／성수 요우토의 힘이 깃든 보옥,90 6F F3 32 F0 D6 8B 20 52 83 66 F1 75 20 85 F7 6B 20 A3 F6 CD 20 89 A6 F4,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0017_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0017,,0,0xDA40,0x000FA4,BD A6 D1 AC 27 D7,セイバオーブ,세이바 오브,C6 6B 9F 20 90 6F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0017_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0017,,1,0xE92A,0x000FB0,AC 27 D7 32 F0 E7 F1 7E F4 BD A6 D1 80 85 F0 5F 66 93 9B 9E 72 8B F0 B0 F0,オーブ／聖獣セイバの力がこめられた宝玉,오브／성수 세이바의 힘이 깃든 보옥,90 6F F3 32 F0 D6 8B 20 C6 6B 9F 75 20 85 F7 6B 20 A3 F6 CD 20 89 A6 F4,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0018_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0018,,0,0xDA47,0x000FC4,A8 CB DF AC 27 D7,ウナマオーブ,우나마 오브,83 50 5C 20 90 6F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0018_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0018,,1,0xE981,0x000FD0,AC 27 D7 32 F0 E7 F1 7E F4 A8 CB DF 80 85 F0 5F 66 93 9B 9E 72 8B F0 B0 F0,オーブ／聖獣ウナマの力がこめられた宝玉,오브／성수 우나마의 힘이 깃든 보옥,90 6F F3 32 F0 D6 8B 20 83 50 5C 75 20 85 F7 6B 20 A3 F6 CD 20 89 A6 F4,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0019_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0019,,0,0xDA4E,0x000FE4,D3 F1 B7 F0 80 D7 EF 27 C3,神人のブローチ,신인의 브로치,B0 8C 75 20 6F F3 79 3F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0019_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0019,,1,0xE9CF,0x000FF0,96 F3 36 F1 BD F1 32 F0 7E F2 80 EF F5 80 80 F0 A1 6A 72 BB F1 6A 57 D7 EF 27 C3,貴重品／鳥の翼の形をした美しいブローチ,중요품／새의 날개 모양으로 만든 아름다운 브로치,E5 F4 52 50 F7 32 F0 40 F6 75 20 AF 57 F3 20 B2 64 F9 82 79 20 55 CD 20 70 B2 F8 72 E9 20 6F F3 79 3F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0020_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0020,,0,0xDA58,0x001004,D3 F1 B7 F0 80 D7 EF 27 C3,神人のブローチ,신인의 브로치,B0 8C 75 20 6F F3 79 3F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0020_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0020,,1,0xE9ED,0x001010,96 F3 36 F1 BD F1 32 F0 7E F2 80 EF F5 80 80 F0 A1 6A 72 BB F1 6A 57 D7 EF 27 C3,貴重品／鳥の翼の形をした美しいブローチ,중요품／새의 날개 모양으로 만든 아름다운 브로치,E5 F4 52 50 F7 32 F0 40 F6 75 20 AF 57 F3 20 B2 64 F9 82 79 20 55 CD 20 70 B2 F8 72 E9 20 6F F3 79 3F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0021_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0021,,0,0xDA62,0x001024,A4 EF EA BF 80 94 F0 80 AD B0,アロンソの船のカギ,알론소의 배 열쇠,9A 9E F8 B4 75 20 72 F9 20 B5 F3 77 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0021_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0021,,1,0xEA0B,0x001030,96 F3 36 F1 BD F1 32 F0 A4 EF EA BF 80 7D F1 94 F0 80 AD B0,貴重品／アロンソの愛船のカギ,중요품／알론소가 아끼는 배의 열쇠,E5 F4 52 50 F7 32 F0 9A 9E F8 B4 4A 20 70 20 F7 73 20 72 F9 75 20 B5 F3 77 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0022_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0022,,0,0xDA6D,0x001044,EE E1 80 4F F2,レムの実,렘의 열매,90 F8 75 20 B5 F3 D0 F8,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0022_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0022,,1,0xEA22,0x001050,96 F3 36 F1 BD F1 32 F0 91 F5 78 F1 7D B8 F7 57 66 7A 79 CC F1 9B 9E 9D B3 F0 80 4F F2,貴重品／非常に硬いことで知られる木の実,중요품／매우 단단한 것으로 알려진 나무 열매,E5 F4 52 50 F7 32 F0 D0 F8 83 20 C7 F7 C7 F7 7A 20 53 82 79 20 9A AB C5 20 50 97 20 B5 F3 D0 F8,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0023_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0023,,0,0xDA73,0x001064,84 F4 79 F5 80 CE C4 B1 EE BB,純白のネックレス,순백의 목걸이,99 F7 73 F9 75 20 27 F9 C0 6B,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0023_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0023,,1,0xEA42,0x001070,96 F3 36 F1 BD F1 32 F0 D0 F0 E8 F0 79 81 F0 76 64 72 79 F5 57 CE C4 B1 EE BB,貴重品／雪山で見つけた白いネックレス,중요품／설산에서 발견한 하얀 목걸이,E5 F4 52 50 F7 32 F0 C4 F6 C2 F5 7D 6C 20 6C F9 B5 F4 7A 20 61 63 F9 20 27 F9 C0 6B,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0025_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0025,,0,0xDA7E,0x0010A4,D6 EB A6 C9 E7 CC C4 C9,フライトユニット,플라이트 유닛,84 F7 66 6B D2 20 A8 B7 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0025_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0025,,1,0xEA5F,0x0010B0,96 F3 36 F1 BD F1 32 F0 9A 91 5F 5B 75 72 D6 EB A6 C9 E7 CC C4 C9 23,貴重品／よみがえったフライトユニット！,중요품／되살아난 플라이트 유닛!,E5 F4 52 50 F7 32 F0 E1 E8 70 D1 20 84 F7 66 6B D2 20 A8 B7 F7 23,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0050_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0050,,0,0xDA87,0x0013C4,E2 C2 ED,メダル,메달,E7 F8 C9 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0050_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0050,,1,0xEA79,0x0013D0,E2 C2 ED 32 F0 A4 EF EA BF 80 4C F2 5F 7F F4 75 72 E2 C2 ED,メダル／アロンソの魂が宿ったメダル,메달／알론소의 영혼이 깃든 메달,E7 F8 C9 F7 32 F0 9A 9E F8 B4 75 20 63 F4 C4 F3 6B 20 A3 F6 CD 20 E7 F8 C9 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0051_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0051,,0,0xDA8B,0x0013E4,E2 C2 ED 32 30 C5 F5,メダル20枚,메달 20개,E7 F8 C9 F7 20 32 30 57 F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0051_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0051,,1,0xEA90,0x0013F0,E2 C2 ED 32 F0 5D E0 F5 85 7C F3 4F F0 80 8C F4 A1 F5 A1 6C 9D E2 C2 ED,メダル／お遊び感覚の勝負をするメダル,메달／놀이하듯 승부를 겨루는 메달,E7 F8 C9 F7 32 F0 6B F7 6B 61 3F F8 20 2E F8 A4 87 20 B1 F4 A6 F8 73 20 E7 F8 C9 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0052_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0052,,0,0xDA93,0x001404,E2 C2 ED 32 30 30 C5 F5,メダル200枚,메달 200개,E7 F8 C9 F7 20 32 30 30 57 F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0052_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0052,,1,0xEAAB,0x001410,E2 C2 ED 32 F0 C3 E8 C4 C9 35 F1 9B F0 7C 8C F4 A1 F5 A1 6C 9D E2 C2 ED,メダル／チョット強気な勝負をするメダル,메달／조금 대담한 승부를 겨루는 메달,E7 F8 C9 F7 32 F0 CE C7 20 8D CA F7 7A 20 2E F8 A4 87 20 B1 F4 A6 F8 73 20 E7 F8 C9 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0053_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0053,,0,0xDA9C,0x001424,E2 C2 ED 32 30 30 30 C5 F5,メダル2000枚,메달 2000개,E7 F8 C9 F7 20 32 30 30 30 57 F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0053_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0053,,1,0xEAC6,0x001430,E2 C2 ED 32 F0 A6 C3 5E D1 C3 5E 42 F0 8C F4 A1 F5 A1 6C 9D E2 C2 ED,メダル／イチかバチか大勝負をするメダル,메달／단판 승부의 대결을 벌이는 메달,E7 F8 C9 F7 32 F0 C7 F7 65 F4 20 2E F8 A4 75 20 8D B7 F4 A1 20 76 F9 6B 73 20 E7 F8 C9 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0101_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0101,,0,0xDAA6,0x001A24,D3 F1 3E F2 80 3E F2 9D F0,神秘の秘薬,신비의 비약,B0 98 75 20 98 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0101_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0101,,1,0xEAE0,0x001A30,C0 F1 C1 F8 BD F1 32 F0 D3 F1 67 F6 5E 9B B2 F2 5B 9B 9E 72 4A F0 4B F0 80 9D F0,消耗品／神々から与えられた魔法の薬,소모품／신들이 내려 준 마법의 약,B4 B2 50 F7 32 F0 B0 85 6B 20 99 AB 20 66 F4 20 5C 78 F9 75 20 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0102_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0102,,0,0xDAB0,0x001A44,D6 F1 DF F1 80 3E F2 9D F0,真紅の秘薬,진홍의 비약,C5 3A F4 75 20 98 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0102_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0102,,1,0xEB0F,0x001A50,C0 F1 C1 F8 BD F1 32 F0 7E F0 85 F0 A1 59 F2 26 F2 7D 3F F0 B6 F0 68 6E 9D D6 F1 DF F1 80 9D F0,消耗品／体力を急激に回復させる真紅の薬,소모품／체력을 급격히 회복하는 진홍색 약,B4 B2 50 F7 32 F0 53 F0 93 F8 A1 20 91 F6 B3 F4 D5 20 CC D0 61 73 20 C5 3A F4 5C F6 20 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0103_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0103,,0,0xDABA,0x001A64,42 F0 3F F0 B6 F0 80 9D F0,大回復の薬,대회복약,8D CC D0 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0103_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0103,,1,0xEB43,0x001A70,C0 F1 C1 F8 BD F1 32 F0 7E F0 85 F0 A1 42 F0 57 7D 96 F6 6C 9D F0,消耗品／体力を大いに癒す薬,소모품／체력을 크게 치유하는 약,B4 B2 50 F7 32 F0 53 F0 93 F8 A1 20 44 F7 68 20 3F F3 A8 61 73 20 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0104_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0104,,0,0xDAC4,0x001A84,96 F6 6A 80 C2 F0 4F F2,癒しの果実,치유의 열매,3F F3 A8 75 20 B5 F3 D0 F8,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0104_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0104,,1,0xEB6D,0x001A90,C0 F1 C1 F8 BD F1 32 F0 4D F3 6B F2 C9 F5 5E F2 80 C2 F0 4F F2 5F 7E F0 A1 96 F6 6C,消耗品／栄養満点の果実が体を癒す,소모품／영양 만점의 열매가 몸을 치유한다,B4 B2 50 F7 32 F0 63 F4 64 F9 20 55 40 F1 75 20 B5 F3 D0 F8 4A 20 2C F9 A1 20 3F F3 A8 7A 72,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0105_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0105,,0,0xDACD,0x001AA4,E7 F1 7C 9D 4E F2 63 6C 9C,聖なる傷ぐすり,성스러운 상처약,D6 BC A6 E9 20 BD BE F8 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0105_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0105,,1,0xEB9D,0x001AB0,C0 F1 C1 F8 BD F1 32 F0 E7 F1 7C 9D 92 F3 9C 5F 7A F0 93 9B 9E 72 9D F0,消耗品／聖なる祈りが込められた薬,소모품／성스러운 기도가 담긴 약,B4 B2 50 F7 32 F0 D6 BC A6 E9 20 6D 4E 4A 20 CA F7 93 F6 20 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0106_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0106,,0,0xDAD7,0x001AC4,4E F2 63 6C 9C,傷ぐすり,상처약,BD BE F8 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0106_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0106,,1,0xEBC8,0x001AD0,C0 F1 C1 F8 BD F1 32 F0 4E F2 EB F3 7D 7E 9C 66 91 4E F2 A1 96 F6 6C,消耗品／傷口にぬりこみ傷を癒す,소모품／상처에 발라 상처를 치유한다,B4 B2 50 F7 32 F0 BD BE F8 7D 20 6C F9 66 20 BD BE F8 87 20 3F F3 A8 7A 72,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0107_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0107,,0,0xDADD,0x001AE4,96 62 70 59,やくそう,약초,5A F9 CA F1,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0107_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0107,,1,0xEBF2,0x001AF0,C0 F1 C1 F8 BD F1 32 F0 22 F3 69 F3 96 4E F2 A1 96 F6 6C 25 F2 A1 F2 80 9E F0,消耗品／怪我や傷を癒す天然の草,소모품／다친 곳을 치유하는 천연 약초,B4 B2 50 F7 32 F0 72 4D F3 20 9E F5 A1 20 3F F3 A8 61 73 20 4D F9 83 F3 20 5A F9 CA F1,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0108_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0108,,0,0xDAE2,0x001B04,C7 F1 C8 F1 80 3E F2 9D F0,精霊の秘薬,정령의 비약,93 98 F8 75 20 98 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0108_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0108,,1,0xEC1F,0x001B10,C0 F1 C1 F8 BD F1 32 F0 C7 F1 C8 F1 D3 F1 80 AE F1 DD F1 79 42 F0 57 7C 9D 96 F6 6A,消耗品／精霊神の加護で大いなる癒し,소모품／정령신의 가호로 큰 치유를 얻는다,B4 B2 50 F7 32 F0 93 98 F8 B0 75 20 4A 7D F3 79 20 45 F7 20 3F F3 A8 87 20 A1 F9 73 72,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0109_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0109,,0,0xDAEC,0x001B24,5C F2 5D F2 80 3E F2 9D F0,紺緑の秘薬,감록의 비약,33 F2 9D F8 75 20 98 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0109_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0109,,1,0xEC4F,0x001B30,C0 F1 C1 F8 BD F1 32 F0 B3 F2 B1 F1 7D BC F0 C2 F0 A1 56 F7 8E 6C C7 F8 60 4A F0 4B F0 9D F0,消耗品／周囲に効果を及ぼす蒼き魔法薬,소모품／주변에 효과를 주는 푸른 마법약,B4 B2 50 F7 32 F0 A3 7C F9 7D 20 CA F4 EC F5 87 20 A3 73 20 28 F7 AF F8 20 5C 78 F9 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0110_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0110,,0,0xDAF6,0x001B44,B9 EF DD B9 DF B2 EF,シロボシマグロ,시로보시 참치,88 79 89 88 20 C0 F7 3F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0111_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0111,,0,0xDAFE,0x001B64,AF E6 A4 D2 A8 C2 27,キュアパウダー,큐어 파우더,32 F7 69 20 57 F4 83 DD,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0111_DESC,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0111,,1,0xEC85,0x001B70,C0 F1 C1 F8 BD F1 32 F0 B3 F2 B1 F1 7D 96 F6 6A A1 94 72 9B 6C A6 F5 C7 F5 9D F0,消耗品／周囲に癒しをもたらす粉末薬,소모품／주변에 치유를 가져오는 가루약,B4 B2 50 F7 32 F0 A3 7C F9 7D 20 3F F3 A8 87 20 4A 8E F2 90 73 20 4A A6 F8 5A F9,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0112_NAME,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0112,,0,0xDB06,0x001B84,AF E6 A4 D0 27 D7,キュアハーブ,큐어 허브,32 F7 69 20 BF F0 6F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
