korean_char,source_ids,encoded_hex,status,evidence,note
베,FIELD_NAME_0007,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
비,FIELD_NAME_0005,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
사,FIELD_NAME_0002,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
섬,FIELD_NAME_0003,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
수,FIELD_NAME_0010,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
숲,FIELD_NAME_0007,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
스,FIELD_NAME_0007,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
아,FIELD_NAME_0010,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
안,FIELD_NAME_0001,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
유,FIELD_NAME_0008,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
을,FIELD_NAME_0001;FIELD_NAME_0004;FIELD_NAME_0009,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
의,FIELD_NAME_0005,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
자,FIELD_NAME_0007,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
적,FIELD_NAME_0008,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
촌,FIELD_NAME_0006,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
쿨,FIELD_NAME_0006,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
크,FIELD_NAME_0008,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
타,FIELD_NAME_0002,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
토,FIELD_NAME_0003,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
포,FIELD_NAME_0001,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
플,FIELD_NAME_0009,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
항,FIELD_NAME_0002,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
