id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
ITEM_0116_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0116,,1,0xED8C,,46 49 A1 33 32 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,MPを320ポイント回復する,MP 320 회복,46 49 20 33 32 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0118_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0118,,1,0xEDBE,,46 49 A1 31 36 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,MPを160ポイント回復する,MP 160 회복,46 49 20 31 36 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0119_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0119,,1,0xEDF0,,46 49 A1 34 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,MPを40ポイント回復する,MP 40 회복,46 49 20 34 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0120_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0120,,1,0xEE1B,,EB F0 EC F0 80 F1 9A F1 5E 9B B6 F0 9B F1 6C 9D 20 41 49 31 30 30 3F F6 3F F0 B6 F0,戦闘不能から復活する　HP100％回復,부활 후 HP 100％ 회복,A4 AF F4 20 CD F4 20 41 49 20 31 30 30 3F F6 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; revival rule,
ITEM_0120_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0120,,2,0xEE38,,B6 F0 9B F1 C5 F1 20 42 49 B9 EA DD ED A1 42 F0 96 F2 7D AB F4 93 9D,復活後　IPシンボルを大幅に進める,부활 후 IP 게이지 대폭 전진,A4 AF F4 20 CD F4 20 42 49 20 68 6B 6F 20 8D DF F6 20 BB C5,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0121_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0121,,1,0xEE6F,,EB F0 EC F0 80 F1 9A F1 5E 9B B6 F0 9B F1 6C 9D 20 41 49 31 30 30 3F F6 3F F0 B6 F0,戦闘不能から復活する　HP100％回復,부활 후 HP 100％ 회복,A4 AF F4 20 CD F4 20 41 49 20 31 30 30 3F F6 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; revival rule,
ITEM_0121_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0121,,2,0xEE8C,,B6 F0 9B F1 C5 F1 20 6C 8B 78 80 D2 EB E2 27 C1 A1 87 F0 88 F0 68 6E 9D,復活後　すべてのパラメータを上昇させる,부활 후 모든 능력 상승,A4 AF F4 20 CD F4 20 B2 CD 20 A3 F7 93 F8 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0122_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0122,,1,0xEEC4,,EB F0 EC F0 80 F1 9A F1 5E 9B B6 F0 9B F1 6C 9D 20 41 49 31 30 30 3F F6 3F F0 B6 F0,戦闘不能から復活する　HP100％回復,부활 후 HP 100％ 회복,A4 AF F4 20 CD F4 20 41 49 20 31 30 30 3F F6 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; revival rule,
ITEM_0123_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0123,,1,0xEF02,,EB F0 EC F0 80 F1 9A F1 5E 9B B6 F0 9B F1 6C 9D 20 41 49 35 30 3F F6 3F F0 B6 F0,戦闘不能から復活する　HP50％回復,부활 후 HP 50％ 회복,A4 AF F4 20 CD F4 20 41 49 20 35 30 3F F6 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; revival rule,
ITEM_0124_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0124,,1,0xEF38,,CB F0 28 27 F1 9C 28 95 F1 96 F1 28 D5 F0 D6 F0 28 DF F0 45 F3 28 9A F0 9B F0 A1 9C F0 6C,毒・眠り・麻痺・混乱・封印・病気を治す,모든 상태이상 치료,B2 CD 20 BD D3 F8 6B BD 20 3F F3 A4 F8,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0125_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0125,,1,0xEF76,,CB F0 28 95 F1 96 F1 A1 9C F0 6C,毒・麻痺を治す,독·마비 치료,E0 F7 28 5C 98 20 3F F3 A4 F8,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0126_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0126,,1,0xEF9F,,27 F1 9C A1 9C F0 6C,眠りを治す,수면 치료,8B 80 20 3F F3 A4 F8,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0127_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0127,,1,0xEFC7,,D5 F0 D6 F0 A1 9C F0 6C,混乱を治す,혼란 치료,C4 F3 7B F8 20 3F F3 A4 F8,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0128_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0128,,1,0xEFED,,DF F0 45 F3 A1 9C F0 6C,封印を治す,봉인 치료,7E F1 8C 20 3F F3 A4 F8,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0129_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0129,,1,0xF011,,9A F0 9B F0 A1 9C F0 6C,病気を治す,질병 치료,2F F6 82 F9 20 3F F3 A4 F8,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0130_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0130,,1,0xF038,,34 F1 42 F0 41 49 5F 31 30 DE A6 EA C9 A4 C4 D8 6C 9D,最大HPが10ポイントアップする,최대 HP 10 상승,2F F2 8D 20 41 49 20 31 30 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; maximum-stat rule,
ITEM_0130_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0130,,2,0xF04B,,41 49 28 46 49 28 4C 49 A1 3F F0 B6 F0 6C 9D,HP・MP・SPを回復する,HP·MP·SP 회복,41 49 28 46 49 28 4C 49 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0131_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0131,,1,0xF077,,34 F1 42 F0 46 49 5F 31 30 DE A6 EA C9 A4 C4 D8 6C 9D,最大MPが10ポイントアップする,최대 MP 10 상승,2F F2 8D 20 46 49 20 31 30 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; maximum-stat rule,
ITEM_0131_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0131,,2,0xF08A,,41 49 28 46 49 28 4C 49 A1 3F F0 B6 F0 6C 9D,HP・MP・SPを回復する,HP·MP·SP 회복,41 49 28 46 49 28 4C 49 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0132_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0132,,1,0xF0B7,,36 F0 37 F0 5F 33 DE A6 EA C9 A4 C4 D8 6C 9D,攻撃が3ポイントアップする,공격력 3 상승,D8 F5 B3 F4 93 F8 20 33 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; numeric stat-growth rule,
ITEM_0132_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0132,,2,0xF0C7,,41 49 28 46 49 28 4C 49 A1 3F F0 B6 F0 6C 9D,HP・MP・SPを回復する,HP·MP·SP 회복,41 49 28 46 49 28 4C 49 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0133_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0133,,1,0xF0F6,,38 F0 39 F0 5F 33 DE A6 EA C9 A4 C4 D8 6C 9D,防御が3ポイントアップする,방어력 3 상승,71 F9 69 93 F8 20 33 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; numeric stat-growth rule,
ITEM_0133_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0133,,2,0xF106,,41 49 28 46 49 28 4C 49 A1 3F F0 B6 F0 6C 9D,HP・MP・SPを回復する,HP·MP·SP 회복,41 49 28 46 49 28 4C 49 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0134_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0134,,1,0xF133,,4A F0 85 F0 5F 33 DE A6 EA C9 A4 C4 D8 6C 9D,魔力が3ポイントアップする,마력 3 상승,5C 93 F8 20 33 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; numeric stat-growth rule,
ITEM_0134_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0134,,2,0xF143,,41 49 28 46 49 28 4C 49 A1 3F F0 B6 F0 6C 9D,HP・MP・SPを回復する,HP·MP·SP 회복,41 49 28 46 49 28 4C 49 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0135_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0135,,1,0xF173,,2D F8 21 F4 5F 33 DE A6 EA C9 A4 C4 D8 6C 9D,抵抗が3ポイントアップする,저항력 3 상승,7B 2A F9 93 F8 20 33 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; numeric stat-growth rule,
ITEM_0135_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0135,,2,0xF183,,41 49 28 46 49 28 4C 49 A1 3F F0 B6 F0 6C 9D,HP・MP・SPを回復する,HP·MP·SP 회복,41 49 28 46 49 28 4C 49 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0136_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0136,,1,0xF1B2,,22 F1 46 F0 5F 33 DE A6 EA C9 A4 C4 D8 6C 9D,行動が3ポイントアップする,행동력 3 상승,A5 E7 F7 93 F8 20 33 20 BD 2E F8,,[],TRANSLATED,NO,positional item HELP trailer; numeric stat-growth rule,
ITEM_0136_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0136,,2,0xF1C2,,41 49 28 46 49 28 4C 49 A1 3F F0 B6 F0 6C 9D,HP・MP・SPを回復する,HP·MP·SP 회복,41 49 28 46 49 28 4C 49 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0137_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0137,,1,0xF1F1,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 33 30 30 30,無属性ダメージ　威力：3000,무속성 피해 위력 3000,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 33 30 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0138_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0138,,1,0xF224,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 31 36 30 30,無属性ダメージ　威力：1600,무속성 피해 위력 1600,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 31 36 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0139_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0139,,1,0xF258,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 31 32 30 30,無属性ダメージ　威力：1200,무속성 피해 위력 1200,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 31 32 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0140_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0140,,1,0xF28E,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 37 32 30,無属性ダメージ　威力：720,무속성 피해 위력 720,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 37 32 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0141_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0141,,1,0xF2BD,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 31 36 30,無属性ダメージ　威力：160,무속성 피해 위력 160,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 31 36 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0142_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0142,,1,0xF2F0,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 31 38 30 30,無属性ダメージ　威力：1800,무속성 피해 위력 1800,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 31 38 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0142_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0142,,2,0xF305,,AF E4 EA BD ED BC F0 C2 F0,キャンセル効果,캔슬 효과,5B F5 D8 F7 20 CA F4 EC F5,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0143_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0143,,1,0xF32F,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 36 30 30,無属性ダメージ　威力：600,무속성 피해 위력 600,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 36 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0143_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0143,,2,0xF343,,AF E4 EA BD ED BC F0 C2 F0,キャンセル効果,캔슬 효과,5B F5 D8 F7 20 CA F4 EC F5,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0144_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0144,,1,0xF366,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 31 32 30,無属性ダメージ　威力：120,무속성 피해 위력 120,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 31 32 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0144_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0144,,2,0xF37A,,AF E4 EA BD ED BC F0 C2 F0,キャンセル効果,캔슬 효과,5B F5 D8 F7 20 CA F4 EC F5,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0145_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0145,,1,0xF3A5,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 32 34 30 30,無属性ダメージ　威力：2400,무속성 피해 위력 2400,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 32 34 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0145_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0145,,2,0xF3BA,,2D F0 B2 F1 47 F0 AA F2 AB F1 68 F3 C5 F1 20 4A F1 A4 F2 6C 9D,一定時間経<68F3>後　爆発する,일정 시간 후 폭발,92 93 20 88 A9 F0 20 CD F4 20 DF F6 6C F9,,"[""<68F3>""]",TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0146_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0146,,1,0xF3F3,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 31 32 30 30,無属性ダメージ　威力：1200,무속성 피해 위력 1200,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 31 32 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
ITEM_0146_EFFECT_2,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0146,,2,0xF408,,2D F0 B2 F1 47 F0 AA F2 AB F1 68 F3 C5 F1 20 4A F1 A4 F2 6C 9D,一定時間経<68F3>後　爆発する,일정 시간 후 폭발,92 93 20 88 A9 F0 20 CD F4 20 DF F6 6C F9,,"[""<68F3>""]",TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0147_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0147,,1,0xF43B,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 2B 36 30 30,無属性ダメージ　威力：600,무속성 피해 위력 600,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 20 36 30 30,,[],TRANSLATED,NO,positional item HELP trailer; elemental-damage rule,
