glyph_id,raw_bytes,character,confidence,evidence_type,status,notes,occurrences,source_offset
G0058,78,う,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32F00; no usable context resolution; retained bitmap candidate for review,19,0x32F00
G005C,7C,お,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x33100; no usable context resolution; retained bitmap candidate for review,7,0x33100
G0071,91,ぞ,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x33B80; no usable context resolution; retained bitmap candidate for review,24,0x33B80
G0089,A9,ぶ,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x34780; no usable context resolution; retained bitmap candidate for review,14,0x34780
G008C,AC,べ,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x34900; no usable context resolution; retained bitmap candidate for review,1,0x34900
G0097,B7,ゅ,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x34E80; じゅうぶん phonetic context,3,0x34E80
G00F4,44 F0,ヶ,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x37D00; 何ヶ月,2,0x37D00
G0109,59 F0,御,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x38780; bitmap top candidate agrees with context-inferred character,11,0x38780
G011D,6D F0,殺,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x39180; 人殺し / 自殺 / 殺した,11,0x39180
G0122,72 F0,交,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x39400; 交渉 / 交換,2,0x39400
G012E,7E F0,諦,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x39A00; 諦める,1,0x39A00
G0141,91 F0,現,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3A380; bitmap top candidate agrees with context-inferred character,11,0x3A380
G0142,92 F0,在,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3A400; bitmap top candidate agrees with context-inferred character,6,0x3A400
G0145,95 F0,領,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3A580; 占領,1,0x3A580
G014C,9C F0,存,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3A900; bitmap top candidate agrees with context-inferred character,6,0x3A900
G014F,9F F0,父,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3AA80; bitmap top candidate agrees with context-inferred character,6,0x3AA80
G015D,AD F0,館,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3B180; 博物館,1,0x3B180
G0160,B0 F0,酒,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3B300; bitmap top candidate agrees with context-inferred character,9,0x3B300
G0168,B8 F0,紙,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3B700; 紙芝居; multiple contexts explicitly form 紙芝居,23,0x3B700
G0169,B9 F0,雪,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3B780; 雪内? and other bitmap contexts; shape clear,8,0x3B780
G0171,C1 F0,線,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3BB80; 一直線 / 視線 / 生命線 contexts,8,0x3BB80
G017C,CC F0,塔,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3C100; bitmap/context,1,0x3C100
G0181,D1 F0,汚,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3C380; bitmap top candidate agrees with context-inferred character,4,0x3C380
G018E,DE F0,素,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3CA00; 素晴らしい / 素朴,5,0x3CA00
G01B3,33 F1,棒,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3DC80; bitmap top candidate agrees with context-inferred character,3,0x3DC80
G01B5,35 F1,庭,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3DD80; bitmap top candidate agrees with context-inferred character,1,0x3DD80
G01C5,45 F1,唱,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3E580; bitmap top candidate agrees with context-inferred character,1,0x3E580
G01DE,5E F1,銃,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3F200; bitmap/context,1,0x3F200
G01E0,60 F1,裏,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x3F300; bitmap top candidate agrees with context-inferred character,3,0x3F300
G01F3,73 F1,民,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x3FC80; 飛竜の民 / 民族,7,0x3FC80
G01FD,7D F1,魚,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x40180; 魚を食べる / 魚が猫に盗まれる,8,0x40180
G0202,82 F1,袋,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x40400; 手袋 / 胃袋,13,0x40400
G0207,87 F1,敷,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x40680; 屋敷,1,0x40680
G0208,88 F1,詰,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x40700; タル詰め,1,0x40700
G020A,8A F1,騎,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x40800; 騎士,3,0x40800
G020C,8C F1,帽,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x40900; bitmap top candidate agrees with context-inferred character,9,0x40900
G021C,9C F1,匂,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x41100; bitmap top candidate agrees with context-inferred character,5,0x41100
G0231,B1 F1,睡,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x41B80; bitmap top candidate agrees with context-inferred character,1,0x41B80
G023D,BD F1,員,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x42180; 店員 / 全員,7,0x42180
G0248,C8 F1,各,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x42700; bitmap top candidate agrees with context-inferred character,2,0x42700
G0254,D4 F1,砦,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x42D00; 最後の砦,2,0x42D00
G0255,D5 F1,墓,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x42D80; bitmap top candidate agrees with context-inferred character,2,0x42D80
G026A,EA F1,腕,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x43800; bitmap top candidate agrees with context-inferred character,10,0x43800
G0271,21 F2,航,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x43B80; bitmap top candidate agrees with context-inferred character,6,0x43B80
G0278,28 F2,温,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x43F00; 情熱の温度,1,0x43F00
G027A,2A F2,砂,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x44000; 砂漠 / 砂糖,8,0x44000
G027B,2B F2,糖,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x44080; 砂糖,1,0x44080
G027C,2C F2,菓,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x44100; お茶菓子,2,0x44100
G028A,3A F2,語,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x44800; 語りきれない / シバ語,5,0x44800
G0298,48 F2,沼,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x44F00; 毒沼,1,0x44F00
G02A5,55 F2,影,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x45580; 影響,1,0x45580
G02A6,56 F2,髪,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x45600; 金色の髪,1,0x45600
G02A7,57 F2,賊,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x45680; bitmap top candidate agrees with context-inferred character,1,0x45680
G02B7,67 F2,除,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x45E80; bitmap top candidate agrees with context-inferred character,2,0x45E80
G02C0,70 F2,雑,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x46300; 雑談 / 雑学,7,0x46300
G02C3,73 F2,弁,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x46480; bitmap top candidate agrees with context-inferred character,5,0x46480
G02C4,74 F2,麦,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x46500; 麦が伸びる / 風車で麦をひく,2,0x46500
G02C5,75 F2,南,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x46580; 南の島 / 南に向かう,10,0x46580
G02C6,76 F2,国,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x46600; 天国 / 南国,2,0x46600
G02C8,78 F2,救,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x46700; 救世主,3,0x46700
G02D5,85 F2,記,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x46D80; 記憶 / 日記 / 記念 / 記事,6,0x46D80
G02D9,89 F2,駆,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x46F80; 駆除 / 駆け回る,6,0x46F80
G02E3,93 F2,原,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x47480; bitmap top candidate agrees with context-inferred character,10,0x47480
G02E8,98 F2,茶,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x47700; 健康茶 / お茶菓子 / お茶に呼ぶ,20,0x47700
G02ED,9D F2,犬,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x47980; 子犬,3,0x47980
G02EF,9F F2,陸,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x47A80; bitmap + repeated 大陸 contexts; prior context-only 都 was wrong,17,0x47A80
G02F9,A9 F2,校,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x47F80; bitmap top candidate agrees with context-inferred character,2,0x47F80
G02FD,AD F2,城,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x48180; 空を飛ぶ城,3,0x48180
G02FE,AE F2,主,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x48200; 持ち主 / 救世主,17,0x48200
G0329,D9 F2,舞,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x49780; お見舞い,5,0x49780
G0330,E0 F2,画,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x49B00; 計画的 / 映画 / 画面 / 肖像画,18,0x49B00
G033C,EC F2,牙,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4A100; bitmap + contexts セイウチの牙 / 立派な牙,20,0x4A100
G0342,22 F3,瞬,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4A400; bitmap top candidate agrees with context-inferred character,1,0x4A400
G0344,24 F3,八,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4A500; bitmap top candidate agrees with context-inferred character,3,0x4A500
G034C,2C F3,狂,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4A900; 荒れ狂った,1,0x4A900
G0352,32 F3,卵,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4AC00; bitmap/context,2,0x4AC00
G0354,34 F3,謎,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4AD00; bitmap/context,5,0x4AD00
G0355,35 F3,掛,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4AD80; bitmap top candidate agrees with context-inferred character,1,0x4AD80
G0356,36 F3,丸,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4AE00; 丸っこい,1,0x4AE00
G035B,3B F3,滑,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4B080; bitmap top candidate agrees with context-inferred character,1,0x4B080
G035F,3F F3,粘,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4B280; bitmap top candidate agrees with context-inferred character,1,0x4B280
G0364,44 F3,尻,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4B500; bitmap top candidate agrees with context-inferred character,4,0x4B500
G0365,45 F3,尾,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4B580; 尻尾,2,0x4B580
G036E,4E F3,怯,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4BA00; bitmap top candidate agrees with context-inferred character,1,0x4BA00
G036F,4F F3,百,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4BA80; 何百年,5,0x4BA80
G0370,50 F3,第,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4BB00; bitmap top candidate agrees with context-inferred character,7,0x4BB00
G0381,61 F3,胃,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4C380; 胃袋,12,0x4C380
G038C,6C F3,映,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4C900; 映画,5,0x4C900
G038E,6E F3,泳,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4CA00; bitmap/context,1,0x4CA00
G039B,7B F3,横,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4D080; bitmap/context,5,0x4D080
G039C,7C F3,殴,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4D100; bitmap/context,1,0x4D100
G03AD,8D F3,械,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4D980; bitmap top candidate agrees with context-inferred character,8,0x4D980
G03B2,92 F3,街,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4DC00; bitmap/context,9,0x4DC00
G03B3,93 F3,獲,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4DC80; bitmap top candidate agrees with context-inferred character,3,0x4DC80
G03BD,9D F3,慣,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4E180; 慣れ / 慣らし,6,0x4E180
G03BF,9F F3,歓,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4E280; 大歓迎,5,0x4E280
G03C8,A8 F3,関,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4E700; 玄関 / 関係,14,0x4E700
G03CA,AA F3,岸,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4E800; bitmap top candidate agrees with context-inferred character,4,0x4E800
G03DB,BB F3,客,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x4F080; bitmap top candidate agrees with context-inferred character,15,0x4F080
G03DD,BD F3,先,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4F180; bitmap/context,6,0x4F180
G03E6,C6 F3,居,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4F600; 紙芝居,8,0x4F600
G03E7,C7 F3,拒,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4F680; bitmap/context,2,0x4F680
G03E9,C9 F3,漁,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4F780; 漁師 / ゴミ漁り,2,0x4F780
G03EB,CB F3,共,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4F880; 共感できる友達,5,0x4F880
G03F0,D0 F3,詩,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4FB00; 始まりの詩,1,0x4FB00
G03F4,D4 F3,響,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x4FD00; 影響 / 音が響く,2,0x4FD00
G03FA,DA F3,句,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x50000; bitmap top candidate agrees with context-inferred character,1,0x50000
G03FC,DC F3,偶,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50100; 偶然,5,0x50100
G03FD,DD F3,遇,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50180; 奇遇,1,0x50180
G0402,E2 F3,訓,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50400; 教訓 / 特訓,2,0x50400
G0404,E4 F3,係,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50500; 関係,8,0x50500
G0408,E8 F3,憩,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50700; 休憩,1,0x50700
G0409,E9 F3,拝,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50780; 崇拝,2,0x50780
G040E,EE F3,劇,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50A00; 悲劇,1,0x50A00
G0413,23 F4,健,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50C80; 健康,2,0x50C80
G0415,25 F4,建,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x50D80; bitmap top candidate agrees with context-inferred character,3,0x50D80
G0416,26 F4,商,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x50E00; 商品,1,0x50E00
