character,unicode,usage_count,categories
고,U+ACE0,5512,BATTLE_CHATTER;BATTLE_HELP;ENEMY;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
곡,U+ACE1,205,ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
곤,U+ACE4,137,ENEMY;ENEMY_ACTION;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
곧,U+ACE7,68,NPC_DIALOGUE;SCENARIO
골,U+ACE8,71,BATTLE_CHATTER;BATTLE_HELP;ENEMY;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
곯,U+ACEF,1,NPC_DIALOGUE
곰,U+ACF0,38,NPC_DIALOGUE;SCENARIO
곱,U+ACF1,12,NPC_DIALOGUE;SCENARIO
곳,U+ACF3,476,BATTLE_HELP;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
공,U+ACF5,366,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
곶,U+ACF6,3,FIELD_TABLE;NPC_DIALOGUE
과,U+ACFC,571,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL_EFFECT;STATUS;SYSTEM
곽,U+ACFD,7,FIELD_TABLE;NPC_DIALOGUE
관,U+AD00,339,EQUIPMENT;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
광,U+AD11,105,BATTLE;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
괘,U+AD18,7,NPC_DIALOGUE;SCENARIO
괜,U+AD1C,368,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
괴,U+AD34,163,FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO
굉,U+AD49,23,NPC_DIALOGUE;SCENARIO
교,U+AD50,68,ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
구,U+AD6C,1429,BATTLE;BATTLE_CHATTER;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
국,U+AD6D,91,FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
군,U+AD70,604,BATTLE;BATTLE_CHATTER;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SYSTEM
굳,U+AD73,26,NPC_DIALOGUE;SCENARIO
굴,U+AD74,185,BATTLE_CHATTER;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO
굵,U+AD75,1,NPC_DIALOGUE
굶,U+AD76,22,NPC_DIALOGUE
굼,U+AD7C,3,BATTLE_CHATTER;NPC_DIALOGUE
굽,U+AD7D,31,NPC_DIALOGUE;SCENARIO
궁,U+AD81,39,FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
궂,U+AD82,9,NPC_DIALOGUE;SCENARIO
궈,U+AD88,1,NPC_DIALOGUE
권,U+AD8C,45,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
궤,U+ADA4,1,ITEM
귀,U+ADC0,132,BATTLE_HELP;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
귈,U+ADC8,1,NPC_DIALOGUE
귐,U+ADD0,1,NPC_DIALOGUE
규,U+ADDC,50,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
균,U+ADE0,6,ENEMY_ACTION;NPC_DIALOGUE
귤,U+ADE4,3,NPC_DIALOGUE
그,U+ADF8,7923,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
극,U+ADF9,124,BATTLE_HELP;ENEMY_ACTION;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL
근,U+ADFC,149,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL_EFFECT
글,U+AE00,189,FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
긁,U+AE01,5,SCENARIO
금,U+AE08,951,BATTLE_CHATTER;BATTLE_HELP;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SYSTEM
급,U+AE09,59,BATTLE_HELP;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
긋,U+AE0B,41,NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
긍,U+AE0D,9,NPC_DIALOGUE;SCENARIO
기,U+AE30,5579,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
긴,U+AE34,322,BATTLE_CHATTER;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
길,U+AE38,352,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
김,U+AE40,31,NPC_DIALOGUE;SCENARIO
깁,U+AE41,5,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
깃,U+AE43,31,ITEM;NPC_DIALOGUE;SCENARIO
깅,U+AE45,7,ITEM;NPC_DIALOGUE
깊,U+AE4A,64,ENEMY_ACTION;NPC_DIALOGUE;SCENARIO
까,U+AE4C,2544,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
깎,U+AE4E,12,ITEM;NPC_DIALOGUE;SCENARIO
깐,U+AE50,184,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
깔,U+AE54,6,NPC_DIALOGUE;SCENARIO
깜,U+AE5C,38,BATTLE_HELP;NPC_DIALOGUE;SCENARIO
깝,U+AE5D,17,BATTLE_HELP;NPC_DIALOGUE;SCENARIO
깡,U+AE61,2,NPC_DIALOGUE;NPC_SPEAKER_NAME
깥,U+AE65,8,NPC_DIALOGUE
깨,U+AE68,89,BATTLE_HELP;ITEM;NPC_DIALOGUE;SCENARIO
꺄,U+AE84,1,NPC_DIALOGUE
꺅,U+AE85,2,NPC_DIALOGUE
꺼,U+AEBC,30,ITEM;NPC_DIALOGUE;SCENARIO
꺽,U+AEBD,11,NPC_DIALOGUE
꺾,U+AEBE,4,NPC_DIALOGUE
껍,U+AECD,15,ITEM;NPC_DIALOGUE;SCENARIO
껏,U+AECF,42,BATTLE_HELP;ITEM;NPC_DIALOGUE;SCENARIO
껑,U+AED1,2,NPC_DIALOGUE
께,U+AED8,323,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO;SKILL_EFFECT;SYSTEM
껴,U+AEF4,59,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
꼈,U+AF08,8,NPC_DIALOGUE
꼬,U+AF2C,263,NPC_DIALOGUE;SCENARIO
꼭,U+AF2D,82,NPC_DIALOGUE;SCENARIO
꼴,U+AF34,31,NPC_DIALOGUE;SCENARIO;SYSTEM
꼼,U+AF3C,3,NPC_DIALOGUE;SCENARIO
꼽,U+AF3D,3,NPC_DIALOGUE
꽁,U+AF41,3,NPC_DIALOGUE;SCENARIO
꽂,U+AF42,3,BATTLE_HELP;NPC_DIALOGUE;SCENARIO
꽃,U+AF43,109,FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL
꽉,U+AF49,17,NPC_DIALOGUE;SCENARIO
꽤,U+AF64,123,NPC_DIALOGUE;SCENARIO
꽥,U+AF65,1,NPC_DIALOGUE
꾀,U+AF80,4,NPC_DIALOGUE
꾸,U+AFB8,71,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
꾹,U+AFB9,14,NPC_DIALOGUE;SCENARIO
꾼,U+AFBC,68,ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
꿀,U+AFC0,20,NPC_DIALOGUE;SCENARIO
꿈,U+AFC8,191,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
꿉,U+AFC9,7,NPC_DIALOGUE;SCENARIO
꿎,U+AFCE,2,SCENARIO
꿔,U+AFD4,9,NPC_DIALOGUE;SCENARIO
꿨,U+AFE8,1,NPC_DIALOGUE
꿰,U+AFF0,16,ENEMY_ACTION;ITEM;NPC_DIALOGUE;SKILL
뀌,U+B00C,10,NPC_DIALOGUE;SCENARIO
뀐,U+B010,1,NPC_DIALOGUE
끄,U+B044,73,ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
끈,U+B048,51,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
끊,U+B04A,48,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
끌,U+B04C,46,ITEM;NPC_DIALOGUE;SCENARIO;SKILL
끓,U+B053,14,NPC_DIALOGUE
끔,U+B054,43,NPC_DIALOGUE;SCENARIO
끗,U+B057,21,ITEM;NPC_DIALOGUE;SCENARIO
끙,U+B059,1,NPC_DIALOGUE
끝,U+B05D,256,BATTLE_CHATTER;BATTLE_HELP;BATTLE_UI;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
끼,U+B07C,197,FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
낄,U+B084,3,NPC_DIALOGUE;SCENARIO
낌,U+B08C,82,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
낑,U+B091,1,NPC_DIALOGUE
나,U+B098,4569,BATTLE_CHATTER;BATTLE_HELP;BATTLE_UI;CHARACTER;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
낙,U+B099,24,BATTLE_UI;ITEM;NPC_DIALOGUE;SCENARIO
낚,U+B09A,8,NPC_DIALOGUE
난,U+B09C,808,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
날,U+B0A0,1091,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
낡,U+B0A1,17,NPC_DIALOGUE;SCENARIO
남,U+B0A8,482,BATTLE_CHATTER;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
납,U+B0A9,35,EQUIPMENT;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
낫,U+B0AB,18,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
났,U+B0AC,145,NPC_DIALOGUE;SCENARIO;SYSTEM
낭,U+B0AD,6,NPC_DIALOGUE
낮,U+B0AE,26,NPC_DIALOGUE;SCENARIO
낯,U+B0AF,26,FIELD_TABLE;NPC_DIALOGUE
낳,U+B0B3,29,NPC_DIALOGUE;SCENARIO
내,U+B0B4,1448,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
낸,U+B0B8,32,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
낼,U+B0BC,49,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO;SYSTEM
냄,U+B0C4,61,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
냈,U+B0C8,35,NPC_DIALOGUE;SCENARIO
냉,U+B0C9,6,ITEM;MAGIC;NPC_DIALOGUE
냐,U+B0D0,378,ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
냥,U+B0E5,220,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
너,U+B108,797,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
넉,U+B109,2,ITEM;NPC_DIALOGUE
넋,U+B10B,1,SCENARIO
넌,U+B10C,67,NPC_DIALOGUE;SCENARIO
널,U+B110,26,NPC_DIALOGUE;SCENARIO
넓,U+B113,32,ITEM;NPC_DIALOGUE;SCENARIO
넘,U+B118,93,BATTLE_CHATTER;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
넙,U+B119,1,NPC_DIALOGUE
넛,U+B11B,3,NPC_DIALOGUE;SCENARIO
넜,U+B11C,2,NPC_DIALOGUE
넣,U+B123,67,BATTLE_HELP;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
네,U+B124,2245,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
넨,U+B128,3,NPC_DIALOGUE
넬,U+B12C,8,ENEMY;ENEMY_ACTION;ITEM;SCENARIO
넵,U+B135,5,SCENARIO
넷,U+B137,2,NPC_DIALOGUE;NPC_SPEAKER_NAME
녀,U+B140,705,BATTLE_CHATTER;BATTLE_HELP;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
녁,U+B141,31,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
년,U+B144,249,NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
념,U+B150,46,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
녔,U+B154,8,NPC_DIALOGUE;SCENARIO
녕,U+B155,24,NPC_DIALOGUE;SCENARIO
노,U+B178,240,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
녹,U+B179,34,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
논,U+B17C,29,ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
놀,U+B180,186,ITEM;NPC_DIALOGUE;SCENARIO
놈,U+B188,73,ENEMY;ENEMY_ACTION;NPC_DIALOGUE;SCENARIO
농,U+B18D,36,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
높,U+B192,60,EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
놓,U+B193,109,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
놔,U+B194,8,NPC_DIALOGUE;SCENARIO
놨,U+B1A8,7,NPC_DIALOGUE;SCENARIO
뇌,U+B1CC,11,BATTLE;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;SYSTEM
뇨,U+B1E8,35,NPC_DIALOGUE;NPC_SPEAKER_NAME
누,U+B204,294,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
눈,U+B208,260,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
눌,U+B20C,27,NPC_DIALOGUE;SCENARIO;SYSTEM
눕,U+B215,2,NPC_DIALOGUE
눠,U+B220,11,NPC_DIALOGUE;SCENARIO
눴,U+B234,1,NPC_DIALOGUE
뉩,U+B269,2,EQUIPMENT;SYSTEM
뉴,U+B274,22,BATTLE_HELP;NPC_DIALOGUE;SCENARIO;SYSTEM
늉,U+B289,1,SCENARIO
느,U+B290,349,BATTLE_CHATTER;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
늑,U+B291,19,ITEM;NPC_DIALOGUE;SCENARIO
는,U+B294,6746,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
늘,U+B298,942,BATTLE_HELP;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;STATUS;SYSTEM
늙,U+B299,18,NPC_DIALOGUE
늠,U+B2A0,3,NPC_DIALOGUE
능,U+B2A5,97,BATTLE;BATTLE_HELP;EQUIPMENT;ITEM;NPC_DIALOGUE;SCENARIO;SKILL_EFFECT;STATUS;SYSTEM
늦,U+B2A6,47,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
늪,U+B2AA,1,SCENARIO
늬,U+B2AC,12,NPC_DIALOGUE;SCENARIO
니,U+B2C8,3998,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;STATUS;SYSTEM
닉,U+B2C9,10,ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
닌,U+B2CC,62,ITEM;NPC_DIALOGUE;SCENARIO
닐,U+B2D0,44,NPC_DIALOGUE;SCENARIO
님,U+B2D8,975,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
닙,U+B2D9,17,NPC_DIALOGUE;SCENARIO
닛,U+B2DB,85,ITEM;NPC_DIALOGUE;SCENARIO
닝,U+B2DD,7,ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
다,U+B2E4,6527,BATTLE;BATTLE_CHATTER;BATTLE_HELP;BATTLE_UI;CHARACTER;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
닥,U+B2E5,29,NPC_DIALOGUE;SCENARIO
닦,U+B2E6,11,ITEM;NPC_DIALOGUE;SCENARIO
단,U+B2E8,489,BATTLE;BATTLE_CHATTER;BATTLE_HELP;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
닫,U+B2EB,18,BATTLE_HELP;NPC_DIALOGUE;SCENARIO
달,U+B2EC,317,BATTLE_CHATTER;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
닭,U+B2ED,12,NPC_DIALOGUE;SCENARIO
닮,U+B2EE,12,NPC_DIALOGUE;SCENARIO
닳,U+B2F3,1,NPC_DIALOGUE
담,U+B2F4,100,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
답,U+B2F5,136,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
닷,U+B2F7,19,NPC_DIALOGUE;SCENARIO
당,U+B2F9,490,BATTLE;BATTLE_CHATTER;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SYSTEM
닿,U+B2FF,27,ITEM;NPC_DIALOGUE;SCENARIO
대,U+B300,1747,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
댁,U+B301,2,NPC_DIALOGUE
댄,U+B304,3,ENEMY_ACTION;NPC_DIALOGUE;SKILL
댈,U+B308,1,NPC_DIALOGUE
댓,U+B313,1,NPC_DIALOGUE
댔,U+B314,5,NPC_DIALOGUE
더,U+B354,697,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
덕,U+B355,96,NPC_DIALOGUE;SCENARIO
던,U+B358,577,ITEM;NPC_DIALOGUE;SCENARIO;SKILL
덜,U+B35C,30,ITEM;NPC_DIALOGUE;SCENARIO
덤,U+B364,25,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
덥,U+B365,13,NPC_DIALOGUE
덧,U+B367,3,NPC_DIALOGUE
덩,U+B369,35,ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
덫,U+B36B,6,NPC_DIALOGUE
덮,U+B36E,31,NPC_DIALOGUE;SCENARIO;SYSTEM
데,U+B370,1623,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
덴,U+B374,4,ENEMY_ACTION;ITEM;MAGIC
델,U+B378,1,NPC_DIALOGUE
뎅,U+B385,10,NPC_DIALOGUE
뎌,U+B38C,1,NPC_DIALOGUE
도,U+B3C4,5028,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
독,U+B3C5,80,ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;STATUS;SYSTEM
돈,U+B3C8,158,BATTLE_HELP;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
돋,U+B3CB,6,ITEM;NPC_DIALOGUE;SCENARIO
