index,jp_text,kr_text
185,ベテラン猟師の孫,사냥꾼의손자
186,ヘラヘラした男,실실대는남자
187,気難しそうな父親,까다로운아버지
188,優しそうな母親,다정한어머니
189,不安そうな娘,불안한딸
190,腹の出た男,배나온남자
191,腹の出た男の妻,배나온남자아내
192,技師アルベール,기술자알베르
193,工房のヌシ,공방주인
194,世話焼きおばさん,참견쟁이아줌마
195,宿屋,여관
196,ドラク,드라크
197,ヨウト,요우토
198,セイバ,세이바
199,ウナマ,우나마
200,フェムト,펨토
201,グラウ,그라우
202,看板を見る子供,간판보는아이
203,総支配人,총지배인
204,宿屋のねえさん,여관아가씨
205,ヴィオレッタ,비올레타
206,山猫のザック,산고양이잭
207,ザックの新妻,잭의새아내
208,道具屋,도구점
209,魔法屋,마법점
210,スキル屋,스킬점
211,セバスチャン,세바스찬
212,謎の傭兵,무명용병
213,道具屋のお姉さん,도구점아가씨
214,サリー,샐리
