character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,append_ordinal,logical_glyph_index,mapping_status,source
궤,U+ADA4,0xa1e2,0x9168,1541,85,49,1541,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
귀,U+ADC0,0xa058,0x95e5,1542,85,50,1542,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
규,U+ADDC,0xa1e3,0x95e7,1544,85,51,1544,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
그,U+ADF8,0xa059,0x82ae,67,85,52,67,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
극,U+ADF9,0xa1e4,0x9257,1553,85,53,1553,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
근,U+ADFC,0xa1e5,0x96d7,1557,85,54,1557,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
글,U+AE00,0xa1e6,0x88a5,1558,85,55,1558,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
금,U+AE08,0xa05a,0x8365,167,85,56,167,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
급,U+AE09,0xa1e7,0x9354,1569,85,57,1569,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
기,U+AE30,0xa05b,0x82b8,77,85,58,77,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
긴,U+AE34,0xa1e8,0x927a,1571,85,59,1571,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
길,U+AE38,0xa1e9,0x88d5,1580,85,60,1580,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
깁,U+AE41,0xa1ea,0xe5e1,1586,85,61,1586,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
깃,U+AE43,0xa1eb,0x8aa0,1587,85,62,1587,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
깅,U+AE45,0xa1ec,0x97f7,1592,85,63,1592,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
까,U+AE4C,0xa05c,0x82cb,95,85,64,95,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
깎,U+AE4E,0xa1ed,0xe6d2,1596,85,65,1596,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
깐,U+AE50,0xa1ee,0x89d5,1598,85,66,1598,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
깜,U+AE5C,0xa1ef,0x8ad1,1607,85,67,1607,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
깨,U+AE68,0xa1f0,0x8ad5,1611,85,68,1611,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꺼,U+AEBC,0xa1f1,0x8bb7,1614,85,69,1614,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
껍,U+AECD,0xa1f2,0x8c9c,1615,85,70,1615,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
껏,U+AECF,0xa1f3,0x9ad0,1617,85,71,1617,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
께,U+AED8,0xa05d,0x8bc2,1618,85,72,1618,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꼬,U+AF2C,0xa1f4,0x8caa,1622,85,73,1622,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꼭,U+AF2D,0xa1f5,0x9741,1624,85,74,1624,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꼴,U+AF34,0xa05e,0x8af0,1628,85,75,1628,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꽃,U+AF43,0xa1f6,0x9665,1630,85,76,1630,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꽤,U+AF64,0xa1f7,0x9666,1631,85,77,1631,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꾸,U+AFB8,0xa1f8,0x966c,1637,85,78,1637,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꾼,U+AFBC,0xa1f9,0x8af9,1638,85,79,1638,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꿈,U+AFC8,0xa1fa,0x8afc,1642,85,80,1642,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
꿰,U+AFF0,0xa1fb,0x8d9b,1643,85,81,1643,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
끄,U+B044,0xa05f,0x8e82,1644,85,82,1644,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
끈,U+B048,0xa1fc,0x967d,1648,85,83,1648,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
끊,U+B04A,0xa240,0x8ccb,1650,85,84,1650,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
끌,U+B04C,0xa241,0x8bee,1652,85,85,1652,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
끗,U+B057,0xa242,0x8bf0,1654,85,86,1654,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
끝,U+B05D,0xa060,0x8dc3,1662,85,87,1662,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
끼,U+B07C,0xa061,0x8f84,1664,85,88,1664,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
나,U+B098,0xa062,0x8276,48,85,89,48,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
낙,U+B099,0xa243,0x8cf3,1674,85,90,1674,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
난,U+B09C,0xa244,0x836f,177,85,91,177,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
날,U+B0A0,0xa063,0x834c,143,85,92,143,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
남,U+B0A8,0xa245,0x8ecd,1685,85,93,1685,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
납,U+B0A9,0xa064,0x9092,1691,85,94,1691,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
났,U+B0AC,0xa065,0x9a4b,1694,85,95,1694,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
내,U+B0B4,0xa066,0x82e5,121,85,96,121,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
낸,U+B0B8,0xa246,0x8fdc,1709,85,97,1709,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
낼,U+B0BC,0xa067,0x9a71,1710,85,98,1710,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
냄,U+B0C4,0xa247,0x90bd,1711,85,99,1711,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
냉,U+B0C9,0xa248,0x90c7,1715,85,100,1715,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
냐,U+B0D0,0xa249,0x8c58,1719,85,101,1719,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
냥,U+B0E5,0xa24a,0x8ff7,1720,85,102,1720,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
너,U+B108,0xa068,0x8371,179,85,103,179,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
넓,U+B113,0xa24b,0x91b7,1722,85,104,1722,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
넘,U+B118,0xa069,0x929b,1724,85,105,1724,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
넣,U+B123,0xa06a,0x93fc,272,85,106,272,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
네,U+B124,0xa24c,0x82d0,100,85,107,100,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
넬,U+B12C,0xa24d,0x8d49,1731,85,108,1731,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
녀,U+B140,0xa24e,0x837c,190,85,109,190,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
년,U+B144,0xa24f,0x91ca,1733,85,110,1733,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
녕,U+B155,0xa250,0x8d51,1734,85,111,1734,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
노,U+B178,0xa06b,0xe978,1736,85,112,1736,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
녹,U+B179,0xa251,0x90f3,1737,85,113,1737,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
논,U+B17C,0xa252,0x8c7c,1738,85,114,1738,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
놀,U+B180,0xa253,0x91d7,1739,85,115,1739,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
농,U+B18D,0xa254,0x92c0,1743,85,116,1743,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
높,U+B192,0xa06c,0x91f3,1755,85,117,1755,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
놓,U+B193,0xa255,0x91f5,1757,85,118,1757,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
놔,U+B194,0xa256,0x92dc,1759,85,119,1759,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뇌,U+B1CC,0xa06d,0x8f40,1761,85,120,1761,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
누,U+B204,0xa06e,0x94ab,1767,85,121,1767,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
눈,U+B208,0xa257,0x958a,1768,85,122,1768,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
눌,U+B20C,0xa06f,0x94b1,1771,85,123,1771,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뉩,U+B269,0xa070,0x92f7,1773,85,124,1773,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뉴,U+B274,0xa071,0x8f60,1778,85,125,1778,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
느,U+B290,0xa258,0x93dc,1779,85,126,1779,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
늑,U+B291,0xa259,0x93de,1782,85,127,1782,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
는,U+B294,0xa072,0x82be,83,85,128,83,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
늘,U+B298,0xa073,0x835f,162,85,129,162,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
능,U+B2A5,0xa074,0x94dc,1795,85,130,1795,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
니,U+B2C8,0xa075,0x82a6,59,85,131,59,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
닉,U+B2C9,0xa25a,0x9147,1801,85,132,1801,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
닌,U+B2CC,0xa25b,0x8cb7,1807,85,133,1807,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
님,U+B2D8,0xa25c,0x8354,151,85,134,151,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
닛,U+B2DB,0xa25d,0x97da,1815,85,135,1815,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
닝,U+B2DD,0xa25e,0x9161,1818,85,136,1818,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
다,U+B2E4,0xa076,0x82bd,82,85,137,82,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
닦,U+B2E6,0xa25f,0x8a95,1827,85,138,1827,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
단,U+B2E8,0xa077,0x9650,1831,85,139,1831,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
달,U+B2EC,0xa078,0x9852,1833,85,140,1833,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
담,U+B2F4,0xa260,0x8c61,1834,85,141,1834,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
답,U+B2F5,0xa261,0x909d,1835,85,142,1835,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
당,U+B2F9,0xa079,0x99f9,1838,85,143,1838,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
닿,U+B2FF,0xa262,0x91c2,1840,85,144,1840,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
대,U+B300,0xa07a,0x82d9,109,85,145,109,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
댄,U+B304,0xa263,0x8ee9,1845,85,146,1845,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
더,U+B354,0xa07b,0x837b,189,85,147,189,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
던,U+B358,0xa264,0x9e9e,1847,85,148,1847,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
덜,U+B35C,0xa265,0x8bc3,1849,85,149,1849,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
덩,U+B369,0xa266,0x8af2,1850,85,150,1850,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
덮,U+B36E,0xa07c,0x94a7,1852,85,151,1852,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
데,U+B370,0xa07d,0x82e2,118,85,152,118,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
덴,U+B374,0xa267,0x89db,1854,85,153,1854,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
도,U+B3C4,0xa07e,0x8274,46,85,154,46,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
독,U+B3C5,0xa080,0x9c6a,1856,85,155,1856,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
돈,U+B3C8,0xa268,0x8ebc,1857,85,156,1857,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
돋,U+B3CB,0xa269,0x9c70,1859,85,157,1859,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
돌,U+B3CC,0xa081,0x8386,199,85,158,199,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
동,U+B3D9,0xa082,0x8d69,1863,85,159,1863,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
돼,U+B3FC,0xa26a,0x9249,1865,85,160,1865,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
됐,U+B410,0xa26b,0x91ec,1867,85,161,1867,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
되,U+B418,0xa083,0x8380,193,85,162,193,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
된,U+B41C,0xa26c,0x99ea,1870,85,163,1870,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
될,U+B420,0xa26d,0x9490,1871,85,164,1871,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
됨,U+B428,0xa084,0x8184,1873,85,165,1873,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
됩,U+B429,0xa085,0x9570,1874,85,166,1874,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
두,U+B450,0xa086,0x82d6,106,85,167,106,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
둑,U+B451,0xa26e,0x92d7,1877,85,168,1877,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
둔,U+B454,0xa26f,0x93b6,1878,85,169,1878,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
둘,U+B458,0xa270,0x8fbc,1879,85,170,1879,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
둠,U+B460,0xa271,0x92dd,1880,85,171,1880,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
둬,U+B46C,0xa272,0x92de,1882,85,172,1882,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뒤,U+B4A4,0xa087,0x9661,1883,85,173,1883,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
듀,U+B4C0,0xa273,0xe1c5,1887,85,174,1887,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
드,U+B4DC,0xa088,0x8bde,1888,85,175,1888,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
득,U+B4DD,0xa089,0x90c0,1890,85,176,1890,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
든,U+B4E0,0xa274,0x836b,173,85,177,173,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
듣,U+B4E3,0xa275,0x9440,1892,85,178,1892,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
들,U+B4E4,0xa08a,0x82d1,101,85,179,101,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
듭,U+B4ED,0xa08b,0x9cc9,1901,85,180,1901,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
듯,U+B4EF,0xa276,0x97f2,1903,85,181,1903,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
디,U+B514,0xa08c,0x8375,183,85,182,183,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
딘,U+B518,0xa277,0x9062,1910,85,183,1910,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
딜,U+B51C,0xa278,0x9063,1911,85,184,1911,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
딪,U+B52A,0xa279,0x94e3,1913,85,185,1913,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
따,U+B530,0xa08d,0x9867,1918,85,186,1918,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
딱,U+B531,0xa27a,0x946b,1919,85,187,1919,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
땀,U+B540,0xa27b,0x9098,1925,85,188,1925,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
땅,U+B545,0xa08e,0x95c5,1926,85,189,1926,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
때,U+B54C,0xa08f,0x8362,164,85,190,164,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
떠,U+B5A0,0xa090,0x93ba,1930,85,191,1930,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
떤,U+B5A4,0xa27c,0x9678,1931,85,192,1931,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
떨,U+B5A8,0xa27d,0x908a,1933,85,193,1933,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
떻,U+B5BB,0xa27e,0x9a4c,1935,85,194,1935,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
또,U+B610,0xa091,0x8b93,1941,85,195,1941,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뚫,U+B6AB,0xa280,0x9842,1942,85,196,1942,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뛰,U+B6F0,0xa092,0x8959,1946,85,197,1946,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뛴,U+B6F4,0xa281,0x9271,1947,85,198,1947,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뛸,U+B6F8,0xa093,0x8d57,1948,85,199,1948,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뜁,U+B701,0xa094,0x94f3,1950,85,200,1950,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뜨,U+B728,0xa282,0x93d6,1951,85,201,1951,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뜩,U+B729,0xa283,0x96f6,1956,85,202,1956,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뜬,U+B72C,0xa284,0x8d5f,1957,85,203,1957,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뜯,U+B72F,0xa285,0x8d61,1958,85,204,1958,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
띤,U+B764,0xa286,0x88c9,1960,85,205,1960,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
라,U+B77C,0xa095,0x82b1,70,85,206,70,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
락,U+B77D,0xa096,0x8c46,1962,85,207,1962,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
란,U+B780,0xa097,0x9082,1963,85,208,1963,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
랄,U+B784,0xa287,0x8ba7,1964,85,209,1964,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
람,U+B78C,0xa098,0x835b,158,85,210,158,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
랍,U+B78D,0xa288,0x9162,1966,85,211,1966,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
랑,U+B791,0xa289,0x89ea,1967,85,212,1967,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
래,U+B798,0xa099,0x82da,110,85,213,110,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
랜,U+B79C,0xa28a,0x93a1,1970,85,214,1970,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
량,U+B7C9,0xa09a,0x8c49,1971,85,215,1971,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
러,U+B7EC,0xa09b,0x8343,134,85,216,134,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
럭,U+B7ED,0xa28b,0x8de8,1973,85,217,1973,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
런,U+B7F0,0xa09c,0x8344,135,85,218,135,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
럴,U+B7F4,0xa28c,0x8bb1,1976,85,219,1976,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
럼,U+B7FC,0xa09d,0x838c,206,85,220,206,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
럽,U+B7FD,0xa28d,0x97e6,1978,85,221,1978,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
렁,U+B801,0xa28e,0x89b5,1980,85,222,1980,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
렇,U+B807,0xa28f,0x82ed,128,85,223,128,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
레,U+B808,0xa09e,0x8f73,1982,85,224,1982,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
렌,U+B80C,0xa290,0x964d,1983,85,225,1983,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
렘,U+B818,0xa291,0x984e,1984,85,226,1984,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
렛,U+B81B,0xa292,0x8c9b,1985,85,227,1985,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
