glyph_id,character,raw_bytes,occurrences,grade,evidence
G044C,際,5C F4,15,HIGH,jpn psm13 91.8
G044E,罪,5E F4,11,HIGH,jpn psm13 85.3
G044F,財,5F F4,9,HIGH,jpn psm13 92.8
G0451,に,61 F4,14,HIGH,"2 OCR votes, max 96.3"
G0452,昨,62 F4,18,HIGH,jpn psm13 86.9
G0453,泰,63 F4,2,VISUAL_HIGH,glyph image manually checked
G0454,穴,64 F4,10,VISUAL_HIGH,glyph image manually checked
G0460,姉,70 F4,112,HIGH,jpn psm13 88.0
G0462,市,72 F4,7,HIGH,jpn psm13 96.3
G0467,氏,77 F4,5,HIGH,jpn psm13 92.6
G0468,私,78 F4,470,HIGH,jpn psm13 89.0
G0469,詩,79 F4,6,HIGH,jpn psm13 92.9
G046A,試,7A F4,18,HIGH,jpn psm13 89.9
G046D,飼,7D F4,14,HIGH,jpn psm13 92.9
G0473,執,83 F4,15,HIGH,jpn psm13 88.1
G0474,失,84 F4,98,HIGH,jpn psm13 89.7
G047A,社,8A F4,13,HIGH,jpn psm13 93.0
G047B,謝,8B F4,32,HIGH,jpn psm13 87.2
G047E,借,8E F4,27,HIGH,"2 OCR votes, max 79.8"
G0482,授,92 F4,6,HIGH,jpn psm13 92.4
G0486,秀,96 F4,2,HIGH,"2 OCR votes, max 82.3"
G0487,習,97 F4,41,HIGH,jpn psm13 88.7
G0489,衆,99 F4,20,VISUAL_HIGH,glyph image manually checked
G048A,国,9A F4,26,VISUAL_HIGH,glyph image manually checked
G048C,住,9C F4,77,HIGH,jpn psm13 92.3
G048D,従,9D F4,9,HIGH,jpn psm13 89.7
G0493,春,A3 F4,10,HIGH,jpn psm13 86.4
G0495,順,A5 F4,4,HIGH,jpn psm13 92.8
G0498,諸,A8 F4,1,HIGH,"4 OCR votes, max 91.3"
G0499,助,A9 F4,109,HIGH,jpn psm13 87.6
G04A0,招,B0 F4,5,HIGH,jpn psm13 89.4
G04A4,省,B4 F4,2,HIGH,jpn psm13 85.6
G04A6,笑,B6 F4,61,HIGH,jpn psm13 91.8
G04AA,障,BA F4,4,HIGH,jpn psm13 93.0
G04AC,嬢,BC F4,29,HIGH,jpn psm13 88.0
G04AD,情,BD F4,71,HIGH,jpn psm13 93.2
G04B4,侵,C4 F4,6,HIGH,jpn psm13 91.5
G04B6,尼,C6 F4,3,HIGH,"2 OCR votes, max 77.9"
G04B8,申,C8 F4,35,HIGH,jpn psm13 90.5
G04BA,診,CA F4,6,HIGH,jpn psm13 92.8
G04BC,図,CC F4,31,HIGH,"3 OCR votes, max 89.3"
G04BD,推,CD F4,6,HIGH,jpn psm13 92.3
G04BF,酔,CF F4,42,HIGH,jpn psm13 91.6
G04C7,牲,D7 F4,9,HIGH,"2 OCR votes, max 80.8"
G04C9,西,D9 F4,16,HIGH,jpn psm13 90.8
G04CA,匠,DA F4,10,VISUAL_HIGH,glyph image manually checked
G04CD,恒,DD F4,5,HIGH,"3 OCR votes, max 89.6"
G04CF,積,DF F4,10,HIGH,jpn psm13 90.5
G04D0,責,E0 F4,33,HIGH,jpn psm13 92.1
G04D1,設,E1 F4,12,HIGH,jpn psm13 91.9
G04D3,舌,E3 F4,8,HIGH,jpn psm13 92.1
G04D5,宣,E5 F4,3,HIGH,jpn psm13 91.2
G04D8,洗,E8 F4,26,HIGH,jpn psm13 91.8
G04D9,業,E9 F4,8,VISUAL_HIGH,glyph image manually checked
G04E2,捜,22 F5,1,HIGH,jpn psm13 91.1
G04E6,相,26 F5,72,HIGH,jpn psm13 91.3
G04E7,慈,27 F5,2,VISUAL_HIGH,glyph image manually checked
G04EC,像,2C F5,76,HIGH,jpn psm13 86.8
G04EF,側,2F F5,45,HIGH,jpn psm13 93.0
G04F1,に,31 F5,52,HIGH,"2 OCR votes, max 92.1"
G04F3,損,33 F5,19,HIGH,jpn psm13 92.4
G04F4,待,34 F5,273,HIGH,jpn psm13 92.2
G04F6,中,36 F5,7,HIGH,"2 OCR votes, max 79.6"
G04F8,退,38 F5,13,HIGH,jpn psm13 92.6
G04F9,隊,39 F5,18,HIGH,jpn psm13 91.1
G04FC,宅,3C F5,4,HIGH,jpn psm13 91.8
G04FE,谷,3E F5,157,HIGH,jpn psm13 90.1
G04FF,担,3F F5,6,HIGH,jpn psm13 90.1
G0501,胆,41 F5,3,HIGH,jpn psm13 90.3
G0502,誕,42 F5,7,HIGH,jpn psm13 89.0
G0503,鍛,43 F5,1,HIGH,jpn psm13 90.9
G0509,肌,49 F5,26,VISUAL_HIGH,glyph image manually checked
G050A,致,4A F5,1,HIGH,jpn psm13 86.8
G050E,由,4E F5,9,HIGH,"3 OCR votes, max 93.2"
G050F,忠,4F F5,4,HIGH,"2 OCR votes, max 79.6"
G0511,貯,51 F5,5,HIGH,jpn psm13 92.1
G0516,町,56 F5,106,HIGH,jpn psm13 96.8
G0517,聴,57 F5,1,HIGH,jpn psm13 92.7
G0519,頂,59 F5,13,HIGH,jpn psm13 93.1
G051A,直,5A F5,84,HIGH,"4 OCR votes, max 93.2"
G051B,沈,5B F5,4,HIGH,jpn psm13 91.7
G051C,珍,5C F5,24,HIGH,jpn psm13 90.3
G051D,墜,5D F5,18,VISUAL_HIGH,glyph image manually checked
G051F,学,5F F5,1,HIGH,"2 OCR votes, max 78.7"
G0520,低,60 F5,6,HIGH,jpn psm13 93.1
G0521,停,61 F5,1,HIGH,jpn psm13 90.7
G0525,適,65 F5,11,HIGH,"2 OCR votes, max 83.4"
G0528,展,68 F5,4,HIGH,"3 OCR votes, max 92.8"
G0529,店,69 F5,125,HIGH,jpn psm13 96.3
G052E,途,6E F5,19,VISUAL_HIGH,glyph image manually checked
G052F,都,6F F5,38,HIGH,jpn psm13 91.9
G0530,努,70 F5,15,VISUAL_HIGH,glyph image manually checked
G0532,奴,72 F5,2,HIGH,jpn psm13 89.8
G0534,コ,74 F5,5,HIGH,"2 OCR votes, max 73.4"
G0537,東,77 F5,35,HIGH,jpn psm13 91.7
G0538,湯,78 F5,9,HIGH,jpn psm13 92.6
G0539,灯,79 F5,2,HIGH,jpn psm13 90.7
G053B,答,7B F5,22,VISUAL_HIGH,glyph image manually checked
G053D,到,7D F5,15,HIGH,jpn psm13 89.3
G053E,討,7E F5,1,HIGH,jpn psm13 92.4
G053F,豆,7F F5,53,HIGH,jpn psm13 92.5
G0542,同,82 F5,97,HIGH,jpn psm13 92.4
G0545,独,85 F5,4,HIGH,jpn psm13 92.4
G0547,乳,87 F5,1,HIGH,jpn psm13 91.8
G0548,認,88 F5,31,HIGH,jpn psm13 91.9
G054B,悩,8B F5,4,HIGH,jpn psm13 88.2
G054C,納,8C F5,10,HIGH,jpn psm13 92.8
G054F,派,8F F5,39,HIGH,jpn psm13 89.1
G0553,敗,93 F5,33,HIGH,jpn psm13 92.9
G0554,本,94 F5,10,HIGH,"4 OCR votes, max 80.6"
G0558,泊,98 F5,19,HIGH,jpn psm13 92.3
G055F,宰,9F F5,1,HIGH,"2 OCR votes, max 75.1"
G0568,飯,A8 F5,44,HIGH,jpn psm13 93.1
G056A,古,AA F5,1,HIGH,"3 OCR votes, max 90.6"
G056E,比,AE F5,8,HIGH,jpn psm13 91.6
G056F,疲,AF F5,34,VISUAL_HIGH,glyph image manually checked
G0570,被,B0 F5,13,HIGH,"3 OCR votes, max 89.0"
G0575,姫,B5 F5,6,HIGH,"2 OCR votes, max 76.7"
G0578,漂,B8 F5,2,HIGH,jpn psm13 88.1
G057A,評,BA F5,16,HIGH,jpn psm13 93.1
G057D,婦,BD F5,16,HIGH,jpn psm13 92.6
G0580,浮,C0 F5,23,HIGH,jpn psm13 92.7
G058A,並,CA F5,27,HIGH,jpn psm13 92.1
G058B,閉,CB F5,21,VISUAL_HIGH,glyph image manually checked
G0591,勉,D1 F5,14,HIGH,jpn psm13 92.4
G0592,捕,D2 F5,25,HIGH,jpn psm13 91.5
G0596,抱,D6 F5,23,HIGH,jpn psm13 92.5
G059B,飲,DB F5,5,VISUAL_HIGH,glyph image manually checked
G059C,亡,DC F5,8,HIGH,"3 OCR votes, max 76.9"
G059D,坊,DD F5,9,HIGH,jpn psm13 92.6
G059E,忙,DE F5,19,HIGH,"5 OCR votes, max 81.4"
G05A1,牧,E1 F5,1,HIGH,"3 OCR votes, max 92.0"
G05A3,埋,E3 F5,16,HIGH,jpn psm13 92.1
G05A6,毎,E6 F5,45,HIGH,jpn psm13 88.6
G05A8,慢,E8 F5,10,HIGH,"3 OCR votes, max 70.2"
G05AD,務,ED F5,15,HIGH,jpn psm13 91.6
G05AF,娘,EF F5,73,HIGH,jpn psm13 90.6
G05BA,油,2A F6,14,HIGH,jpn psm13 92.2
G05BC,友,2C F6,71,HIGH,jpn psm13 92.5
G05BE,由,2E F6,33,HIGH,jpn psm13 92.4
G05C4,予,34 F6,94,HIGH,jpn psm13 90.4
G05C8,容,38 F6,1,HIGH,jpn psm13 93.2
G05C9,揺,39 F6,7,VISUAL_HIGH,glyph image manually checked
G05CA,洋,3A F6,4,HIGH,jpn psm13 91.8
G05CC,葉,3C F6,109,HIGH,jpn psm13 88.7
G05CD,要,3D F6,77,HIGH,jpn psm13 93.2
G05D0,絡,40 F6,1,VISUAL_HIGH,glyph image manually checked
G05D4,理,44 F6,139,HIGH,jpn psm13 93.0
G05D9,料,49 F6,84,HIGH,"3 OCR votes, max 90.9"
G05E1,礼,51 F6,33,HIGH,jpn psm13 92.2
G05E3,列,53 F6,5,HIGH,jpn psm13 91.9
G05E7,労,57 F6,37,HIGH,jpn psm13 92.5
G05EB,郎,5B F6,45,HIGH,jpn psm13 92.7
G05EC,録,5C F6,1,HIGH,jpn psm13 90.9
G05F4,」,64 F6,20,HIGH,"3 OCR votes, max 89.4"
G05F6,裁,66 F6,1,HIGH,jpn psm13 88.4
G05FA,悠,6A F6,11,HIGH,jpn psm13 89.8
G05FE,監,6E F6,4,HIGH,"2 OCR votes, max 91.2"
G05FF,請,6F F6,1,HIGH,jpn psm13 91.8
G0600,図,70 F6,21,VISUAL_HIGH,glyph image manually checked
G0610,捧,80 F6,15,HIGH,jpn psm13 89.0
G0613,徳,83 F6,4,HIGH,jpn psm13 91.1
G061D,唄,8D F6,10,HIGH,jpn psm13 89.3
G0624,冥,94 F6,1,HIGH,jpn psm13 86.1
G0627,律,97 F6,2,HIGH,jpn psm13 88.1
G062A,略,9A F6,2,HIGH,"2 OCR votes, max 78.1"
G062B,嘆,9B F6,8,HIGH,jpn psm13 91.7
G062F,旦,9F F6,7,HIGH,jpn psm13 85.8
G0630,粒,A0 F6,6,HIGH,jpn psm13 87.5
G0635,儲,A5 F6,4,HIGH,"2 OCR votes, max 82.7"
G0636,挨,A6 F6,4,HIGH,"3 OCR votes, max 74.3"
G063F,痴,AF F6,1,HIGH,jpn psm13 91.6
G0641,典,B1 F6,6,HIGH,"3 OCR votes, max 89.4"
G0648,炒,B8 F6,1,HIGH,"2 OCR votes, max 79.3"
G0654,朽,C4 F6,1,HIGH,jpn psm13 87.2
G0655,井,C5 F6,4,HIGH,jpn psm13 92.7
G065D,稼,CD F6,15,VISUAL_HIGH,glyph image manually checked
G0662,環,D2 F6,7,HIGH,jpn psm13 93.2
G0675,企,E5 F6,3,HIGH,jpn psm13 92.0
G067B,唯,EB F6,4,HIGH,jpn psm13 92.7
G0684,旗,24 F7,2,HIGH,jpn psm13 85.0
G0685,僕,25 F7,8,HIGH,jpn psm13 89.7
G0686,既,26 F7,2,HIGH,jpn psm13 92.7
G068E,孤,2E F7,9,VISUAL_HIGH,glyph image manually checked
G068F,恨,2F F7,15,HIGH,jpn psm13 87.9
G0692,戸,32 F7,4,HIGH,jpn psm13 93.1
G0696,愚,36 F7,6,VISUAL_HIGH,glyph image manually checked
G069C,五,3C F7,3,HIGH,jpn psm13 88.9
G06A0,巡,40 F7,9,VISUAL_HIGH,glyph image manually checked
G06A2,論,42 F7,13,HIGH,jpn psm13 91.0
G06A5,垂,45 F7,4,VISUAL_HIGH,glyph image manually checked
G06A6,歳,46 F7,28,HIGH,"2 OCR votes, max 83.2"
G06B1,召,51 F7,4,VISUAL_HIGH,glyph image manually checked
G06C0,澄,60 F7,6,VISUAL_HIGH,glyph image manually checked
G06C2,是,62 F7,1,VISUAL_HIGH,glyph image manually checked
G06CE,嘱,6E F7,5,VISUAL_HIGH,glyph image manually checked
G06D2,線,72 F7,9,VISUAL_HIGH,glyph image manually checked
G06D4,測,74 F7,1,HIGH,jpn psm13 93.0
G06D5,析,75 F7,2,HIGH,jpn psm13 90.4
G06D7,傾,77 F7,1,HIGH,jpn psm13 87.8
G06DA,孫,7A F7,12,VISUAL_HIGH,glyph image manually checked
G06DE,垢,7E F7,2,HIGH,jpn psm13 91.9
G06E0,帳,80 F7,1,HIGH,jpn psm13 93.1
G06E9,浅,89 F7,5,HIGH,jpn psm13 89.6
G06EC,滞,8C F7,2,HIGH,jpn psm13 90.5
G06EF,賃,8F F7,1,HIGH,jpn psm13 92.6
G06FA,拍,9A F7,1,HIGH,jpn psm13 91.7
G06FE,迫,9E F7,17,HIGH,jpn psm13 88.8
G06FF,爪,9F F7,3,HIGH,jpn psm13 85.9
G0701,宗,A1 F7,5,HIGH,jpn psm13 88.0
G0702,就,A2 F7,4,HIGH,"2 OCR votes, max 81.0"
G070B,当,AB F7,13,HIGH,"2 OCR votes, max 79.9"
G0711,伏,B1 F7,1,HIGH,"2 OCR votes, max 92.7"
G0714,印,B4 F7,7,VISUAL_HIGH,glyph image manually checked
G0721,紛,C1 F7,2,VISUAL_HIGH,glyph image manually checked
G072C,岬,CC F7,2,HIGH,jpn psm13 91.6
G0746,式,E6 F7,4,VISUAL_HIGH,glyph image manually checked
G075D,那,2D F8,7,HIGH,jpn psm13 93.0
G075E,課,2E F8,1,HIGH,jpn psm13 92.2
G0778,中,48 F8,1,HIGH,"2 OCR votes, max 82.8"
G077A,釣,4A F8,9,HIGH,jpn psm13 92.8
G077B,納,4B F8,4,VISUAL_HIGH,glyph image manually checked
G0782,逝,52 F8,2,HIGH,jpn psm13 91.3
G0783,吉,53 F8,1,HIGH,jpn psm13 91.5
G0784,如,54 F8,2,HIGH,jpn psm13 92.1
G078E,沙,5E F8,1,HIGH,jpn psm13 90.9
G0790,午,60 F8,1,HIGH,jpn psm13 91.1
G0791,契,61 F8,2,HIGH,jpn psm13 90.7
G0793,宇,63 F8,7,HIGH,jpn psm13 93.0
G0797,葵,67 F8,6,VISUAL_HIGH,glyph image manually checked
G07A1,拡,71 F8,1,HIGH,jpn psm13 91.1
G07A3,億,73 F8,13,VISUAL_HIGH,glyph image manually checked
G07B0,卓,80 F8,2,VISUAL_HIGH,glyph image manually checked
G07B7,昌,87 F8,6,VISUAL_HIGH,glyph image manually checked
G07CB,垂,9B F8,3,HIGH,jpn psm13 92.0
G07D1,斉,A1 F8,1,HIGH,jpn psm13 87.3
G07EA,沼,BA F8,1,HIGH,jpn psm13 92.9
G07FF,妄,CF F8,2,VISUAL_HIGH,glyph image manually checked
G0806,縛,D6 F8,1,HIGH,"2 OCR votes, max 71.7"
G080F,暇,DF F8,3,VISUAL_HIGH,glyph image manually checked
G0816,鋼,E6 F8,1,HIGH,jpn psm13 86.8
G0824,桃,24 F9,1,HIGH,jpn psm13 92.5
G0825,罠,25 F9,1,VISUAL_HIGH,glyph image manually checked
G0844,宰,44 F9,1,VISUAL_HIGH,glyph image manually checked
G0848,菩,48 F9,4,VISUAL_HIGH,glyph image manually checked
G0849,彩,49 F9,2,HIGH,jpn psm13 87.4
G084C,蔵,4C F9,1,HIGH,jpn psm13 90.8
G084D,枝,4D F9,3,HIGH,"2 OCR votes, max 77.2"
G085D,著,5D F9,2,HIGH,jpn psm13 92.3
G087D,&,7D F9,5,VISUAL_HIGH,glyph image manually checked
G0880,均,80 F9,1,HIGH,jpn psm13 93.0
G0887,寿,87 F9,4,HIGH,"3 OCR votes, max 78.5"
G088A,秋,8A F9,1,HIGH,jpn psm13 91.8
G0891,訴,91 F9,2,HIGH,"4 OCR votes, max 90.5"
G0893,拓,93 F9,1,HIGH,jpn psm13 89.7
G0894,秩,94 F9,5,HIGH,jpn psm13 90.2
G0898,凪,98 F9,4,HIGH,jpn psm13 88.6
G089B,把,9B F9,2,HIGH,jpn psm13 91.1
G089E,票,9E F9,8,HIGH,jpn psm13 90.3
G089F,秒,9F F9,9,HIGH,jpn psm13 92.3
G08A1,肪,A1 F9,1,HIGH,"4 OCR votes, max 75.0"
G08A7,浪,A7 F9,1,HIGH,jpn psm13 87.7
