glyph_index_hex,applied_character,applied_confidence,applied_evidence,skj_evidence_note,user_draft_character,user_draft_confidence,user_draft_status,top50_character,top50_confidence,decision,occurrence_count
002B,：,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8146 -> G002B; scenario unresolved queue 2 occurrence(s).,:,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,2
012E,諦,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92FA -> G012E; scenario unresolved queue 1 occurrence(s).,講,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0141,現,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CBB -> G0141; scenario unresolved queue 11 occurrence(s).,現,HIGH,MANUAL_VISUAL_DRAFT,境,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,11
0142,在,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8DDD -> G0142; scenario unresolved queue 6 occurrence(s).,在,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,6
0145,領,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97CC -> G0145; scenario unresolved queue 1 occurrence(s).,領,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
014C,存,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91B6 -> G014C; scenario unresolved queue 6 occurrence(s).,存,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,6
014F,父,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9583 -> G014F; scenario unresolved queue 6 occurrence(s).,父,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,6
015D,館,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8AD9 -> G015D; scenario unresolved queue 1 occurrence(s).,館,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
0160,酒,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EF0 -> G0160; scenario unresolved queue 9 occurrence(s).,酒,HIGH,MANUAL_VISUAL_DRAFT,洞,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,9
0168,紙,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E86 -> G0168; scenario unresolved queue 23 occurrence(s).,紙,HIGH,MANUAL_VISUAL_DRAFT,航?,중간,SUPPORTED_SKJ_AGREES_USER_DRAFT,23
0169,室,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EBA -> G0169; scenario unresolved queue 8 occurrence(s).,雪,HIGH,MANUAL_VISUAL_DRAFT,雪,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,8
0171,線,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90FC -> G0171; scenario unresolved queue 8 occurrence(s).,線,HIGH,MANUAL_VISUAL_DRAFT,線,중간,SUPPORTED_SKJ_AGREES_USER_DRAFT,8
017C,塔,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9383 -> G017C; scenario unresolved queue 1 occurrence(s).,塔,MEDIUM,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
0181,汚,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8998 -> G0181; scenario unresolved queue 4 occurrence(s).,汚,MEDIUM,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,4
018E,素,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9166 -> G018E; scenario unresolved queue 5 occurrence(s).,薬,MEDIUM,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,5
01B3,棒,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 965F -> G01B3; scenario unresolved queue 3 occurrence(s).,棒,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,3
01B5,庭,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92EB -> G01B5; scenario unresolved queue 1 occurrence(s).,庭,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
01C5,唱,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8FA5 -> G01C5; scenario unresolved queue 1 occurrence(s).,唱,MEDIUM,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
01DE,弓,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B7C -> G01DE; scenario unresolved queue 1 occurrence(s).,弓,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
01E0,裏,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97A0 -> G01E0; scenario unresolved queue 3 occurrence(s).,裏,MEDIUM,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,3
01F3,民,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 96AF -> G01F3; scenario unresolved queue 7 occurrence(s).,民,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,7
01FD,魚,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B9B -> G01FD; scenario unresolved queue 8 occurrence(s).,魚,HIGH,MANUAL_VISUAL_DRAFT,魚,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,8
0202,袋,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91DC -> G0202; scenario unresolved queue 13 occurrence(s).,袋,HIGH,MANUAL_VISUAL_DRAFT,衣,중간,SUPPORTED_SKJ_AGREES_USER_DRAFT,13
0207,敷,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 957E -> G0207; scenario unresolved queue 1 occurrence(s).,敝,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0208,詰,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B6C -> G0208; scenario unresolved queue 1 occurrence(s).,誥,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
020A,騎,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B52 -> G020A; scenario unresolved queue 3 occurrence(s).,驟,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,3
020C,帽,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9658 -> G020C; scenario unresolved queue 9 occurrence(s).,帽,HIGH,MANUAL_VISUAL_DRAFT,帽,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,9
021C,匂,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93F5 -> G021C; scenario unresolved queue 5 occurrence(s).,匂,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,5
0231,睡,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9087 -> G0231; scenario unresolved queue 1 occurrence(s).,睡,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
023D,員,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 88F5 -> G023D; scenario unresolved queue 7 occurrence(s).,酋,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,7
0248,各,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8A65 -> G0248; scenario unresolved queue 2 occurrence(s).,各,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
0254,丘,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B75 -> G0254; scenario unresolved queue 2 occurrence(s).,丘,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
0255,墓,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 95E6 -> G0255; scenario unresolved queue 2 occurrence(s).,墓,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
026A,腕,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9872 -> G026A; scenario unresolved queue 10 occurrence(s).,腕,HIGH,MANUAL_VISUAL_DRAFT,腕,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,10
0271,航,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D71 -> G0271; scenario unresolved queue 6 occurrence(s).,航,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,6
0278,温,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89B7 -> G0278; scenario unresolved queue 1 occurrence(s).,温,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
027A,砂,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8DBB -> G027A; scenario unresolved queue 8 occurrence(s).,砂,HIGH,MANUAL_VISUAL_DRAFT,砂,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,8
027B,糖,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 939C -> G027B; scenario unresolved queue 1 occurrence(s).,糖,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
027C,菓,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89D9 -> G027C; scenario unresolved queue 2 occurrence(s).,菓,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
028A,語,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CEA -> G028A; scenario unresolved queue 5 occurrence(s).,謡,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,5
0298,蛇,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8ED6 -> G0298; scenario unresolved queue 1 occurrence(s).,蛇,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
02A5,影,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8965 -> G02A5; scenario unresolved queue 1 occurrence(s).,彰,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
02A6,髪,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 94AF -> G02A6; scenario unresolved queue 1 occurrence(s).,髫,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
02A7,賊,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91AF -> G02A7; scenario unresolved queue 1 occurrence(s).,賊,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
02B7,除,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8F9C -> G02B7; scenario unresolved queue 2 occurrence(s).,除,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
02C0,雑,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E47 -> G02C0; scenario unresolved queue 7 occurrence(s).,雑,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,7
02C3,弁,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 95D9 -> G02C3; scenario unresolved queue 5 occurrence(s).,弁,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,5
02C4,麦,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 949E -> G02C4; scenario unresolved queue 2 occurrence(s).,表,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,2
02C5,南,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93EC -> G02C5; scenario unresolved queue 10 occurrence(s).,南,HIGH,MANUAL_VISUAL_DRAFT,南,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,10
02C6,国,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D91 -> G02C6; scenario unresolved queue 2 occurrence(s).,岡,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,2
02C8,救,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B7E -> G02C8; scenario unresolved queue 3 occurrence(s).,救,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,3
02D5,記,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B4C -> G02D5; scenario unresolved queue 6 occurrence(s).,記,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,6
02D9,駆,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BEC -> G02D9; scenario unresolved queue 6 occurrence(s).,駆,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,6
02E3,原,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CB4 -> G02E3; scenario unresolved queue 10 occurrence(s).,原,HIGH,MANUAL_VISUAL_DRAFT,原,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,10
02E8,茶,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9283 -> G02E8; scenario unresolved queue 20 occurrence(s).,茶,HIGH,MANUAL_VISUAL_DRAFT,茶,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,20
02ED,犬,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CA2 -> G02ED; scenario unresolved queue 3 occurrence(s).,犬,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,3
02EF,陸,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97A4 -> G02EF; scenario unresolved queue 17 occurrence(s).,陸,LOW,AUTO_SHAPE_DRAFT,軽?,낮음,SUPPORTED_SKJ_AGREES_USER_DRAFT,17
02F9,校,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D5A -> G02F9; scenario unresolved queue 2 occurrence(s).,校,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
02FD,城,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8FE9 -> G02FD; scenario unresolved queue 3 occurrence(s).,城,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,3
02FE,主,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EE5 -> G02FE; scenario unresolved queue 17 occurrence(s).,王,HIGH,MANUAL_VISUAL_DRAFT,千,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,17
0329,舞,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9591 -> G0329; scenario unresolved queue 5 occurrence(s).,美,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,5
0330,画,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89E6 -> G0330; scenario unresolved queue 18 occurrence(s).,画,HIGH,MANUAL_VISUAL_DRAFT,画,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,18
033C,牙,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89E5 -> G033C; scenario unresolved queue 20 occurrence(s).,才,HIGH,MANUAL_VISUAL_DRAFT,才,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,20
0342,瞬,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8F75 -> G0342; scenario unresolved queue 1 occurrence(s).,瞬,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
0344,八,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 94AA -> G0344; scenario unresolved queue 3 occurrence(s).,八,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,3
034C,狂,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BB6 -> G034C; scenario unresolved queue 1 occurrence(s).,狂,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
0352,卵,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9791 -> G0352; scenario unresolved queue 2 occurrence(s).,卵,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
0354,謎,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93E4 -> G0354; scenario unresolved queue 5 occurrence(s).,謎,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,5
0355,掛,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8A7C -> G0355; scenario unresolved queue 1 occurrence(s).,掛,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
0356,丸,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8ADB -> G0356; scenario unresolved queue 1 occurrence(s).,丸,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
035B,滑,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8A8A -> G035B; scenario unresolved queue 1 occurrence(s).,滑,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
035F,粘,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9453 -> G035F; scenario unresolved queue 1 occurrence(s).,粘,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
0364,尻,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 904B -> G0364; scenario unresolved queue 4 occurrence(s).,尻,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,4
0365,尾,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 94F6 -> G0365; scenario unresolved queue 2 occurrence(s).,庵,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,2
036E,怯,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BAF -> G036E; scenario unresolved queue 1 occurrence(s).,怯,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,1
036F,千,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90E7 -> G036F; scenario unresolved queue 5 occurrence(s).,千,HIGH,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,5
0370,第,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91E6 -> G0370; scenario unresolved queue 7 occurrence(s).,第,MEDIUM,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,7
0381,胃,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 88DD -> G0381; scenario unresolved queue 12 occurrence(s).,雷,LOW,AUTO_SHAPE_DRAFT,冒,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,12
