glyph_index_hex,character,confidence,evidence_kind,evidence_note
0865,―,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 815C -> G0865; scenario unresolved queue 104 occurrence(s).
03B2,街,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8A58 -> G03B2; scenario unresolved queue 9 occurrence(s).
05B7,野,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 96EC -> G05B7; scenario unresolved queue 9 occurrence(s).
0160,酒,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EF0 -> G0160; scenario unresolved queue 9 occurrence(s).
0461,姿,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E70 -> G0461; scenario unresolved queue 9 occurrence(s).
020C,帽,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9658 -> G020C; scenario unresolved queue 9 occurrence(s).
03AD,械,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8A42 -> G03AD; scenario unresolved queue 8 occurrence(s).
0404,係,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8C57 -> G0404; scenario unresolved queue 8 occurrence(s).
043B,腰,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D98 -> G043B; scenario unresolved queue 8 occurrence(s).
0169,室,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EBA -> G0169; scenario unresolved queue 8 occurrence(s).
01FD,魚,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B9B -> G01FD; scenario unresolved queue 8 occurrence(s).
027A,砂,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8DBB -> G027A; scenario unresolved queue 8 occurrence(s).
0171,線,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90FC -> G0171; scenario unresolved queue 8 occurrence(s).
05B4,問,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 96E2 -> G05B4; scenario unresolved queue 8 occurrence(s).
0036,６,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8255 -> G0036; scenario unresolved queue 8 occurrence(s).
04B7,深,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 905B -> G04B7; scenario unresolved queue 8 occurrence(s).
03E6,居,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B8F -> G03E6; scenario unresolved queue 8 occurrence(s).
0037,７,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8256 -> G0037; scenario unresolved queue 8 occurrence(s).
02C0,雑,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E47 -> G02C0; scenario unresolved queue 7 occurrence(s).
0508,談,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 926B -> G0508; scenario unresolved queue 7 occurrence(s).
05B0,迷,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 96C0 -> G05B0; scenario unresolved queue 7 occurrence(s).
023D,員,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 88F5 -> G023D; scenario unresolved queue 7 occurrence(s).
01F3,民,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 96AF -> G01F3; scenario unresolved queue 7 occurrence(s).
005C,ぉ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82A7 -> G005C; scenario unresolved queue 7 occurrence(s).
04FB,題,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91E8 -> G04FB; scenario unresolved queue 7 occurrence(s).
04F0,則,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91A5 -> G04F0; scenario unresolved queue 7 occurrence(s).
0549,念,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 944F -> G0549; scenario unresolved queue 7 occurrence(s).
055B,漠,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9499 -> G055B; scenario unresolved queue 7 occurrence(s).
0370,第,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91E6 -> G0370; scenario unresolved queue 7 occurrence(s).
003A,Ａ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8260 -> G003A; scenario unresolved queue 7 occurrence(s).
0476,芝,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EC5 -> G0476; scenario unresolved queue 7 occurrence(s).
0540,踏,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93A5 -> G0540; scenario unresolved queue 7 occurrence(s).
0470,示,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EA6 -> G0470; scenario unresolved queue 7 occurrence(s).
0523,弟,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92ED -> G0523; scenario unresolved queue 6 occurrence(s).
051E,痛,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92C9 -> G051E; scenario unresolved queue 6 occurrence(s).
079D,眺,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92AD -> G079D; scenario unresolved queue 6 occurrence(s).
02D5,記,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B4C -> G02D5; scenario unresolved queue 6 occurrence(s).
014F,父,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9583 -> G014F; scenario unresolved queue 6 occurrence(s).
0490,祝,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8F6A -> G0490; scenario unresolved queue 6 occurrence(s).
03DD,逆,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B74 -> G03DD; scenario unresolved queue 6 occurrence(s).
0271,航,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D71 -> G0271; scenario unresolved queue 6 occurrence(s).
014C,存,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91B6 -> G014C; scenario unresolved queue 6 occurrence(s).
0142,在,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8DDD -> G0142; scenario unresolved queue 6 occurrence(s).
0034,４,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8253 -> G0034; scenario unresolved queue 6 occurrence(s).
02D9,駆,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BEC -> G02D9; scenario unresolved queue 6 occurrence(s).
03BD,慣,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8AB5 -> G03BD; scenario unresolved queue 6 occurrence(s).
0867,偵,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92E3 -> G0867; scenario unresolved queue 6 occurrence(s).
0562,半,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 94BC -> G0562; scenario unresolved queue 6 occurrence(s).
0557,博,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 948E -> G0557; scenario unresolved queue 6 occurrence(s).
07D7,鍋,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93E7 -> G07D7; scenario unresolved queue 6 occurrence(s).
050B,遅,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9278 -> G050B; scenario unresolved queue 5 occurrence(s).
021C,匂,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93F5 -> G021C; scenario unresolved queue 5 occurrence(s).
018E,素,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9166 -> G018E; scenario unresolved queue 5 occurrence(s).
0536,島,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9387 -> G0536; scenario unresolved queue 5 occurrence(s).
04D4,占,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90E8 -> G04D4; scenario unresolved queue 5 occurrence(s).
0354,謎,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93E4 -> G0354; scenario unresolved queue 5 occurrence(s).
047C,車,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8ED4 -> G047C; scenario unresolved queue 5 occurrence(s).
041F,固,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CC5 -> G041F; scenario unresolved queue 5 occurrence(s).
058D,壁,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 95C7 -> G058D; scenario unresolved queue 5 occurrence(s).
05D6,留,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97AF -> G05D6; scenario unresolved queue 5 occurrence(s).
05C1,郵,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9758 -> G05C1; scenario unresolved queue 5 occurrence(s).
038C,映,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8966 -> G038C; scenario unresolved queue 5 occurrence(s).
041C,厳,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CB5 -> G041C; scenario unresolved queue 5 occurrence(s).
04E5,争,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9188 -> G04E5; scenario unresolved queue 5 occurrence(s).
02C3,弁,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 95D9 -> G02C3; scenario unresolved queue 5 occurrence(s).
0573,鼻,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9540 -> G0573; scenario unresolved queue 5 occurrence(s).
052B,殿,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9361 -> G052B; scenario unresolved queue 5 occurrence(s).
071B,犯,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 94C6 -> G071B; scenario unresolved queue 5 occurrence(s).
03EB,共,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BA4 -> G03EB; scenario unresolved queue 5 occurrence(s).
03BF,歓,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8ABD -> G03BF; scenario unresolved queue 5 occurrence(s).
0329,舞,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9591 -> G0329; scenario unresolved queue 5 occurrence(s).
062D,壮,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9173 -> G062D; scenario unresolved queue 5 occurrence(s).
039B,横,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89A1 -> G039B; scenario unresolved queue 5 occurrence(s).
036F,千,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90E7 -> G036F; scenario unresolved queue 5 occurrence(s).
028A,語,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CEA -> G028A; scenario unresolved queue 5 occurrence(s).
059A,豊,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 964C -> G059A; scenario unresolved queue 5 occurrence(s).
060C,奉,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 95F2 -> G060C; scenario unresolved queue 5 occurrence(s).
08A8,掟,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9D7C -> G08A8; scenario unresolved queue 5 occurrence(s).
084B,妨,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9657 -> G084B; scenario unresolved queue 5 occurrence(s).
03FC,偶,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BF4 -> G03FC; scenario unresolved queue 5 occurrence(s).
0691,紫,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E87 -> G0691; scenario unresolved queue 5 occurrence(s).
07CA,熊,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8C46 -> G07CA; scenario unresolved queue 4 occurrence(s).
05C5,余,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 975D -> G05C5; scenario unresolved queue 4 occurrence(s).
0515,潮,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92AA -> G0515; scenario unresolved queue 4 occurrence(s).
0514,朝,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92A9 -> G0514; scenario unresolved queue 4 occurrence(s).
03CA,岸,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8ADD -> G03CA; scenario unresolved queue 4 occurrence(s).
0364,尻,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 904B -> G0364; scenario unresolved queue 4 occurrence(s).
04D7,川,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90EC -> G04D7; scenario unresolved queue 4 occurrence(s).
0181,汚,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8998 -> G0181; scenario unresolved queue 4 occurrence(s).
0550,馬,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 946E -> G0550; scenario unresolved queue 4 occurrence(s).
0522,底,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92EA -> G0522; scenario unresolved queue 4 occurrence(s).
04F7,貸,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91DD -> G04F7; scenario unresolved queue 4 occurrence(s).
0579,表,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 955C -> G0579; scenario unresolved queue 4 occurrence(s).
05DF,例,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97E1 -> G05DF; scenario unresolved queue 4 occurrence(s).
058F,編,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 95D2 -> G058F; scenario unresolved queue 3 occurrence(s).
04FA,台,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91E4 -> G04FA; scenario unresolved queue 3 occurrence(s).
04A9,象,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8FDB -> G04A9; scenario unresolved queue 3 occurrence(s).
02ED,犬,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CA2 -> G02ED; scenario unresolved queue 3 occurrence(s).
058C,米,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 95C4 -> G058C; scenario unresolved queue 3 occurrence(s).
0415,建,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8C9A -> G0415; scenario unresolved queue 3 occurrence(s).
0417,権,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CA0 -> G0417; scenario unresolved queue 3 occurrence(s).
01E0,裏,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97A0 -> G01E0; scenario unresolved queue 3 occurrence(s).
06D0,憎,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 919E -> G06D0; scenario unresolved queue 3 occurrence(s).
04CC,席,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90C8 -> G04CC; scenario unresolved queue 3 occurrence(s).
089A,猫,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 944C -> G089A; scenario unresolved queue 3 occurrence(s).
05B2,黙,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 96D9 -> G05B2; scenario unresolved queue 3 occurrence(s).
0804,丁,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 929A -> G0804; scenario unresolved queue 3 occurrence(s).
0097,ゅ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82E3 -> G0097; scenario unresolved queue 3 occurrence(s).
049D,商,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8FA4 -> G049D; scenario unresolved queue 3 occurrence(s).
0344,八,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 94AA -> G0344; scenario unresolved queue 3 occurrence(s).
020A,騎,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B52 -> G020A; scenario unresolved queue 3 occurrence(s).
0552,拝,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9471 -> G0552; scenario unresolved queue 3 occurrence(s).
06FD,託,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91F5 -> G06FD; scenario unresolved queue 3 occurrence(s).
02FD,城,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8FE9 -> G02FD; scenario unresolved queue 3 occurrence(s).
0765,雅,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89EB -> G0765; scenario unresolved queue 3 occurrence(s).
02C8,救,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B7E -> G02C8; scenario unresolved queue 3 occurrence(s).
0644,隣,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97D7 -> G0644; scenario unresolved queue 3 occurrence(s).
0485,拾,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8F45 -> G0485; scenario unresolved queue 3 occurrence(s).
03B3,獲,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8A6C -> G03B3; scenario unresolved queue 3 occurrence(s).
01B3,棒,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 965F -> G01B3; scenario unresolved queue 3 occurrence(s).
0803,玄,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CBA -> G0803; scenario unresolved queue 2 occurrence(s).
02C6,国,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D91 -> G02C6; scenario unresolved queue 2 occurrence(s).
02C4,麦,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 949E -> G02C4; scenario unresolved queue 2 occurrence(s).
0560,畑,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 94A8 -> G0560; scenario unresolved queue 2 occurrence(s).
0471,耳,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EA8 -> G0471; scenario unresolved queue 2 occurrence(s).
05C3,夕,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 975B -> G05C3; scenario unresolved queue 2 occurrence(s).
0352,卵,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9791 -> G0352; scenario unresolved queue 2 occurrence(s).
0888,需,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EF9 -> G0888; scenario unresolved queue 2 occurrence(s).
03F4,響,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BBF -> G03F4; scenario unresolved queue 2 occurrence(s).
0413,健,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8C92 -> G0413; scenario unresolved queue 2 occurrence(s).
0430,康,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D4E -> G0430; scenario unresolved queue 2 occurrence(s).
027C,菓,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89D9 -> G027C; scenario unresolved queue 2 occurrence(s).
0612,房,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 965B -> G0612; scenario unresolved queue 2 occurrence(s).
05A0,北,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 966B -> G05A0; scenario unresolved queue 2 occurrence(s).
041D,源,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CB9 -> G041D; scenario unresolved queue 2 occurrence(s).
03E9,漁,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B99 -> G03E9; scenario unresolved queue 2 occurrence(s).
05F0,俺,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89B4 -> G05F0; scenario unresolved queue 2 occurrence(s).
0574,匹,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9543 -> G0574; scenario unresolved queue 2 occurrence(s).
00F4,ヶ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8396 -> G00F4; scenario unresolved queue 2 occurrence(s).
06E4,舵,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91C7 -> G06E4; scenario unresolved queue 2 occurrence(s).
002B,：,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8146 -> G002B; scenario unresolved queue 2 occurrence(s).
0618,勤,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8BCE -> G0618; scenario unresolved queue 2 occurrence(s).
04AB,冗,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8FE7 -> G04AB; scenario unresolved queue 2 occurrence(s).
0551,廃,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9470 -> G0551; scenario unresolved queue 2 occurrence(s).
0420,己,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CC8 -> G0420; scenario unresolved queue 2 occurrence(s).
0122,交,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CF0 -> G0122; scenario unresolved queue 2 occurrence(s).
04D6,専,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 90EA -> G04D6; scenario unresolved queue 2 occurrence(s).
0402,訓,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8C50 -> G0402; scenario unresolved queue 2 occurrence(s).
044B,菜,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8DD8 -> G044B; scenario unresolved queue 2 occurrence(s).
08A0,腐,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9585 -> G08A0; scenario unresolved queue 2 occurrence(s).
0051,Ｘ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8277 -> G0051; scenario unresolved queue 2 occurrence(s).
02B7,除,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8F9C -> G02B7; scenario unresolved queue 2 occurrence(s).
