glyph_id,raw_bytes,occurrences,font_page,slot,recognized_char,grade,evidence,best_candidate_if_review,best_candidate_conf,ocr_alternatives,image_path,status_original
G00FA,4A F0,21,F0,0x00DA,♪,VISUAL_HIGH,glyph image manually checked,,,"ゅ(79,threshold_jpn_10)",glyph_G00FA.png,UNRESOLVED_UNICODE
G00FE,4E F0,20,F0,0x00DE,,REVIEW,,,,,glyph_G00FE.png,UNRESOLVED_UNICODE
G010E,5E F0,2,F0,0x00EE,左,HIGH,"4 OCR votes, max 89.7",,,"左(90,nearest_jpn_10); 堪(64,nearest_jpn_13); 让(28,nearest_HanS_10)",glyph_G010E.png,UNRESOLVED_UNICODE
G0110,60 F0,12,F0,0x00F0,右,HIGH,"2 OCR votes, max 73.8",,,"石(90,nearest_Japanese_10); 右(74,nearest_jpn_13); 证(0,nearest_HanS_10)",glyph_G0110.png,UNRESOLVED_UNICODE
G0113,63 F0,283,F0,0x00F3,会,HIGH,jpn psm13 92.8,,,"会(93,nearest_jpn_13); 二(0,nearest_jpn_10)",glyph_G0113.png,UNRESOLVED_UNICODE
G0114,64 F0,423,F0,0x00F4,話,HIGH,jpn psm13 91.5,,,"話(91,nearest_jpn_13); 庄(34,nearest_Japanese_10); ョ(11,threshold_jpn_10); 店(0,nearest_HanS_10)",glyph_G0114.png,UNRESOLVED_UNICODE
G011C,6C F0,129,F0,0x00FC,り,MEDIUM,"2 OCR votes, avg 0.0",,,"中(13,threshold_jpn_10); 路(0,nearest_jpn_13); り(0,nearest_jpn_10)",glyph_G011C.png,UNRESOLVED_UNICODE
G0123,73 F0,6,F0,0x0103,換,VISUAL_HIGH,glyph image manually checked,,,"損(33,nearest_jpn_13); 失(0,nearest_jpn_10); 所(0,smooth_jpn_10); 換(0,threshold_jpn_10); 换(0,nearest_HanS_10)",glyph_G0123.png,UNRESOLVED_UNICODE
G0126,76 F0,58,F0,0x0106,搭,HIGH,"3 OCR votes, max 84.7",,,"搭(85,nearest_Japanese_10); 措(19,nearest_jpn_10); 捨(0,nearest_jpn_13)",glyph_G0126.png,UNRESOLVED_UNICODE
G012C,7C F0,111,F0,0x010C,配,HIGH,jpn psm13 92.9,,,"配(93,nearest_jpn_13); 本(48,threshold_jpn_10)",glyph_G012C.png,UNRESOLVED_UNICODE
G012F,7F F0,27,F0,0x010F,個,HIGH,jpn psm13 92.9,,,"個(93,nearest_jpn_13); 个(54,nearest_HanS_10); 『(19,threshold_jpn_10)",glyph_G012F.png,UNRESOLVED_UNICODE
G0132,82 F0,153,F0,0x0112,買,HIGH,jpn psm13 89.9,,,"上(90,nearest_HanS_10); 買(90,nearest_jpn_13); 自(83,smooth_jpn_10); 肖(16,threshold_jpn_10)",glyph_G0132.png,UNRESOLVED_UNICODE
G0133,83 F0,128,F0,0x0113,売,HIGH,jpn psm13 87.4,,,"売(87,nearest_jpn_13); 元(0,nearest_HanS_10); 志(0,nearest_Japanese_10)",glyph_G0133.png,UNRESOLVED_UNICODE
G0136,86 F0,3,F0,0x0116,預,HIGH,jpn psm13 92.6,,,"預(93,nearest_jpn_13); ー(88,threshold_jpn_10); 麺(0,smooth_jpn_10); 地(0,nearest_HanS_10); 三(0,nearest_Japanese_10)",glyph_G0136.png,UNRESOLVED_UNICODE
G013C,8C F0,95,F0,0x011C,続,HIGH,jpn psm13 89.7,,,"続(90,nearest_jpn_13); 米(0,nearest_HanS_10)",glyph_G013C.png,UNRESOLVED_UNICODE
G013E,8E F0,40,F0,0x011E,期,MEDIUM,jpn psm13 78.7,,,"期(79,nearest_jpn_13); 用(77,threshold_jpn_10); 其(64,nearest_jpn_10)",glyph_G013E.png,UNRESOLVED_UNICODE
G0143,93 F0,46,F0,0x0123,選,HIGH,jpn psm13 91.0,,,"選(91,nearest_jpn_13); 世(0,nearest_jpn_10); 供(0,threshold_jpn_10); 让(0,nearest_HanS_10)",glyph_G0143.png,UNRESOLVED_UNICODE
G0144,94 F0,4,F0,0x0124,択,HIGH,"3 OCR votes, max 81.9",,,"択(82,nearest_jpn_13); ・(60,smooth_jpn_10); 损(37,nearest_HanS_10)",glyph_G0144.png,UNRESOLVED_UNICODE
G0146,96 F0,8,F0,0x0126,域,HIGH,jpn psm13 86.6,,,"域(92,nearest_Japanese_10); 」(28,threshold_jpn_10)",glyph_G0146.png,UNRESOLVED_UNICODE
G0152,A2 F0,126,F0,0x0132,村,HIGH,jpn psm13 92.7,,,"村(96,nearest_HanS_10)",glyph_G0152.png,UNRESOLVED_UNICODE
G015C,AC F0,7,F0,0x013C,箱,HIGH,jpn psm13 89.2,,,"箱(89,nearest_jpn_13); 相(87,nearest_Japanese_10)",glyph_G015C.png,UNRESOLVED_UNICODE
G0162,B2 F0,128,F0,0x0142,記,MEDIUM,"2 OCR votes, avg 0.0",,,"忘(11,nearest_jpn_13); 記(0,nearest_jpn_10); 選(0,smooth_jpn_10)",glyph_G0162.png,UNRESOLVED_UNICODE
G0163,B3 F0,38,F0,0x0143,届,HIGH,jpn psm13 92.1,,,"届(92,nearest_jpn_13); 王(0,threshold_jpn_10)",glyph_G0163.png,UNRESOLVED_UNICODE
G0166,B6 F0,1,F0,0x0146,券,MEDIUM,"2 OCR votes, avg 20.5",,,"券(41,smooth_jpn_10)",glyph_G0166.png,UNRESOLVED_UNICODE
G0167,B7 F0,74,F0,0x0147,母,HIGH,jpn psm13 90.1,,,"母(90,nearest_jpn_13)",glyph_G0167.png,UNRESOLVED_UNICODE
G0170,C0 F0,263,F0,0x0150,前,HIGH,jpn psm13 96.8,,,"前(97,nearest_jpn_13)",glyph_G0170.png,UNRESOLVED_UNICODE
G0175,C5 F0,324,F0,0x0155,屋,HIGH,jpn psm13 92.2,,,"屋(93,smooth_jpn_10); 二(30,nearest_HanS_10)",glyph_G0175.png,UNRESOLVED_UNICODE
G0177,C7 F0,6,F0,0x0157,樹,HIGH,jpn psm13 92.7,,,"樹(93,nearest_jpn_13); に(83,nearest_jpn_10)",glyph_G0177.png,UNRESOLVED_UNICODE
G0179,C9 F0,40,F0,0x0159,晴,HIGH,jpn psm13 91.2,,,"晴(93,nearest_jpn_10)",glyph_G0179.png,UNRESOLVED_UNICODE
G0188,D8 F0,169,F0,0x0168,探,HIGH,jpn psm13 92.4,,,"探(92,nearest_jpn_13); 控(43,threshold_jpn_10)",glyph_G0188.png,UNRESOLVED_UNICODE
G018B,DB F0,69,F0,0x016B,以,HIGH,jpn psm13 92.9,,,"以(93,nearest_jpn_10)",glyph_G018B.png,UNRESOLVED_UNICODE
G019A,EA F0,54,F0,0x017A,赤,HIGH,jpn psm13 89.0,,,"赤(89,nearest_jpn_13); 示(36,nearest_Japanese_10); か(9,nearest_jpn_10); り(0,smooth_jpn_10)",glyph_G019A.png,UNRESOLVED_UNICODE
G019C,EC F0,4,F0,0x017C,即,HIGH,jpn psm13 87.9,,,"即(88,nearest_jpn_13); 員(0,smooth_jpn_10)",glyph_G019C.png,UNRESOLVED_UNICODE
G01A2,22 F1,16,F1,0x0182,ー,HIGH,"2 OCR votes, max 80.9",,,"ー(81,nearest_jpn_10); 程(76,nearest_jpn_13); 本(40,nearest_HanS_10)",glyph_G01A2.png,UNRESOLVED_UNICODE
G01AE,2E F1,4,F1,0x018E,,REVIEW,,狙,60.5,"狙(61,nearest_jpn_13)",glyph_G01AE.png,UNRESOLVED_UNICODE
G01B6,36 F1,29,F1,0x0196,段,HIGH,jpn psm13 91.4,,,"段(91,nearest_jpn_13)",glyph_G01B6.png,UNRESOLVED_UNICODE
G01BF,3F F1,10,F1,0x019F,で,HIGH,"2 OCR votes, max 73.6",,,"で(74,nearest_jpn_10); 系(38,nearest_jpn_13); 未(0,threshold_jpn_10); 下(0,nearest_Japanese_10)",glyph_G01BF.png,UNRESOLVED_UNICODE
G01C3,43 F1,71,F1,0x01A3,止,HIGH,"6 OCR votes, max 91.9",,,"止(92,nearest_Japanese_10)",glyph_G01C3.png,UNRESOLVED_UNICODE
G01C4,44 F1,2,F1,0x01A4,誠,VISUAL_HIGH,glyph image manually checked,,,"誠(0,nearest_jpn_13); 束(0,nearest_jpn_10); 玉(0,smooth_jpn_10); ョ(0,threshold_jpn_10); 广(0,nearest_HanS_10)",glyph_G01C4.png,UNRESOLVED_UNICODE
G01CA,4A F1,276,F1,0x01AA,年,HIGH,jpn psm13 95.9,,,"年(97,nearest_jpn_10)",glyph_G01CA.png,UNRESOLVED_UNICODE
G01CC,4C F1,53,F1,0x01AC,割,HIGH,jpn psm13 91.3,,,"割(91,nearest_jpn_13)",glyph_G01CC.png,UNRESOLVED_UNICODE
G01D1,51 F1,5,F1,0x01B1,兵,HIGH,jpn psm13 86.9,,,"兵(87,nearest_jpn_13); 乓(44,nearest_HanS_10)",glyph_G01D1.png,UNRESOLVED_UNICODE
G01D4,54 F1,252,F1,0x01B4,友,MEDIUM,"2 OCR votes, avg 11.5",,,"友(18,nearest_jpn_10); 最(0,nearest_jpn_13); 到(0,threshold_jpn_10); 隔(0,nearest_HanS_10); 酸(0,nearest_Japanese_10)",glyph_G01D4.png,UNRESOLVED_UNICODE
G01D7,57 F1,48,F1,0x01B7,役,HIGH,jpn psm13 92.7,,,"役(93,nearest_jpn_13); に(51,threshold_jpn_10); 得(51,nearest_HanS_10); 令(0,nearest_Japanese_10)",glyph_G01D7.png,UNRESOLVED_UNICODE
G01DC,5C F1,75,F1,0x01BC,外,HIGH,jpn psm13 90.0,,,"ト(93,threshold_jpn_10); 外(90,nearest_jpn_13); ・(82,nearest_jpn_10)",glyph_G01DC.png,UNRESOLVED_UNICODE
G01DF,5F F1,3,F1,0x01BF,矢,HIGH,jpn psm13 90.8,,,"矢(91,nearest_jpn_13); 天(81,smooth_jpn_10); た(0,threshold_jpn_10); 拓(0,nearest_Japanese_10)",glyph_G01DF.png,UNRESOLVED_UNICODE
G01E2,62 F1,3,F1,0x01C2,時,VISUAL_HIGH,glyph image manually checked,,,"店(54,threshold_jpn_10); 時(0,nearest_jpn_13); 喘(0,nearest_Japanese_10)",glyph_G01E2.png,UNRESOLVED_UNICODE
G01E3,63 F1,2,F1,0x01C3,中,HIGH,"2 OCR votes, max 71.7",,,"中(72,threshold_jpn_10); 忠(70,nearest_jpn_10); 距(57,nearest_jpn_13)",glyph_G01E3.png,UNRESOLVED_UNICODE
G01E4,64 F1,21,F1,0x01C4,難,VISUAL_HIGH,glyph image manually checked,,,"上(38,nearest_jpn_10); 圏(0,nearest_jpn_13); 還(0,threshold_jpn_10)",glyph_G01E4.png,UNRESOLVED_UNICODE
G01E5,65 F1,5,F1,0x01C5,牛,HIGH,"4 OCR votes, max 86.9",,,"牛(87,smooth_jpn_10); 和(74,nearest_HanS_10)",glyph_G01E5.png,UNRESOLVED_UNICODE
G01FF,7F F1,213,F1,0x01DF,目,HIGH,jpn psm13 92.9,,,"目(93,nearest_jpn_13); ミ(68,threshold_jpn_10)",glyph_G01FF.png,UNRESOLVED_UNICODE
G0205,85 F1,1,F1,0x01E5,盾,MEDIUM,jpn psm13 67.3,,,"盾(67,nearest_jpn_13); す(5,nearest_Japanese_10); 秆(0,nearest_HanS_10)",glyph_G0205.png,UNRESOLVED_UNICODE
G0209,89 F1,81,F1,0x01E9,返,HIGH,jpn psm13 93.2,,,"返(93,nearest_jpn_13); 到(0,nearest_HanS_10); 李(0,nearest_Japanese_10)",glyph_G0209.png,UNRESOLVED_UNICODE
G020F,8F F1,99,F1,0x01EF,近,HIGH,jpn psm13 92.6,,,"近(93,nearest_jpn_13); 打(0,smooth_jpn_10)",glyph_G020F.png,UNRESOLVED_UNICODE
G021E,9E F1,68,F1,0x01FE,安,HIGH,"2 OCR votes, max 89.5",,,"安(89,nearest_HanS_10); ェ(77,smooth_jpn_10)",glyph_G021E.png,UNRESOLVED_UNICODE
G0228,A8 F1,12,F1,0x0208,有,HIGH,jpn psm13 87.0,,,"有(97,nearest_HanS_10)",glyph_G0228.png,UNRESOLVED_UNICODE
G022C,AC F1,14,F1,0x020C,首,HIGH,jpn psm13 92.5,,,"首(93,nearest_jpn_13); 自(92,threshold_jpn_10)",glyph_G022C.png,UNRESOLVED_UNICODE
G022E,AE F1,1,F1,0x020E,四,MEDIUM,"2 OCR votes, avg 48.1",,,"四(55,nearest_jpn_10); 兄(29,threshold_jpn_10); 免(13,nearest_jpn_13)",glyph_G022E.png,UNRESOLVED_UNICODE
G022F,AF F1,54,F1,0x020F,許,HIGH,jpn psm13 92.5,,,"許(93,smooth_jpn_10); 計(87,nearest_jpn_10); 主(52,nearest_HanS_10)",glyph_G022F.png,UNRESOLVED_UNICODE
G0230,B0 F1,9,F1,0x0210,皆,HIGH,jpn psm13 92.5,,,"皆(93,nearest_jpn_13); 百(26,nearest_jpn_10); 再(20,smooth_jpn_10); 三(0,threshold_jpn_10); 粘(0,nearest_HanS_10)",glyph_G0230.png,UNRESOLVED_UNICODE
G023F,BF F1,96,F1,0x021F,新,HIGH,jpn psm13 93.2,,,"新(93,nearest_jpn_13); に(53,threshold_jpn_10); ト(48,nearest_jpn_10); 親(8,smooth_jpn_10)",glyph_G023F.png,UNRESOLVED_UNICODE
G0240,C0 F1,10,F1,0x0220,鮮,MEDIUM,jpn psm13 77.3,,,"鮮(77,nearest_jpn_13); 時(45,nearest_jpn_10); 上(33,smooth_jpn_10); 遇(0,nearest_Japanese_10)",glyph_G0240.png,UNRESOLVED_UNICODE
G0245,C5 F1,21,F1,0x0225,甘,HIGH,jpn psm13 92.1,,,"甘(92,nearest_jpn_13)",glyph_G0245.png,UNRESOLVED_UNICODE
G024A,CA F1,4,F1,0x022A,渋,HIGH,jpn psm13 89.5,,,"渋(90,nearest_jpn_13); か(59,smooth_jpn_10); 牙(0,nearest_Japanese_10)",glyph_G024A.png,UNRESOLVED_UNICODE
G024C,CC F1,21,F1,0x022C,上,MEDIUM,"2 OCR votes, avg 14.4",,,"上(29,nearest_jpn_10); 団(14,nearest_jpn_13); 攻(0,nearest_Japanese_10)",glyph_G024C.png,UNRESOLVED_UNICODE
G024F,CF F1,2,F1,0x022F,算,HIGH,"3 OCR votes, max 78.7",,,"算(79,nearest_jpn_13); ー(65,threshold_jpn_10)",glyph_G024F.png,UNRESOLVED_UNICODE
G0252,D2 F1,33,F1,0x0232,定,HIGH,jpn psm13 91.8,,,"定(92,nearest_jpn_13); ー(75,threshold_jpn_10)",glyph_G0252.png,UNRESOLVED_UNICODE
G0257,D7 F1,3,F1,0x0237,塩,HIGH,jpn psm13 89.9,,,"塩(90,nearest_jpn_13)",glyph_G0257.png,UNRESOLVED_UNICODE
G0258,D8 F1,19,F1,0x0238,斑,MEDIUM,"2 OCR votes, avg 58.8",,,"斑(59,smooth_jpn_10); 辛(45,nearest_jpn_13); 。(0,nearest_Japanese_10)",glyph_G0258.png,UNRESOLVED_UNICODE
G025F,DF F1,2,F1,0x023F,延,HIGH,jpn psm13 92.2,,,"延(92,nearest_jpn_13)",glyph_G025F.png,UNRESOLVED_UNICODE
G0261,E1 F1,2,F1,0x0241,費,VISUAL_HIGH,glyph image manually checked,,,"費(55,nearest_jpn_13); 区(25,smooth_jpn_10); 宇(15,threshold_jpn_10); 殴(5,nearest_jpn_10); 昔(0,nearest_Japanese_10)",glyph_G0261.png,UNRESOLVED_UNICODE
G0262,E2 F1,14,F1,0x0242,倍,HIGH,jpn psm13 85.7,,,"倍(86,nearest_jpn_13); 億(11,smooth_jpn_10)",glyph_G0262.png,UNRESOLVED_UNICODE
G0263,E3 F1,91,F1,0x0243,終,HIGH,jpn psm13 90.1,,,"終(90,nearest_jpn_13); 中(0,threshold_jpn_10)",glyph_G0263.png,UNRESOLVED_UNICODE
G026F,EF F1,9,F1,0x024F,紹,MEDIUM,jpn psm13 83.2,,,"紹(83,nearest_jpn_13); 紀(0,smooth_jpn_10)",glyph_G026F.png,UNRESOLVED_UNICODE
G0270,20 F2,10,F2,0x0250,介,HIGH,jpn psm13 90.4,,,"介(90,nearest_jpn_13); 代(0,nearest_Japanese_10)",glyph_G0270.png,UNRESOLVED_UNICODE
G0289,39 F2,12,F2,0x0269,警,VISUAL_HIGH,glyph image manually checked,,,"警(0,nearest_jpn_13)",glyph_G0289.png,UNRESOLVED_UNICODE
G028F,3F F2,77,F2,0x026F,欄,MEDIUM,"2 OCR votes, avg 0.0",,,"儀(89,smooth_jpn_10); 位(0,nearest_jpn_13); 欄(0,nearest_jpn_10)",glyph_G028F.png,UNRESOLVED_UNICODE
G02A3,53 F2,5,F2,0x0283,鏡,MEDIUM,jpn psm13 83.0,,,"鏡(83,nearest_jpn_13); 上(69,smooth_jpn_10)",glyph_G02A3.png,UNRESOLVED_UNICODE
G02A8,58 F2,2,F2,0x0288,登,HIGH,jpn psm13 92.3,,,"登(92,nearest_jpn_13); 富(31,smooth_jpn_10)",glyph_G02A8.png,UNRESOLVED_UNICODE
G02AA,5A F2,32,F2,0x028A,妙,VISUAL_HIGH,glyph image manually checked,,,"妙(51,nearest_jpn_13)",glyph_G02AA.png,UNRESOLVED_UNICODE
G02AC,5C F2,7,F2,0x028C,鹿,HIGH,jpn psm13 86.5,,,"に(93,threshold_jpn_10); 鹿(86,nearest_jpn_13)",glyph_G02AC.png,UNRESOLVED_UNICODE
G02AD,5D F2,11,F2,0x028D,角,HIGH,jpn psm13 92.9,,,"角(93,nearest_jpn_13)",glyph_G02AD.png,UNRESOLVED_UNICODE
G02AF,5F F2,13,F2,0x028F,仮,HIGH,jpn psm13 87.9,,,"仮(88,nearest_jpn_13)",glyph_G02AF.png,UNRESOLVED_UNICODE
G02B8,68 F2,10,F2,0x0298,幻,MEDIUM,jpn psm13 75.0,,,"幻(75,nearest_jpn_13); 」(72,threshold_jpn_10); る(38,smooth_jpn_10)",glyph_G02B8.png,UNRESOLVED_UNICODE
G02BD,6D F2,19,F2,0x029D,涙,HIGH,"3 OCR votes, max 79.9",,,"涙(80,nearest_jpn_13); 神(0,threshold_jpn_10)",glyph_G02BD.png,UNRESOLVED_UNICODE
G02D3,83 F2,34,F2,0x02B3,絵,HIGH,jpn psm13 91.3,,,"絵(91,nearest_jpn_13); 統(0,smooth_jpn_10); 結(0,threshold_jpn_10)",glyph_G02D3.png,UNRESOLVED_UNICODE
G02D4,84 F2,581,F2,0x02B4,日,HIGH,jpn psm13 90.2,,,"日(90,nearest_jpn_13); ロ(73,smooth_jpn_10)",glyph_G02D4.png,UNRESOLVED_UNICODE
G02DD,8D F2,2,F2,0x02BD,針,HIGH,jpn psm13 93.0,,,"針(93,nearest_jpn_13)",glyph_G02DD.png,UNRESOLVED_UNICODE
G02E1,91 F2,3,F2,0x02C1,,REVIEW,,凌,0.0,"凌(0,nearest_jpn_13); ま(0,threshold_jpn_10)",glyph_G02E1.png,UNRESOLVED_UNICODE
G02E4,94 F2,73,F2,0x02C4,始,HIGH,jpn psm13 92.6,,,"始(93,nearest_jpn_13)",glyph_G02E4.png,UNRESOLVED_UNICODE
G02E6,96 F2,162,F2,0x02C6,教,HIGH,jpn psm13 88.1,,,"教(88,nearest_jpn_13); 報(0,threshold_jpn_10)",glyph_G02E6.png,UNRESOLVED_UNICODE
G02EB,9B F2,4,F2,0x02CB,引,VISUAL_HIGH,glyph image manually checked,,,"和(24,nearest_jpn_10); 引(0,nearest_jpn_13)",glyph_G02EB.png,UNRESOLVED_UNICODE
G02EC,9C F2,35,F2,0x02CC,番,HIGH,jpn psm13 92.6,,,"番(93,nearest_jpn_13); 上(35,smooth_jpn_10)",glyph_G02EC.png,UNRESOLVED_UNICODE
G02F0,A0 F2,1,F2,0x02D0,芋,HIGH,jpn psm13 92.2,,,"芋(92,nearest_jpn_13)",glyph_G02F0.png,UNRESOLVED_UNICODE
G02F2,A2 F2,24,F2,0x02D2,吸,VISUAL_HIGH,glyph image manually checked,,,"吸(63,nearest_jpn_13); 由(0,threshold_jpn_10)",glyph_G02F2.png,UNRESOLVED_UNICODE
G02F3,A3 F2,6,F2,0x02D3,中,MEDIUM,"2 OCR votes, avg 39.5",,,"中(40,nearest_jpn_10); 人(0,threshold_jpn_10); 蝶(0,nearest_jpn_13)",glyph_G02F3.png,UNRESOLVED_UNICODE
G02F4,A4 F2,3,F2,0x02D4,泥,HIGH,jpn psm13 91.7,,,"泥(92,nearest_jpn_13); 中(57,threshold_jpn_10); 北(0,nearest_jpn_10); 光(0,smooth_jpn_10)",glyph_G02F4.png,UNRESOLVED_UNICODE
G0301,B1 F2,2,F2,0x02E1,攻,VISUAL_HIGH,glyph image manually checked,,,"こ(42,threshold_jpn_10); 攻(0,nearest_jpn_13)",glyph_G0301.png,UNRESOLVED_UNICODE
G0302,B2 F2,1,F2,0x02E2,拳,MEDIUM,jpn psm13 75.9,,,"拳(76,nearest_jpn_13); 芋(46,nearest_jpn_10)",glyph_G0302.png,UNRESOLVED_UNICODE
G030B,BB F2,34,F2,0x02EB,追,MEDIUM,jpn psm13 81.8,,,"追(82,nearest_jpn_13); 師(50,nearest_jpn_10)",glyph_G030B.png,UNRESOLVED_UNICODE
G030D,BD F2,4,F2,0x02ED,脱,MEDIUM,"2 OCR votes, avg 0.0",,,"脱(0,nearest_jpn_13); 膨(0,nearest_jpn_10)",glyph_G030D.png,UNRESOLVED_UNICODE
G0320,D0 F2,24,F2,0x0300,完,HIGH,jpn psm13 92.0,,,"完(92,nearest_jpn_13); 元(59,nearest_jpn_10)",glyph_G0320.png,UNRESOLVED_UNICODE
G0321,D1 F2,1,F2,0x0301,陣,MEDIUM,jpn psm13 82.5,,,"陣(83,nearest_jpn_13); 由(67,threshold_jpn_10); 『(62,smooth_jpn_10); 中(13,nearest_jpn_10)",glyph_G0321.png,UNRESOLVED_UNICODE
G0324,D4 F2,11,F2,0x0304,吐,HIGH,jpn psm13 92.4,,,"吐(92,nearest_jpn_13); 叶(73,threshold_jpn_10); 中(0,smooth_jpn_10)",glyph_G0324.png,UNRESOLVED_UNICODE
G0327,D7 F2,11,F2,0x0307,援,HIGH,"2 OCR votes, max 81.0",,,"援(81,nearest_jpn_13)",glyph_G0327.png,UNRESOLVED_UNICODE
G0328,D8 F2,3,F2,0x0308,酒,VISUAL_HIGH,glyph image manually checked,,,"洒(31,nearest_jpn_10); 溜(0,nearest_jpn_13)",glyph_G0328.png,UNRESOLVED_UNICODE
G032A,DA F2,3,F2,0x030A,複,VISUAL_HIGH,glyph image manually checked,,,"複(52,nearest_jpn_13); 中(41,smooth_jpn_10)",glyph_G032A.png,UNRESOLVED_UNICODE
G0336,E6 F2,9,F2,0x0316,挑,HIGH,"3 OCR votes, max 74.4",,,"挑(74,nearest_jpn_13)",glyph_G0336.png,UNRESOLVED_UNICODE
G033F,EF F2,154,F2,0x031F,明,HIGH,jpn psm13 92.9,,,"明(93,nearest_jpn_13)",glyph_G033F.png,UNRESOLVED_UNICODE
G0348,28 F3,234,F3,0x0328,所,HIGH,jpn psm13 96.8,,,"所(97,nearest_jpn_13)",glyph_G0348.png,UNRESOLVED_UNICODE
G034B,2B F3,18,F3,0x032B,節,HIGH,jpn psm13 92.8,,,"節(93,nearest_jpn_13)",glyph_G034B.png,UNRESOLVED_UNICODE
G034D,2D F3,3,F3,0x032D,中,MEDIUM,"2 OCR votes, avg 40.0",,,"中(42,nearest_jpn_10); 用(17,threshold_jpn_10); 開(0,nearest_jpn_13)",glyph_G034D.png,UNRESOLVED_UNICODE
G034F,2F F3,59,F3,0x032F,抜,HIGH,"4 OCR votes, max 80.3",,,"抜(80,nearest_jpn_13)",glyph_G034F.png,UNRESOLVED_UNICODE
G0351,31 F3,113,F3,0x0331,声,HIGH,jpn psm13 87.9,,,"声(88,nearest_jpn_13)",glyph_G0351.png,UNRESOLVED_UNICODE
G0359,39 F3,1,F3,0x0339,菌,HIGH,jpn psm13 87.5,,,"菌(87,nearest_jpn_13); 素(0,smooth_jpn_10); 遇(0,threshold_jpn_10)",glyph_G0359.png,UNRESOLVED_UNICODE
G035A,3A F3,31,F3,0x033A,隠,MEDIUM,"3 OCR votes, avg 40.6",,,"隠(62,nearest_jpn_10); 園(0,nearest_jpn_13)",glyph_G035A.png,UNRESOLVED_UNICODE
G035D,3D F3,2,F3,0x033D,煙,HIGH,jpn psm13 92.8,,,"煙(93,nearest_jpn_13)",glyph_G035D.png,UNRESOLVED_UNICODE
