glyph_index_hex,character,confidence,evidence_kind,evidence_note
0167,母,SUPPORTED,provided_context_high,Context inference (HIGH); examples: はッ、はひッ！、お<G0167>さま！ | ち、ちがうよ！ ミランダは…、<G0167>親さ！ | なぁ、<G0167>さんのこと好きか？
0170,前,SUPPORTED,dialogue_context,ミランダの前/目を覚ます前に
0175,屋,SUPPORTED,dialogue_context,Compound 屋: 道具屋/部屋/わめき屋
0179,晴,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ーキってのが どんなに<G018E><G0179>らしいものか…<CTRL:07 0E 00 | そんな時は、パーッと空でも 飛んで気<G0179>らししようよ！ | CTRL:13>マ<CTRL:1E><G0179>れてる！<CTRL:13>マ<G001C>
0188,探,SUPPORTED,dialogue_context,手探り/探すさ/探しにいこう
018B,以,SUPPORTED,provided_context_high,Context inference (HIGH); examples: んだ <G03B4>か、攻撃する魔法<G018B><G01DC>にも 傷を癒す魔法なんかも  | <G0056><G0056>〜 それ<G018B>上はいわない方が おたがいのためじゃなぁい | ああ、<G0555>中に羽がある <G018B><G01DC>はね……
019A,赤,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 海まで、<G019A>く<G04D9>まってる…<CTRL:09 | うわ…、顔中に <G019A>いプツプツがある… | なんだ、この<G02D3>… 鳥と<G019A>い根っこが 戦ってるのか…？
01B6,段,SUPPORTED,provided_context_high,Context inference (HIGH); examples: やっぱりいらないな 値<G01B6>はいくら？ | れしかないよな！ オレも聖獣探しが一<G01B6>落したら がんばんないと！ | フライト後のメシは また一<G01B6>とうまく感じるな！<CTRL:09 0E
01C3,止,SUPPORTED,provided_context_high,Context inference (HIGH); examples: <G02F2>い込まれたりしてる… <G01C3>めなきゃいけないんだ | うだよ！ 夢に<G0163>くまで <G01C3>まらないんだ！<CTRL:09 0E 00 | …それ、きっと ミランダが<G01C3>めたんだ またバクチにハマると思ってさ
01CA,年,SUPPORTED,provided_context_high,Context inference (HIGH); examples: いのはいいけどさ 実<G044C>の<G01CA><G0848>も、考えてくれよ… | オレとロッツが 長<G01CA>の苦心の末に生み出した 1<G0039>号 | :09 0E 00 08 00> 何<G01CA>も、置きっ放しだよな！
01CC,黙,SUPPORTED,provided_context_high,Context inference (HIGH); examples: そっか、<G04D4>いか！ ただ<G01CC>ってるだけじゃ なかったんだな！ | 、なんだってのよ… <G085C>が<G01CC>れたのは あたしのせい？ | D9> <G0132>うために、マキ<G01CC>りとか いろいろ仕事して かせいだっけ…<
01D4,最,SUPPORTED,provided_context_high,Context inference (HIGH); examples: い！ 早くガレージに行って ロッツと<G01D4><G0263>調<G04C5>しないと！ | 言われてみれば、つい<G01D4><G020F>まで <G051D>落しまく | <G01D4>初にかまれてなきゃ オレもそう思ったかもな
01D7,役,SUPPORTED,provided_context_high,Context inference (HIGH); examples: んないな…… 出目とカードが合うと <G01D7>ができて……？ | 傷に効く薬草… こいつが <G01D7>に立つかも知れない…！ | でも <G01D7>に立つ品物を<G0133>ってるし <G0
01DC,外,SUPPORTED,provided_context_high,Context inference (HIGH); examples: こそこかと思ってたら <G037C><G01DC>、トシいってたのねぇ… | こそこかと思ってたら <G037C><G01DC>、トシいってたのねぇ… | B4>か、攻撃する魔法<G018B><G01DC>にも 傷を癒す魔法なんかも <G0133>
01E4,離,SUPPORTED,provided_context_high,Context inference (HIGH); examples:  00 03 00>ま、しばらく村を<G01E4>れるのが ミランダの<G04F1><G03 | ル、ダメだ！ <G07D7>から手を<G01E4>すんだ！<CTRL:09> クッ…、我を< | ル、ダメだ！ <G07D7>から手を<G01E4>すんだ！<CTRL:09> クッ…、我を<
01FF,目,SUPPORTED,dialogue_context,出目/目を覚ます/目標
0209,返,SUPPORTED,provided_context_high,Supplied 戻 corrected: 取り返す/返せる/繰り返す all require 返. Original supplied note: Context inference (HIGH); examples: 1<G0039>号機… 取り<G0209>してきたよ おまえの魂… | いだ 給<G05D9>が入って 金を<G0209>せるとか言ってたよな？ | L:13>マ<G0012> 村に引き<G0209>そうか<CTRL:13>マ<CTRL:1E
020F,近,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 言われてみれば、つい<G01D4><G020F>まで <G051D>落しまくってたんだよな | アロンソ… 取り込み中なら こんな<G020F>くにいちゃ <G05B0>惑なんじゃない？ | でも、<G020F>所の人どころか その人にも <G05B2>
021E,安,SUPPORTED,provided_context_high,Context inference (HIGH); examples: L:09 0E 00 01 00> <G021E>心しろって、もう そんなことは起きないから | 気<G021E>く呼ぶんじゃないよ | じょうぶ、だいじょうぶ アルフィナは<G021E>心して 見ててくれればいいから
0228,有,SUPPORTED,provided_context_high,Context inference (HIGH); examples: <G083D><G06EA>なんて、<G0228>り得な… | :0F> なんたってシュミットは 超<G0228>名だから！ | って知らない？ <G085C>焼きで<G0228>名なんだけどさ
022F,許,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 人を自由に好きになることも <G022F>されないなんて… 大変なんだな、神人っての | …あの様子じゃ <G022F>可どころじゃなさそうだな… とりあえず、ち
023F,新,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ねぇ、親方！、こないださ <G023F>しいゴミ<G0126>て場の話 してたでし | た焼こうよ あの言<G05CC>が <G023F>しいツボ焼き伝説の 1ページ目さ… | L:13>マ<CTRL:1E> あ、<G023F>たなツボ焼き伝説が 生まれたんだッ！<CT
0245,甘,SUPPORTED,provided_context_high,Context inference (HIGH); examples: おばさんの<G0560>のトマトさ <G0245>くて、すげぇうまいんだよ！ | 30><G02E8>とか！ やったら<G0245>い、お<G02E8><G027C>子とか！ | 30><G02E8>とか！ やったら<G0245>い、お<G02E8><G027C>子とか！
024C,験,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 実<G024C>エンジン1号か…<CTRL:07 0E 0 | >が、<G0542>じデジャヴを 体<G024C>するなんて… ダーナ、魔法でもかけたのか？ | おまえで1度 飛んだ経<G024C>があったから あの乱気流を<G034F>け
0252,定,SUPPORTED,provided_context_high,Context inference (HIGH); examples: みやげは 豪華下着に、<G0410><G0252>〜！ | みやげは 豪華下着に、<G0410><G0252>〜！ | ほど、<G06E4>を<G041F><G0252>できるのか こんな機能 オレの飛行機にも<
0258,辛,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 0> でも、空が飛べる限り どんなに<G0258>いことがあっても… なんとかなるって思える | 00> ふふ！、あんときゃ ずいぶん<G0258>そうだったわよ | いは まるっきり平気だったから その<G0258>さ分からないや…
0263,終,SUPPORTED,provided_context_high,Context inference (HIGH); examples:  02 00> 微調<G04C5>を<G0263>わらせれば いつだって飛べるよ | もう、<G0263>わらせてやる オレたちの空や、日常を 取り | ージに行って ロッツと<G01D4><G0263>調<G04C5>しないと！
028F,儀,SUPPORTED,provided_context_high,Context inference (HIGH); examples: るけど いま大切なのは アルフィナの<G028F>式だ 気持ち、切り<G04F6>えないとな | えっ、<G028F>式が<G0263>わったら…？<CTRL: | さっそく<G028F>式…、か 着いたそうそう大変だな 久しぶり
02AA,妙,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …なんか 奇<G02AA>な<G05C1>便ポストみたいだな | なんだか<G02AA>にうれしそうだな どんな事<G0412>な | なんか、<G02AA>に テンション高くない？
02AD,角,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ロッツが、<G02AD>度を工夫して 削りだしたプロペラ…<CTR | っ！、ここだよ！ この<G0706><G02AD>く色あせてない所に 飛行機の<G04D1>
02BD,涙,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あいつが、そんな風に <G02BD>を流してたなんて… よんよん思<G04EC | 0> わっ！、なんて顔してんだよ！ <G02BD>と<G0573>水が<G041F>まって… | しょっぱいのって、<G02BD>が お<G02E8>に入ってるからだろ…
02D3,絵,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あたりまえだろ カエルの<G02D3>が、まんなかに <G058F>んであったり | 飛行機の模型に飛行機の<G02D3>… そこにある本も ほとんど飛行機がらみの | アルフィナ、似顔<G02D3> 描いてもらったら？ もう明日には、ここ
02D4,日,SUPPORTED,dialogue_context,日常 and repeated あの日/その日
02E4,始,SUPPORTED,provided_context_high,Context inference (HIGH); examples: してたでしょ？ ガシャンおじさんの後<G02E4>末のさ | 7 0E 00 02 00>ここから<G02E4>まったんだ オレの夢… | ああ！、もしかして もう<G02E4>まっちゃった？
02E6,教,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 51F><G02FE>は、ちゃんと <G02E6><G0384>しとかなきゃ！ | G07CA><G011D>しの極意を<G02E6>えてくれ！ | G07CA><G011D>しの極意を<G02E6>えてくれ！
02EC,番,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 060A>しだよな… <G0529><G02EC>してる子も おびえてるし… | 4A6>顔のアルフィナが やっぱり1<G02EC>だな！ | <G01D4>初の見<G0512>り<G02EC>は あんたがよろしくね！
02F2,吸,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ことだよ 色んなところで、家や船が <G02F2>い込まれたりしてる… <G01C3>めなき | でも、みんなが ゾーンに、命を<G02F2>われて ガラスになっちゃったら だれも<G | ちがうんだ ちょっと<G04B7>呼<G02F2>してからと 思ってさ……
030B,追,SUPPORTED,provided_context_high,Context inference (HIGH); examples: さ！、あたしたち もう行かなきゃ！ <G030B>っ手が来るかも 知れないからね！ | さ！、あたしたち もう行かなきゃ！ <G030B>っ手が来るかも 知れないからね！ | 森で、ヘンなヤツらに <G030B>われてたんだ とりあえず連れてきたけど…
0320,完,SUPPORTED,provided_context_high,Context inference (HIGH); examples: いてもらいたいんだけど… やっと…、<G0320>成したんだよ | <G035F>土をこねる前に、<G0320>成した <G085C>をイメージしてるんだ | オレ見たよ、究極の<G085C>！ <G0320>成したんだ！ やり<G04BE>げたんだよ
0327,援,SUPPORTED,provided_context_high,Context inference (HIGH); examples: の勝負 ルールくらい分かんないと 応<G0327>もできないし… 遊びにきたんだ | よし、オレが応<G0327>してやるよ！ ダーナ、勝<G0553>を< | そっか… それで助けずに 応<G0327>してたんだな…
0336,進,SUPPORTED,provided_context_high,Context inference (HIGH); examples: オレの夢は空の彼方にある… 大空に、<G0336>み<G013C>けるんだって… | 0>くそっ！ 何度でも…！ オレは、<G0336>戦するからな！ | 0>くそっ！ 何度でも…！ オレは、<G0336>戦するからな！
033F,明,SUPPORTED,dialogue_context,説明/証明
0348,所,SUPPORTED,dialogue_context,場所/見え見えの場所/飛ぶ場所
034F,歩,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 09 0E 00 0B 00> 森を<G034F>けるなら また世話になるかもな…！ | >れるのが ミランダの<G04F1><G034F>きになれば いいんだけどな！ | RL:1E> 絶対、<G030B>い<G034F>いてやるからな！<CTRL:13>マ<G0
0351,声,SUPPORTED,provided_context_high,Context inference (HIGH); examples: おわっと… おばさん、<G0351>はりあげて なにやってんの？ | なんか大<G0351>だして 歩いているから 気になっちゃってさ | なんだ、この人 大きな<G0351>だして…
035A,隠,SUPPORTED,provided_context_high,Supplied 忘 corrected: 隠れてた and 神隠し require 隠. Original supplied note: Context inference (HIGH); examples: 0E 00 20 00> はは〜ん <G035A>れてたご<G051F><G02FE>、ちゃ | 「神<G035A>し」？ …なんだいそりゃ？ | さすがにミランダも オレの部屋には <G035A>さないだろ…
0368,他,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 本気で愛してんなら <G0368>の方法だってあるだろうに！ よりによって  | 空を飛ぶ <G0368>の場所に行く やめる | えで、海<G0394>えできなきゃ <G0368>のどんな飛行機だって ムリってことだからな
036C,喜,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 0583>してくれたら ミランダも、<G036C>ぶと思う… | <G0410>だ 家具屋のおばさんも<G036C>んでたろ 良かったな！
0373,格,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 性<G0373>なんて正反対なのに… なんていうかパズルが | すごい<G0373>好？ そんなヘンなヤツ いたっけ…？ | だけど、いつまでも そんな<G0373>好してると 狼に食べられちゃうわよ！
0375,約,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 0> 大<G02EF>で会おうって <G0375>束したのに オレ、出<G050B>れちゃっ | あ、ああ、そっか… メンディまでって<G0375>束だっけ | オレたちさ メンディまでの<G0375>束で アルフィナと旅をしてきただろ でも、
0376,難,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …落後者？ <G0376>しい言<G05CC>、知ってるんだな 意味 | そりゃ災<G0376>だったね！<CTRL:09 0E 00 2 | 船乗りの日<G02D5>みたいだな <G0376>破したのか…？
037C,意,SUPPORTED,provided_context_high,Context inference (HIGH); examples: か… ハタチそこそこかと思ってたら <G037C><G01DC>、トシいってたのねぇ… | か… ハタチそこそこかと思ってたら <G037C><G01DC>、トシいってたのねぇ… | だんなさんの 「あ<G048B>の提<G037C>」ねぇ…
037E,依,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 事<G0412>の内<G05C8> <G037E>頼人の事 <G071B>人はこいつだ！ | 事<G0412>の内<G05C8> <G037E>頼人の事 <G071B>人はこいつだ！ | 事<G0412>の内<G05C8> <G037E>頼人の事 <G071B>人はこいつだ！
0384,育,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 2FE>は、ちゃんと <G02E6><G0384>しとかなきゃ！ | 00>子供の頃、ミランダが たくさん<G0384>ててたっけ オレが、ケガばっかつくって 戻 | イヤな家<G01B5><G02E6><G0384>だな！ まぁ、いいや <G0368>の人に
0386,因,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 何が<G02E3><G0386>だったんだ？ | ンの呪い…… せめて、<G02E3><G0386>さえ分かれば… | ンの呪い…… せめて、<G02E3><G0386>さえ分かれば…
0394,越,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 飛ぶんだ…、どこまでも！ 森を<G0394>えて、そして… あの大海を<G0394>え | 飛ぶんだ…、どこまでも！ 森を<G0394>えて、そして… あの大海を<G0394>え | … 世界で、ただひとり 飛行機で 海<G0394>えを果たした男…<CTRL:07 0E 0
039E,憶,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …… オレ、小さい時の<G02D5><G039E>って ほとんどないんだよな…
03AB,悔,SUPPORTED,provided_context_high,Context inference (HIGH); examples: バースフィアに飛びこんだこと 後<G03AB>してないよ、オレは<CTRL:07 0E  | ビアンカを 見つけだしたら 絶対に後<G03AB>するよ… | ビアンカを 見つけだしたら 絶対に後<G03AB>するよ…
03AF,日,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 02 00> シカの干し肉かな… 2<G03AF>から<G021C>ってるんだ | 2<G03AF>は、<G04B5><G0169>に なって
03B0,害,SUPPORTED,provided_context_high,Context inference (HIGH); examples: E 00 0B 00><G0570><G03B0>は…、そうだな グラディスさんが<G013 | 00 01 00> ねぇ、それ人には<G03B0>はないの？ つか本当に効くの？ | 09 0E 00 08 00> 激烈<G03B0>虫<G02D9><G02B7>機「コロリ<
03B4,確,SUPPORTED,provided_context_high,Context inference (HIGH); examples: L:09 0E 00 1F 00> <G03B4>かに、あんなのだったら まだ森の獣のほうが | 9 00>だけど、こいつのおかげで <G03B4>信したんだ オレの夢は空の彼方にある… 大 | こで魔法が<G0133>ってるんだ <G03B4>か、攻撃する魔法<G018B><G01DC
03B6,楽,SUPPORTED,provided_context_high,Context inference (HIGH); examples: TRL:13>マ<CTRL:0F> <G03B6>勝、<CTRL:13>マ<CTRL:0A> | TRL:13>マ<CTRL:0F> <G03B6>勝、<CTRL:13>マ<CTRL:0A> | G0408>？ なんだか、おばさん <G03B6>しそうだな
03BA,勘,SUPPORTED,provided_context_high,Context inference (HIGH); examples: んだ？ もしかしてスイカかなんかと <G03BA>違いしてんのか？
03C0,汗,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 冷や<G03C0>？ 何があったんだよ | お<G0529>の中で冷や<G03C0>たらして… ちょっと 心<G012C>しす | CTRL:13>マ<CTRL:0A><G03C0>でベッタベタ！
03C2,看,SUPPORTED,provided_context_high,Context inference (HIGH); examples: なぁ、おじさん あの<G03C2>板…、もしかして ビアンカのヤツ 戻ってき | 自分の<G03C2>板くらい 作ればいいのに… | <G03C2>板か…<CTRL:09 0E 00 08
03C4,簡,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ィスおばさんだ きっと、妖精だって <G03C4>単には連れてけないさ！ | おばさんだ きっと、妖精だって そう<G03C4>単には連れてけないさ | グラディスさんが<G03C4>単に いなくなるわけなんてないさ だいじょ
03C7,観,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …、残<G0549>だね せっかくの<G03C7>光が こんな<G04EB>ぎで<G0263 | そうだな…、戻り道くらいは ちょっと<G03C7>光してこうかな… ねぇ、メンディにさ 名所 | <G03C7>光ってわけじゃないけど… ああ、<G03B
03CB,顔,SUPPORTED,dialogue_context,みっともない顔/イヤな顔/人の顔
03CD,勇,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 、空も 夢をかきたてるからいいんだ <G03CD><G059F>をくれるんだよ | 言ってんだ！ こういう時だからこそ <G03CD><G059F>を持って…！ | 「名匠の手による<G03CD>少品」か…<CTRL:09 0E 00 0
03D0,戻,SUPPORTED,dialogue_context,戻ってきて/持って戻らないと
03DF,休,SUPPORTED,dialogue_context,休み/しばらくは休み
03E1,泣,SUPPORTED,provided_context_high,Context inference (HIGH); examples: なんだ…<CTRL:09> …<G03E1>いてる？ | もしかして <G03E1>き虫だったの？ | …<G03E1>いてるのか？
03E5,去,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 知ったら自分たちが <G0162>れ<G03E5>られてるみたいで きっと、<G0258>い | オレの機体、壊れたまま 置き<G03E5>りでだいじょうぶかな…<CTRL:09 0 | ぁ、別れを 、<G043A>げず飛び<G03E5>るもんだ…」 とか言いそうだけどな！
03E8,拠,SUPPORTED,provided_context_high,Context inference (HIGH); examples: だよ！ そんなの 本気でやってない証<G03E8>だよ！ | まぁ…、そんな気もするな… 特に根<G03E8>はないけど | まぁ…、そんな気もするな… 特に根<G03E8>はないけど
03EA,加,SUPPORTED,provided_context_high,Context inference (HIGH); examples: <G03EA><G04E5>してんのか そりゃ、やりがい | L:13>マ<CTRL:19> また<G03EA><G04E5>しようよ、<CTRL:13>
03EC,協,SUPPORTED,provided_context_high,Context inference (HIGH); examples: <G03EC>力なんかしてない …むしろ、あんたの悪事を | 00 02 00> …ちょっとあは <G03EC>力できそうにないや、まだ 自由に空を飛んで | よ オレも、<G071B>人当てに <G03EC>力してるんだ、たまにね
03F2,興,SUPPORTED,provided_context_high,Context inference (HIGH); examples: カにするけど、実は飛行機に すっごい<G03F2>味があるんだ！ | 行機か… あいつ、カラーリングとか <G03F2>味なさそうだもんな…！ | か言って 実は、オレたちの飛行機に <G03F2>味あんだろ？ 乗ってみたいんだろ？
03F3,郷,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ばれよ！ さっ、オレたちも ウルの故<G03F3>を目指して ひとっとびだ！ | 着いたそうそう大変だな 久しぶりの故<G03F3>だってのに… | 着いたそうそう大変だな 久しぶりの故<G03F3>だってのに…
03F5,驚,SUPPORTED,provided_context_high,Context inference (HIGH); examples: イキナリ見せられたら そりゃ、みんな<G03F5>くよな… 早く、なんとかしなきゃな！ | イキナリ見せられたら そりゃ、みんな<G03F5>くよな… 早く、なんとかしなきゃ！ | 1E 00> 正直に言ってよ あさら<G03F5>きゃしないから…
03F9,緊,SUPPORTED,provided_context_high,Context inference (HIGH); examples: はは…、オレは<G03DD>に <G03F9><G0512>しちゃってダメそうだな こん | …まぁ そう<G03F9><G0512>しないでさ！ リラックス、リ | まぁ、まぁ… きっと、<G03F9><G0512>してるんだよ それでヘンな話
0406,父,SUPPORTED,provided_context_high,Context inference (HIGH); examples: タル…って、もしかして あんたの、お<G0406>さん アロンソって言わない？ | へぇ！、お<G0406>さんも 空中コンボ、使えるんだ |  0E 00 01 00> って、お<G0406>さんは行かないの？
040C,計,SUPPORTED,provided_context_high,Context inference (HIGH); examples: G05B6>に考えた <G04D1><G040C>とかアイデア 早く<G046A>してみたく | 1<G0039>号機の<G04D1><G040C>図 まさに<G06EA>術だ…！<CTRL | これだよ… <G047E>金は<G040C><G0330>的にって言うだろ？
040D,迎,SUPPORTED,provided_context_high,Context inference (HIGH); examples: りたいっていうなら 大<G03BF><G040D>だけどさ！ | 02 00>アルフィナと、グリフを <G040D>える準備か… オレも行かなきゃ！ | りたいっていうなら 大<G03BF><G040D>だけどさ！
0410,決,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ラディスの、おみやげは 豪華下着に、<G0410><G0252>〜！ | ラディスの、おみやげは 豪華下着に、<G0410><G0252>〜！ | やがって<CTRL:09> …いつか<G0410>着つけないとな！
0412,件,SUPPORTED,provided_context_high,Context inference (HIGH); examples: いたのかよ？ <G01DC>じゃ大事<G0412>があったんだよ！ グラディスさんが 人質に | 待てよ それって、また事<G0412>が <G0444>発するんじゃ…？ | ありがとな まぁ、なんか事<G0412>があったら 相<G0508>にくるからさ
0414,嫌,SUPPORTED,provided_context_high,Context inference (HIGH); examples: は…、オレだってそうさ この村のこと<G0414>いじゃないけど ここにいた時は ずっとそう | そんな考えだと 女の子に、<G0414>われるよ！<CTRL:09 0E 00 0 | 07 0E 00 04 00>「好き<G0414>いしないっ！ 、残さず食べるっ！」<CTR
041E,言,SUPPORTED,dialogue_context,言ってる/言えば/言った/言えてる/言う
0423,枯,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 花か…、すぐ<G0423>れちゃうし これといって<G01D7>に立 | 花ってさ、すぐ<G0423>れちゃうし これといって<G01D7>に立
0426,互,SUPPORTED,provided_context_high,Context inference (HIGH); examples: でに 何度ロッツとケンカしたか… お<G0426>い、こだわりがあるだけに 強<G04AD> | ランダは アンフォグには戻らない お<G0426>いに、自分の道を 行く事にしたんだ…
0427,悟,SUPPORTED,provided_context_high,Context inference (HIGH); examples: D4><G0145>してやるっ！ 覚<G0427>してくれよ、親方！ | RL:13>マ<CTRL:1E> 覚<G0427>できてる、<CTRL:13>マ<CTRL: | よ そのかわり、きびしくいくから 覚<G0427>しといてくれよ！
0428,誤,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 9 0E 00 06 00> ごっ、<G0428>解だよ！ …っていうか、オレ そんな目で見
043C,頃,SUPPORTED,dialogue_context,子供の頃 and 頃には
043D,あ,SUPPORTED,dialogue_context,あのダンナさん/あの日/あの子/あの空
