face_index,face_index_hex,face_resource_name,speaker_key,speaker_jp,face_mdt_offset,status
61,0x3D,face_dahna_09,dahna,ダーナ,0x00050380,SUPPORTED
62,0x3E,face_dahna_10,dahna,ダーナ,0x00051880,SUPPORTED
63,0x3F,face_hect_01,hect,ヘクト,0x00052D80,SUPPORTED
64,0x40,face_hect_02,hect,ヘクト,0x00054280,SUPPORTED
65,0x41,face_hect_03,hect,ヘクト,0x00055780,SUPPORTED
66,0x42,face_hect_04,hect,ヘクト,0x00056C80,SUPPORTED
67,0x43,face_hect_05,hect,ヘクト,0x00058180,SUPPORTED
68,0x44,face_rotts_01,rotts,ロッツ,0x00059680,SUPPORTED
69,0x45,face_rotts_02,rotts,ロッツ,0x0005AB80,SUPPORTED
70,0x46,face_rotts_03,rotts,ロッツ,0x0005C080,SUPPORTED
71,0x47,face_bianka_01,bianka,ビアンカ,0x0005D580,SUPPORTED
72,0x48,face_bianka_02,bianka,ビアンカ,0x0005EA80,SUPPORTED
73,0x49,face_bianka_03,bianka,ビアンカ,0x0005FF80,SUPPORTED
74,0x4A,face_schmidt_01,schmidt,シュミット,0x00061480,SUPPORTED
75,0x4B,face_schmidt_02,schmidt,シュミット,0x00062980,SUPPORTED
76,0x4C,face_schmidt_03,schmidt,シュミット,0x00063E80,SUPPORTED
77,0x4D,face_child_alfina_01,child_alfina,アルフィナ,0x00065380,SUPPORTED
78,0x4E,face_child_alfina_02,child_alfina,アルフィナ,0x00066880,SUPPORTED
79,0x4F,face_child_alfina_03,child_alfina,アルフィナ,0x00067D80,SUPPORTED
80,0x50,face_child_alfina_04,child_alfina,アルフィナ,0x00069280,SUPPORTED
81,0x51,face_child_emelious_01,child_emelious,エメリウス,0x0006A780,SUPPORTED
82,0x52,face_child_emelious_02,child_emelious,エメリウス,0x0006BC80,SUPPORTED
