event_sample_id,archive_id,archive_file,local_id,record_index,speaker,text,status,avg_logprob,no_speech_prob,model,notes
SE6000_0800_035,6000,6000.SE,0x0800,35,,,PENDING_TRANSCRIPTION,,,,
SE6000_0801_036,6000,6000.SE,0x0801,36,,,PENDING_TRANSCRIPTION,,,,
SE6000_0802_037,6000,6000.SE,0x0802,37,,,PENDING_TRANSCRIPTION,,,,
SE6000_0804_038,6000,6000.SE,0x0804,38,,,PENDING_TRANSCRIPTION,,,,
SE6000_0805_039,6000,6000.SE,0x0805,39,,,PENDING_TRANSCRIPTION,,,,
SE6000_0806_040,6000,6000.SE,0x0806,40,,,PENDING_TRANSCRIPTION,,,,
SE6000_080A_041,6000,6000.SE,0x080A,41,,,PENDING_TRANSCRIPTION,,,,
SE6000_07DA_042,6000,6000.SE,0x07DA,42,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6000_07D5_043,6000,6000.SE,0x07D5,43,,,PENDING_TRANSCRIPTION,,,,
SE6000_080C_044,6000,6000.SE,0x080C,44,,,PENDING_TRANSCRIPTION,,,,
SE6000_0DBD_045,6000,6000.SE,0x0DBD,45,,,PENDING_TRANSCRIPTION,,,,
SE6000_0DBE_046,6000,6000.SE,0x0DBE,46,,,PENDING_TRANSCRIPTION,,,,
SE6000_080D_047,6000,6000.SE,0x080D,47,,,PENDING_TRANSCRIPTION,,,,
SE6000_080E_048,6000,6000.SE,0x080E,48,,,PENDING_TRANSCRIPTION,,,,
SE6000_0812_049,6000,6000.SE,0x0812,49,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.8753,0.6984,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6000_0813_050,6000,6000.SE,0x0813,50,,このような アイスは アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが,AUTO_TRANSCRIBED_REVIEW,-0.1989,0.7006,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6002_08A6_000,6002,6002.SE,0x08A6,0,,,PENDING_TRANSCRIPTION,,,,
SE6002_08A7_001,6002,6002.SE,0x08A7,1,,,PENDING_TRANSCRIPTION,,,,
SE6002_08A8_002,6002,6002.SE,0x08A8,2,,,PENDING_TRANSCRIPTION,,,,
SE6002_08A9_003,6002,6002.SE,0x08A9,3,,,PENDING_TRANSCRIPTION,,,,
SE6002_0834_004,6002,6002.SE,0x0834,4,,,PENDING_TRANSCRIPTION,,,,
SE6002_0835_005,6002,6002.SE,0x0835,5,,,PENDING_TRANSCRIPTION,,,,
SE6002_0898_006,6002,6002.SE,0x0898,6,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.3519,0.7548,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6002_0899_007,6002,6002.SE,0x0899,7,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.9468,0.8935,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6002_089A_008,6002,6002.SE,0x089A,8,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.6165,0.9076,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6002_089B_009,6002,6002.SE,0x089B,9,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.6661,0.8741,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6002_082D_010,6002,6002.SE,0x082D,10,,,PENDING_TRANSCRIPTION,,,,
SE6002_082E_011,6002,6002.SE,0x082E,11,,,PENDING_TRANSCRIPTION,,,,
SE6002_0836_012,6002,6002.SE,0x0836,12,,,PENDING_TRANSCRIPTION,,,,
SE6002_0837_013,6002,6002.SE,0x0837,13,,,PENDING_TRANSCRIPTION,,,,
SE6002_083E_014,6002,6002.SE,0x083E,14,,,PENDING_TRANSCRIPTION,,,,
SE6002_083F_015,6002,6002.SE,0x083F,15,,,PENDING_TRANSCRIPTION,,,,
SE6002_08D8_016,6002,6002.SE,0x08D8,16,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.7499,0.5571,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6002_1295_017,6002,6002.SE,0x1295,17,,,PENDING_TRANSCRIPTION,,,,
SE6002_092A_018,6002,6002.SE,0x092A,18,,このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは、このようなアイスは,AUTO_TRANSCRIBED_REVIEW,-0.3055,0.9094,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6003_089D_000,6003,6003.SE,0x089D,0,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6003_089E_001,6003,6003.SE,0x089E,1,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.8924,0.8875,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6003_089F_002,6003,6003.SE,0x089F,2,,,PENDING_TRANSCRIPTION,,,,
SE6003_08A0_003,6003,6003.SE,0x08A0,3,,,PENDING_TRANSCRIPTION,,,,
SE6003_08A1_004,6003,6003.SE,0x08A1,4,,,PENDING_TRANSCRIPTION,,,,
SE6003_08A2_005,6003,6003.SE,0x08A2,5,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6003_08A3_006,6003,6003.SE,0x08A3,6,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.6327,0.8340,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6003_128E_007,6003,6003.SE,0x128E,7,,,PENDING_TRANSCRIPTION,,,,
SE6003_1290_008,6003,6003.SE,0x1290,8,,,PENDING_TRANSCRIPTION,,,,
SE6003_1294_009,6003,6003.SE,0x1294,9,,,PENDING_TRANSCRIPTION,,,,
SE6003_07F3_010,6003,6003.SE,0x07F3,10,,,PENDING_TRANSCRIPTION,,,,
SE6003_080B_011,6003,6003.SE,0x080B,11,,【音楽】,AUTO_TRANSCRIBED_REVIEW,-1.7045,0.5473,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6004_08A4_000,6004,6004.SE,0x08A4,0,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.8681,0.8270,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6004_08A5_001,6004,6004.SE,0x08A5,1,,【音楽】,AUTO_TRANSCRIBED_REVIEW,-1.6799,0.3386,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6004_16DF_002,6004,6004.SE,0x16DF,2,,,PENDING_TRANSCRIPTION,,,,
SE6004_16E0_003,6004,6004.SE,0x16E0,3,,,PENDING_TRANSCRIPTION,,,,
SE6004_16E1_004,6004,6004.SE,0x16E1,4,,,PENDING_TRANSCRIPTION,,,,
SE6004_16E3_005,6004,6004.SE,0x16E3,5,,,PENDING_TRANSCRIPTION,,,,
SE6004_16E5_006,6004,6004.SE,0x16E5,6,,よくもこのかけだろ!,AUTO_TRANSCRIBED_REVIEW,-0.7225,0.0077,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6004_16E7_007,6004,6004.SE,0x16E7,7,,,PENDING_TRANSCRIPTION,,,,
SE6004_16E8_008,6004,6004.SE,0x16E8,8,,,PENDING_TRANSCRIPTION,,,,
SE6004_16E9_009,6004,6004.SE,0x16E9,9,,,PENDING_TRANSCRIPTION,,,,
SE6004_16F0_010,6004,6004.SE,0x16F0,10,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6004_16EA_011,6004,6004.SE,0x16EA,11,,どうしー!,AUTO_TRANSCRIBED_REVIEW,-1.1103,0.1160,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6004_16EE_012,6004,6004.SE,0x16EE,12,,,PENDING_TRANSCRIPTION,,,,
SE6004_16F1_013,6004,6004.SE,0x16F1,13,,オラオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオ,AUTO_TRANSCRIBED_REVIEW,-0.0441,0.4476,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6004_0E3E_014,6004,6004.SE,0x0E3E,14,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.8805,0.8270,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6005_0001_000,6005,6005.SE,0x0001,0,,,PENDING_TRANSCRIPTION,,,,
SE6006_089D_000,6006,6006.SE,0x089D,0,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6006_089E_001,6006,6006.SE,0x089E,1,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.8924,0.8875,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6006_08A0_002,6006,6006.SE,0x08A0,2,,,PENDING_TRANSCRIPTION,,,,
SE6006_08A1_003,6006,6006.SE,0x08A1,3,,,PENDING_TRANSCRIPTION,,,,
SE6006_08B1_004,6006,6006.SE,0x08B1,4,,このようなアイスは、このようなアイスは、アイスは、アイスは、アイスは、,AUTO_TRANSCRIBED_REVIEW,-0.9733,0.9122,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6006_07F3_005,6006,6006.SE,0x07F3,5,,,PENDING_TRANSCRIPTION,,,,
SE6006_0834_006,6006,6006.SE,0x0834,6,,,PENDING_TRANSCRIPTION,,,,
SE6006_0835_007,6006,6006.SE,0x0835,7,,,PENDING_TRANSCRIPTION,,,,
SE6006_08B7_008,6006,6006.SE,0x08B7,8,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.9743,0.8282,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6006_08D9_009,6006,6006.SE,0x08D9,9,,,PENDING_TRANSCRIPTION,,,,
SE6006_0898_010,6006,6006.SE,0x0898,10,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.3519,0.7548,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6006_08C5_011,6006,6006.SE,0x08C5,11,,,PENDING_TRANSCRIPTION,,,,
SE6006_08C6_012,6006,6006.SE,0x08C6,12,,,PENDING_TRANSCRIPTION,,,,
SE6006_089C_013,6006,6006.SE,0x089C,13,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.5106,0.8532,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6007_08AB_000,6007,6007.SE,0x08AB,0,,このような アイスは アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが アイスが,AUTO_TRANSCRIBED_REVIEW,-0.1931,0.8991,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6007_08AC_001,6007,6007.SE,0x08AC,1,,このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この,AUTO_TRANSCRIBED_REVIEW,-0.2657,0.9248,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6007_08AE_002,6007,6007.SE,0x08AE,2,,お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に,AUTO_TRANSCRIBED_REVIEW,-0.1555,0.7083,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6007_08AF_003,6007,6007.SE,0x08AF,3,,うぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅ,AUTO_TRANSCRIBED_REVIEW,-0.0398,0.1656,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6007_08B2_004,6007,6007.SE,0x08B2,4,,【音楽】,AUTO_TRANSCRIBED_REVIEW,-1.5853,0.3510,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6007_0E10_005,6007,6007.SE,0x0E10,5,,,PENDING_TRANSCRIPTION,,,,
SE6007_08B9_006,6007,6007.SE,0x08B9,6,,ご視聴ありがとうございました,AUTO_TRANSCRIBED_REVIEW,-0.8885,0.8342,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6008_0001_000,6008,6008.SE,0x0001,0,,,PENDING_TRANSCRIPTION,,,,
SE6009_1598_000,6009,6009.SE,0x1598,0,,,PENDING_TRANSCRIPTION,,,,
SE6009_1599_001,6009,6009.SE,0x1599,1,,,PENDING_TRANSCRIPTION,,,,
SE6009_159A_002,6009,6009.SE,0x159A,2,,,PENDING_TRANSCRIPTION,,,,
SE6009_159B_003,6009,6009.SE,0x159B,3,,,PENDING_TRANSCRIPTION,,,,
SE6009_159C_004,6009,6009.SE,0x159C,4,,このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この,AUTO_TRANSCRIBED_REVIEW,-0.2420,0.8500,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6009_159E_005,6009,6009.SE,0x159E,5,,,PENDING_TRANSCRIPTION,,,,
SE6009_159F_006,6009,6009.SE,0x159F,6,,,PENDING_TRANSCRIPTION,,,,
SE6009_15A0_007,6009,6009.SE,0x15A0,7,,,PENDING_TRANSCRIPTION,,,,
SE6009_15A1_008,6009,6009.SE,0x15A1,8,,,PENDING_TRANSCRIPTION,,,,
SE6009_15A2_009,6009,6009.SE,0x15A2,9,,,PENDING_TRANSCRIPTION,,,,
SE6009_15A3_010,6009,6009.SE,0x15A3,10,,,PENDING_TRANSCRIPTION,,,,
SE6009_15A4_011,6009,6009.SE,0x15A4,11,,,PENDING_TRANSCRIPTION,,,,
SE6009_16BD_012,6009,6009.SE,0x16BD,12,,,PENDING_TRANSCRIPTION,,,,
SE6010_1598_000,6010,6010.SE,0x1598,0,,,PENDING_TRANSCRIPTION,,,,
SE6010_1599_001,6010,6010.SE,0x1599,1,,,PENDING_TRANSCRIPTION,,,,
SE6010_159A_002,6010,6010.SE,0x159A,2,,,PENDING_TRANSCRIPTION,,,,
SE6010_159B_003,6010,6010.SE,0x159B,3,,,PENDING_TRANSCRIPTION,,,,
SE6010_159C_004,6010,6010.SE,0x159C,4,,このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、このように、この,AUTO_TRANSCRIBED_REVIEW,-0.2420,0.8500,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6010_15AD_005,6010,6010.SE,0x15AD,5,,わぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ,AUTO_TRANSCRIBED_REVIEW,-0.1609,0.0967,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6010_15AE_006,6010,6010.SE,0x15AE,6,,,PENDING_TRANSCRIPTION,,,,
SE6010_15AF_007,6010,6010.SE,0x15AF,7,,,PENDING_TRANSCRIPTION,,,,
SE6010_15B0_008,6010,6010.SE,0x15B0,8,,,PENDING_TRANSCRIPTION,,,,
SE6010_15B1_009,6010,6010.SE,0x15B1,9,,,PENDING_TRANSCRIPTION,,,,
SE6010_15B2_010,6010,6010.SE,0x15B2,10,,,PENDING_TRANSCRIPTION,,,,
SE6010_15B5_011,6010,6010.SE,0x15B5,11,,,PENDING_TRANSCRIPTION,,,,
SE6010_165F_012,6010,6010.SE,0x165F,12,,もう一度,AUTO_TRANSCRIBED_REVIEW,-1.1898,0.4682,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6010_1662_013,6010,6010.SE,0x1662,13,,,PENDING_TRANSCRIPTION,,,,
SE6011_159E_000,6011,6011.SE,0x159E,0,,,PENDING_TRANSCRIPTION,,,,
SE6011_159F_001,6011,6011.SE,0x159F,1,,,PENDING_TRANSCRIPTION,,,,
SE6011_15A0_002,6011,6011.SE,0x15A0,2,,,PENDING_TRANSCRIPTION,,,,
SE6011_15A1_003,6011,6011.SE,0x15A1,3,,,PENDING_TRANSCRIPTION,,,,
SE6011_15A2_004,6011,6011.SE,0x15A2,4,,,PENDING_TRANSCRIPTION,,,,
SE6011_15A3_005,6011,6011.SE,0x15A3,5,,,PENDING_TRANSCRIPTION,,,,
SE6011_15A4_006,6011,6011.SE,0x15A4,6,,,PENDING_TRANSCRIPTION,,,,
SE6011_16DF_007,6011,6011.SE,0x16DF,7,,,PENDING_TRANSCRIPTION,,,,
SE6011_16E0_008,6011,6011.SE,0x16E0,8,,,PENDING_TRANSCRIPTION,,,,
SE6011_16E1_009,6011,6011.SE,0x16E1,9,,,PENDING_TRANSCRIPTION,,,,
SE6011_16E3_010,6011,6011.SE,0x16E3,10,,,PENDING_TRANSCRIPTION,,,,
SE6011_16E5_011,6011,6011.SE,0x16E5,11,,よくもこのかけだろ!,AUTO_TRANSCRIBED_REVIEW,-0.7225,0.0077,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6011_16E7_012,6011,6011.SE,0x16E7,12,,,PENDING_TRANSCRIPTION,,,,
SE6011_16E8_013,6011,6011.SE,0x16E8,13,,,PENDING_TRANSCRIPTION,,,,
SE6011_16E9_014,6011,6011.SE,0x16E9,14,,,PENDING_TRANSCRIPTION,,,,
SE6011_16F0_015,6011,6011.SE,0x16F0,15,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6011_16EA_016,6011,6011.SE,0x16EA,16,,どうしー!,AUTO_TRANSCRIBED_REVIEW,-1.1103,0.1160,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6011_16EE_017,6011,6011.SE,0x16EE,17,,,PENDING_TRANSCRIPTION,,,,
SE6011_16F1_018,6011,6011.SE,0x16F1,18,,オラオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオ,AUTO_TRANSCRIBED_REVIEW,-0.0441,0.4476,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6012_15A5_000,6012,6012.SE,0x15A5,0,,,PENDING_TRANSCRIPTION,,,,
SE6012_15A6_001,6012,6012.SE,0x15A6,1,,,PENDING_TRANSCRIPTION,,,,
SE6012_15A7_002,6012,6012.SE,0x15A7,2,,,PENDING_TRANSCRIPTION,,,,
SE6012_15A8_003,6012,6012.SE,0x15A8,3,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6012_15A9_004,6012,6012.SE,0x15A9,4,,お疲れ様です,AUTO_TRANSCRIBED_REVIEW,-1.4913,0.4161,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6012_15AA_005,6012,6012.SE,0x15AA,5,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
